date,open,high,low,close,volume,returns,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_PMI_Raw_Material_Inventory_diff,fac_PMI_Raw_Material_Inventory_diff_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PMI_level,fac_PMI_level_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PMI_Raw_Material_Inventory_zscore,fac_PMI_Raw_Material_Inventory_zscore_release,fac_PMI_Raw_Material_Inventory_level,fac_PMI_Raw_Material_Inventory_level_release,fac_Non_Mfg_PMI_Constr_Expectation_level,fac_Non_Mfg_PMI_Constr_Expectation_level_release,fac_PPI_level,fac_PPI_level_release,fac_PMI_Business_Expectation_zscore,fac_PMI_Business_Expectation_zscore_release,fac_PMI_diff,fac_PMI_diff_release,fac_Non_Mfg_PMI_Constr_Expectation_diff,fac_Non_Mfg_PMI_Constr_Expectation_diff_release,fac_PPIRM_level,fac_PPIRM_level_release,fac_PMI_Business_Expectation_level,fac_PMI_Business_Expectation_level_release,fac_PPI_diff,fac_PPI_diff_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,fac_PPIRM_diff,fac_PPIRM_diff_release,any_effective_release
2016-01-04,187.12847670133453,188.574600941685,183.65777852449378,183.94700337256387,106882.0,0.0,,0,,1,,0,,0,,0,,1,,1,,0,,0,,0,,1,,0,,0,,0,,0,,1,,0,1
2016-01-05,183.94700337256387,185.39312761291424,183.22394125238867,185.1039027648441,98744.0,0.0062893081761004055,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,184.9592903408092,185.1039027648441,180.76553004379315,180.91014246782814,160180.0,-0.022656249999999822,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,180.47630519572297,181.92242943607334,179.0301809553728,179.6086306515129,142258.0,-0.007194244604316169,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,179.6086306515129,181.34397973993325,178.74095610730265,180.47630519572297,132160.0,0.004830917874395491,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,180.18708034765302,182.06704186010853,179.46401822747774,180.331692771688,109482.0,-0.0008012820512816043,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,1,,0,,0,,0,-13.6,1,,0,,1,,0,,1,0
2016-01-12,180.47630519572297,180.76553004379315,176.71638217081212,177.15021944291726,169100.0,-0.017642341619887647,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-13,177.43944429098727,179.17479337940767,177.15021944291726,178.4517312592325,159480.0,0.007346938775509848,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-14,178.74095610730265,179.89785549958285,176.42715732274192,179.6086306515129,178218.0,0.006482982171799767,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-15,179.31940580344275,182.64549155624854,179.17479337940767,181.19936731589823,200056.0,0.008856682769726065,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-18,180.76553004379315,185.2485151888793,180.04246792361786,184.81467791677403,227946.0,0.019952114924181696,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
