date,open,high,low,close,volume,returns,fac_PPI_Electrical_Machinery_YoY_zscore,fac_PPI_Electrical_Machinery_YoY_zscore_release,fac_PPI_Electrical_Machinery_YoY_diff,fac_PPI_Electrical_Machinery_YoY_diff_release,fac_PPI_Telecom_Electronics_YoY_diff,fac_PPI_Telecom_Electronics_YoY_diff_release,fac_PPI_、_diff,fac_PPI_、_diff_release,fac_PMI_New_Export_Orders_zscore,fac_PMI_New_Export_Orders_zscore_release,fac_PMI_Import_zscore,fac_PMI_Import_zscore_release,fac_PMI_New_Export_Orders_diff,fac_PMI_New_Export_Orders_diff_release,fac_PMI_Import_diff,fac_PMI_Import_diff_release,fac_PPI_Telecom_Electronics_YoY_zscore,fac_PPI_Telecom_Electronics_YoY_zscore_release,fac_PPI_Electrical_Machinery_YoY_level,fac_PPI_Electrical_Machinery_YoY_level_release,fac_PMI_Import_level,fac_PMI_Import_level_release,any_effective_release
2016-01-04,82650.66497740461,82650.66497740461,81081.34855378301,81464.95923511274,8.0,0.0,,0,,0,,0,,0,,1,,1,,1,,1,,0,,0,,1,1
2016-01-05,81029.03800632892,82519.88860876948,80802.35896736135,82519.88860876948,32.0,0.012949486301369939,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,82005.50155880458,82005.50155880458,80837.23266566407,81839.85149186678,50.0,-0.008240887480190251,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,81674.2014249289,81674.2014249289,80680.30102330193,80933.13533599653,62.0,-0.011079152018749205,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,81081.34855378301,81342.90129105325,79520.75055473704,81342.90129105325,46.0,0.005063018420768728,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,82240.8990223479,82249.61744692348,80845.95109023979,81447.52238596136,76.0,0.0012861736334406348,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,1
2016-01-12,81447.52238596136,82223.46217319652,80383.874587729,80383.874587729,72.0,-0.013059302076642298,,0,,0,,1,,0,,0,,0,,0,,0,,1,,0,,0,1
2016-01-13,80732.61157075595,81081.34855378301,79355.10048779918,79416.12945982892,136.0,-0.012039045553146499,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-14,79834.61383946141,81935.75416219915,79180.73199628577,81508.55135799108,88.0,0.026347568339005534,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-15,81020.3195817533,82485.01491046677,80383.874587729,80383.874587729,46.0,-0.013798267194351399,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-18,81011.60115717759,83243.51784855055,81011.60115717759,83243.51784855055,22.0,0.03557483731019451,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-19,82397.83066471007,83182.48887652082,82301.92799437755,83182.48887652082,36.0,-0.0007331378299120228,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
