date,open,high,low,close,volume,returns,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PMI_Raw_Material_Inventory_diff,fac_PMI_Raw_Material_Inventory_diff_release,fac_PMI_Import_level,fac_PMI_Import_level_release,fac_CPI_=100_zscore,fac_CPI_=100_zscore_release,fac_PMI_level,fac_PMI_level_release,fac_PPI_All_Industry_YoY_level,fac_PPI_All_Industry_YoY_level_release,fac_PMI_Input_Price_level,fac_PMI_Input_Price_level_release,fac_PMI_zscore,fac_PMI_zscore_release,fac_PPIRM_Agri_Products_YoY_zscore,fac_PPIRM_Agri_Products_YoY_zscore_release,fac_PMI_Import_zscore,fac_PMI_Import_zscore_release,any_effective_release
2016-01-04,4723.872072398849,4723.872072398849,4723.872072398849,4723.872072398849,0.0,0.0,,0,,0,,0,,1,,1,,0,,1,,0,,1,,1,,0,,1,0
2016-01-05,4723.872072398849,4723.872072398849,4723.872072398849,4723.872072398849,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,4680.761972756031,4680.761972756031,4680.761972756031,4680.761972756031,2.0,-0.00912600912601047,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,4680.761972756031,4680.761972756031,4680.761972756031,4680.761972756031,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,4680.761972756031,4680.761972756031,4680.761972756031,4680.761972756031,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,4674.129649734066,4674.129649734066,4674.129649734066,4674.129649734066,0.0,-0.0014169323414794377,,0,,0,,0,,0,,0,,1,,0,-5.9,1,,0,,0,,1,,0,0
2016-01-12,4634.335711602235,4634.335711602235,4634.335711602235,4634.335711602235,0.0,-0.008513657325293744,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-13,4634.335711602235,4634.335711602235,4634.335711602235,4634.335711602235,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-14,4629.361469335757,4629.361469335757,4629.361469335757,4629.361469335757,0.0,-0.0010733452593918447,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-15,4612.780661780832,4612.780661780832,4514.953897206759,4514.953897206759,4.0,-0.024713467048710136,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-18,4520.094719488812,4582.350464084887,4505.349937873952,4567.605682470028,697838.0,0.011661644052632036,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-19,4570.882300606664,4610.201718246292,4557.775828060121,4597.095245699749,533498.0,0.006456241032998689,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
