date,open,high,low,close,volume,returns,fac_PMI_Import_level,fac_PMI_Import_level_release,fac_PMI_level,fac_PMI_level_release,fac_PMI_zscore,fac_PMI_zscore_release,fac_PMI_Import_zscore,fac_PMI_Import_zscore_release,fac_PPI_All_Industry_YoY_level,fac_PPI_All_Industry_YoY_level_release,fac_PMI_diff,fac_PMI_diff_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PMI_Raw_Material_Inventory_level,fac_PMI_Raw_Material_Inventory_level_release,fac_PMI_Import_diff,fac_PMI_Import_diff_release,fac_PPI_zscore,fac_PPI_zscore_release,fac_PMI_Business_Expectation_diff,fac_PMI_Business_Expectation_diff_release,any_effective_release
2016-02-05,1940.5866428026568,1964.0843516299124,1934.1045162296207,1958.4124908785072,488836.0,0.008764607679466296,46.4,0,49.5,0,,0,,0,-5.9,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-02-15,1997.3052503167214,2042.680136327973,1980.2896680625024,2024.8542882521251,751468.0,0.03392635498551866,46.4,0,49.5,0,,0,,0,-5.9,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-02-16,2017.5618958574594,2037.818541398198,2011.8900351060531,2020.8029591439763,818834.0,-0.002000800320128726,46.4,0,49.5,0,,0,,0,-5.9,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-02-17,2015.1310983925719,2019.9926933223487,2000.5463136032397,2013.5105667493121,701982.0,-0.003608660785885398,46.4,0,49.5,0,,0,,0,-5.9,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-02-18,2021.6132249656075,2045.9211996144925,2019.9926933223487,2025.6645540737547,1054656.0,0.006036217303822866,46.4,0,49.5,0,,0,,0,-5.9,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-02-19,2028.0953515386436,2040.2493388630844,2015.1310983925719,2039.439073041457,961806.0,0.006800000000000361,46.4,0,49.5,0,,0,,0,-5.3,1,-0.70000076,0,,0,46.8,0,-1.199997,0,,1,,0,0
2016-02-22,2025.6645540737547,2060.505984403824,2019.9926933223487,2054.8341236524166,1095094.0,0.00754866905045648,46.4,0,49.5,0,,0,,0,-5.3,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-02-23,2043.490402149604,2045.9211996144925,2016.75163003583,2029.715883181904,893020.0,-0.012223974763405976,46.4,0,49.5,0,,0,,0,-5.3,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-02-24,2025.6645540737547,2034.5774781116802,1978.669136419244,1985.9615288139091,1130490.0,-0.021556886227545813,46.4,0,49.5,0,,0,,0,-5.3,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-02-25,1977.8588705976151,2009.4592376411656,1976.2383389543552,1995.6847186734633,913056.0,0.004895960832313362,46.4,0,49.5,0,,0,,0,-5.3,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-02-26,1998.1155161383522,2002.1668452465,1979.479402240873,1998.9257819599818,880508.0,0.0016240357287862217,46.4,0,49.5,0,,0,,0,-5.3,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-02-29,1996.4949844950927,2018.3721616790908,1981.910199705762,2004.597642711387,1009136.0,0.002837454398053607,46.4,0,49.5,0,,0,,0,-5.3,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-03-01,2004.597642711387,2010.269503462794,1987.582060457168,2006.2181743546469,883994.0,0.0008084074373488903,46.4,0,49.5,0,,0,,0,-5.3,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-03-02,2010.269503462794,2034.5774781116802,1988.3923262787976,1992.4436553869446,1279460.0,-0.006865912762520576,45.8,1,48.6,1,,1,,1,-5.3,0,-0.9000015,1,,0,48.0,1,-0.6000023,1,,0,,0,1
2016-03-03,1985.1512629922802,2011.8900351060531,1970.5664782029485,2010.269503462794,1197592.0,0.008946726311509057,45.8,0,48.6,0,,0,,0,-5.3,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-04,2013.5105667493121,2054.8341236524166,2013.5105667493121,2047.541731257751,1380220.0,0.018540910923014797,45.8,0,48.6,0,,0,,0,-5.3,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-07,2045.9211996144925,2093.726883090633,2028.9056173602733,2071.039440085007,1315460.0,0.011476058567471359,45.8,0,48.6,0,,0,,0,-5.3,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-08,2069.418908441748,2100.2090096636684,2045.9211996144925,2066.9881109768608,1349814.0,-0.001956181533645629,45.8,0,48.6,0,,0,,0,-5.3,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-09,2070.2291742633774,2083.1934274094488,2039.439073041457,2083.1934274094488,755170.0,0.007840062720500862,45.8,0,48.6,0,,0,,0,-5.3,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-10,2087.244756517597,2103.4500729501856,2050.7827945442687,2054.023857830787,878500.0,-0.014002333722286875,45.8,0,48.6,0,,0,,0,-5.3,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-11,2054.8341236524166,2088.8652881608555,2045.1109337928617,2073.470237549896,660144.0,0.009467455621302134,45.8,0,48.6,0,,0,,0,-4.9,1,-0.9000015,0,,0,48.0,0,-0.6000023,0,,1,,0,0
2016-03-14,2082.3831615878203,2112.3629969881117,2078.3318324796737,2084.0036932310786,697624.0,0.005080109417740841,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-15,2077.521566658043,2092.9166172690025,2066.1778451552304,2072.659971728266,347250.0,-0.005443234836702726,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-16,2079.142098301303,2089.675553982485,2056.4546552956763,2058.0751869389346,323176.0,-0.0070367474589525525,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-17,2066.1778451552304,2102.6398071285585,2064.5573135119716,2101.829541306928,273410.0,0.021259842519685268,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-18,2105.070604593448,2129.378579242332,2102.6398071285585,2110.7424653448525,233708.0,0.004240555127216661,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-21,2109.9321995232235,2134.2401741721087,2105.070604593448,2131.8093767072182,163760.0,0.009980806142033893,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-22,2134.2401741721087,2169.891870323805,2126.947781777442,2160.1686804642522,212512.0,0.013302926643862234,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-23,2157.7378829993636,2186.9074525780256,2152.0660222479564,2152.0660222479564,171242.0,-0.0037509377344340233,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-24,2147.2044273181805,2156.1173513561057,2129.378579242332,2134.2401741721087,125756.0,-0.008283132530119919,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-25,2130.99911088559,2182.0458576482497,2128.568313420701,2180.4253260049886,130128.0,0.021640091116172266,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-28,2180.4253260049886,2211.2154272269113,2178.8047943617307,2189.3382500429143,159964.0,0.004087699739874218,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-29,2211.2154272269113,2216.077022156687,2192.5793133294324,2203.923034832245,118654.0,0.006661732050332825,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-30,2218.5078196215763,2224.179680372983,2188.527984221285,2195.82037661595,111222.0,-0.003676470588235281,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-03-31,2192.5793133294324,2202.302503188985,2179.6150601833606,2199.871705724099,68440.0,0.001845018450185032,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-04-01,2187.7177183996546,2237.1439335190553,2186.097186756396,2227.4207436595,84364.0,0.012523020257826145,45.8,0,48.6,0,,0,,0,-4.9,0,-0.9000015,0,,0,48.0,0,-0.6000023,0,,0,,0,0
2016-04-05,2229.04127530276,2235.5234018757956,2216.8872879783166,2229.04127530276,55508.0,0.0007275372862862728,50.1,1,51.4,1,,1,,1,-4.9,0,2.800003,1,,0,48.2,1,4.299999,1,,0,,0,1
2016-04-06,2234.7131360541666,2234.7131360541666,2195.82037661595,2200.681971545727,65610.0,-0.01272264631043285,50.1,0,51.4,0,,0,,0,-4.9,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-07,2199.871705724099,2214.456490513427,2190.1485158645437,2206.353832297133,45190.0,0.002577319587628857,50.1,0,51.4,0,,0,,0,-4.9,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-08,2199.871705724099,2200.681971545727,2175.5637310752118,2182.0458576482497,43222.0,-0.011017260374586058,50.1,0,51.4,0,,0,,0,-4.9,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-11,2175.5637310752118,2218.5078196215763,2169.891870323805,2175.5637310752118,77394.0,-0.0029706646862244224,50.1,0,51.4,0,,0,,0,-4.9,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-12,2168.271338680547,2191.769047507801,2164.2200095724,2186.097186756396,62274.0,0.004841713221601651,50.1,0,51.4,0,,0,,0,-4.3,1,2.800003,0,,0,48.2,0,4.299999,0,,1,,0,0
2016-04-13,2181.2355918266176,2265.5032372760884,2181.2355918266176,2220.9386170864655,60716.0,0.01593773165307688,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-14,2220.1283512648356,2251.728718308386,2212.0256930485402,2236.333667697425,36624.0,0.006931776723823058,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-15,2236.333667697425,2256.590313238163,2234.7131360541666,2237.1439335190553,24224.0,0.00036231884058013364,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-18,2222.5591487297224,2267.9340347409757,2222.5591487297224,2264.6929714544585,15050.0,0.01231437884824338,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-19,2268.744300562605,2316.549984038746,2268.744300562605,2314.9294523954877,30008.0,0.02218246869409657,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-20,2314.9294523954877,2378.130186482588,2310.87812328734,2348.1503510822963,17820.0,0.014350717535876356,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-21,2326.2731738983007,2409.7305535261394,2320.601313146895,2385.4225788772537,16782.0,0.01587301587301604,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-22,2382.1815155907357,2391.0944396286604,2310.87812328734,2325.4629080766704,13746.0,-0.025135869565217517,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-25,2322.2218447901523,2364.355667514887,2305.2062625359335,2317.360249860375,11780.0,-0.0034843205574914826,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-26,2310.0678574657095,2335.9963637578535,2296.293338498008,2299.5344017845273,8160.0,-0.00769230769230711,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-27,2311.688389108969,2325.4629080766704,2282.518819530308,2289.8112119249718,1698.0,-0.0042283298097257616,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-28,2284.9496169951954,2284.9496169951954,2219.318085443205,2232.2823385892775,2854.0,-0.025123849964614142,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-04-29,2246.0013526448624,2262.3955231021237,2214.0327202532026,2233.7057248019155,924012.0,0.0006376371787888413,50.1,0,51.4,0,,0,,0,-4.3,0,2.800003,0,,0,48.2,0,4.299999,0,,0,,0,0
2016-05-03,2213.2130117303373,2248.4604782134506,2210.753886161749,2229.607182187601,775896.0,-0.0018348623853206014,49.5,1,51.0,1,,1,,1,-4.3,0,-0.40000153,1,,0,47.4,1,-0.5999985,1,,0,,0,1
2016-05-04,2212.3933032074747,2238.6239759390946,2183.7035049072656,2231.2465992333255,1200704.0,0.000735294117646168,49.5,0,51.0,0,,0,,0,-4.3,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-05,2242.722518553409,2258.2969804878094,2227.9677651418738,2236.984558893369,858278.0,0.0025716385011029796,49.5,0,51.0,0,,0,,0,-4.3,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-06,2246.0013526448624,2255.0181463963563,2162.391083312827,2193.5400071816234,1042572.0,-0.019421033345548677,49.5,0,51.0,0,,0,,0,-4.3,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-09,2208.2947605931604,2267.3137742393023,2204.196217978844,2256.6575634420838,1401508.0,0.02877428998505338,49.5,0,51.0,0,,0,,0,-4.3,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-10,2250.099895259176,2255.8378549192194,2198.458258318804,2249.280186736313,1268328.0,-0.0032691609153662204,49.5,0,51.0,0,,0,,0,-4.3,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-11,2241.902810030546,2305.8400748138665,2230.426890710463,2272.23202537648,1358460.0,0.010204081632653184,49.5,0,51.0,0,,0,,0,-3.4,1,-0.40000153,0,,0,47.4,0,-0.5999985,0,,1,,0,0
2016-05-12,2262.3955231021237,2263.2152316249867,2202.5568009331173,2204.196217978844,1332716.0,-0.029942279942279937,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-13,2193.5400071816234,2209.934177638887,2136.9801191040706,2136.9801191040706,1077738.0,-0.030494607660840445,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-16,2091.8961503466007,2152.55458103847,2091.8961503466007,2121.4056571696724,1057704.0,-0.007288070579209549,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-17,2131.2421594440298,2163.2107918356887,2131.2421594440298,2159.112249221375,776014.0,0.017774343122102243,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-18,2155.0137066070606,2186.9823389987187,2098.4538185295073,2120.58594864681,1369028.0,-0.01784358390280938,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-19,2118.9465316010824,2141.8983702412497,2093.5355673923273,2095.1749844380543,1010576.0,-0.011982991882489302,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-20,2070.583728752162,2116.4874060324937,2064.026060569256,2109.1100293267264,750316.0,0.0066510172143972035,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-23,2110.749446372453,2118.9465316010824,2021.4012173803753,2045.1727645434044,965802.0,-0.030314807617567552,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-24,2049.2713071577214,2083.6990651179717,2041.0742219290898,2073.04285432075,830054.0,0.01362725450901836,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-25,2073.8625628436134,2086.1581906865595,2062.386643523528,2079.6005225036547,656106.0,0.003163305654408921,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-26,2098.4538185295073,2136.160410581208,2098.4538185295073,2134.5209935354824,823516.0,0.026409144659046424,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-27,2151.7348725156066,2153.374289561334,2097.6341100066434,2142.7180787641128,828580.0,0.0038402457757293895,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-30,2132.8815764897554,2167.3093344500057,2127.9633253525767,2165.6699174042797,648636.0,0.010711553175210664,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-05-31,2159.112249221375,2182.883796384405,2131.2421594440298,2132.8815764897554,656092.0,-0.015140045420136583,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-06-01,2150.095455469881,2168.948751495732,2141.0786617183867,2150.095455469881,734992.0,0.008070714834742976,49.5,0,51.0,0,,0,,0,-3.4,0,-0.40000153,0,,0,47.4,0,-0.5999985,0,,0,,0,0
2016-06-02,2135.340702058345,2186.1626304758556,2118.9465316010824,2177.1458367243636,871652.0,0.012581014105985888,49.6,1,50.7,1,,1,,1,-3.4,0,-0.29999924,1,,0,47.6,1,0.099998474,1,,0,,0,1
2016-06-03,2184.52321343013,2205.0159265017087,2177.1458367243636,2199.2779668416647,758114.0,0.01016566265060126,49.6,0,50.7,0,,0,,0,-3.4,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-06,2208.2947605931604,2217.3115543446556,2179.6049622929536,2210.753886161749,575278.0,0.005218039508013916,49.6,0,50.7,0,,0,,0,-3.4,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-07,2212.3933032074747,2251.739312304903,2195.1794242273513,2250.099895259176,875390.0,0.01779755283648421,49.6,0,50.7,0,,0,,0,-3.4,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-08,2225.5086395732847,2231.2465992333255,2191.0808816130343,2210.753886161749,796322.0,-0.017486338797813583,49.6,0,50.7,0,,0,,0,-3.4,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-13,2227.9677651418738,2234.525433324778,2150.915163992744,2151.7348725156066,708480.0,-0.026696329254727535,49.6,0,50.7,0,,0,,0,-2.8,1,-0.29999924,0,,0,47.6,0,0.099998474,0,,1,,0,0
2016-06-14,2143.5377872869767,2163.2107918356887,2114.847988986767,2118.9465316010824,761986.0,-0.015238095238095606,49.6,0,50.7,0,,0,,0,-2.8,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-15,2114.847988986767,2127.9633253525767,2081.2399395493817,2084.5187736408334,731046.0,-0.016247582205028643,49.6,0,50.7,0,,0,,0,-2.8,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-16,2092.7158588694656,2101.732652620958,2066.485186137846,2071.403437275025,659596.0,-0.0062917813605971595,49.6,0,50.7,0,,0,,0,-2.8,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-17,2065.6654776149826,2094.355275915191,2048.4515986348574,2088.6173162551486,644638.0,0.008310249307478479,49.6,0,50.7,0,,0,,0,-2.8,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-20,2097.6341100066434,2109.9297378495908,2080.420231026519,2095.9946929609177,576050.0,0.003532182103611392,49.6,0,50.7,0,,0,,0,-2.8,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-21,2084.5187736408334,2108.2903208038633,2061.566935000668,2068.9443117064343,891504.0,-0.012905748924521676,49.6,0,50.7,0,,0,,0,-2.8,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-22,2054.189558294899,2100.0932355752316,2052.550141249174,2094.355275915191,653962.0,0.012282091917591664,49.6,0,50.7,0,,0,,0,-2.8,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-23,2093.5355673923273,2113.2085719410406,2070.583728752162,2080.420231026519,732928.0,-0.006653620352250256,49.6,0,50.7,0,,0,,0,-2.8,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-24,2088.6173162551486,2100.9129440980955,2049.2713071577214,2058.288100909215,810070.0,-0.01063829787234083,49.6,0,50.7,0,,0,,0,-2.8,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-27,2052.550141249174,2105.8311952352733,2049.2713071577214,2102.5523611438193,528364.0,0.021505376344084892,49.6,0,50.7,0,,0,,0,-2.8,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
2016-06-28,2090.2567333008747,2148.456038424154,2088.6173162551486,2141.8983702412497,871886.0,0.01871345029239868,49.6,0,50.7,0,,0,,0,-2.8,0,-0.29999924,0,,0,47.6,0,0.099998474,0,,0,,0,0
