date,open,high,low,close,volume,returns,fac_PMI_Import_level,fac_PMI_Import_level_release,fac_PMI_level,fac_PMI_level_release,fac_PMI_zscore,fac_PMI_zscore_release,fac_PMI_Import_zscore,fac_PMI_Import_zscore_release,fac_PPI_All_Industry_YoY_level,fac_PPI_All_Industry_YoY_level_release,fac_PMI_diff,fac_PMI_diff_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PMI_Raw_Material_Inventory_level,fac_PMI_Raw_Material_Inventory_level_release,fac_PMI_Import_diff,fac_PMI_Import_diff_release,fac_PPI_zscore,fac_PPI_zscore_release,fac_PMI_Business_Expectation_diff,fac_PMI_Business_Expectation_diff_release,any_effective_release
2016-01-04,1964.8946174515418,1997.3052503167214,1930.053187121474,1946.2585035540635,1175296.0,0.0,,1,,1,,1,,1,,0,,1,,0,,1,,1,,0,,0,1
2016-01-05,1940.5866428026568,1960.8432883433939,1937.3455795161387,1959.2227567001353,1356374.0,0.006661115736885881,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,1956.791959235247,1961.6535541650242,1913.0376048672542,1913.8478706888836,1517222.0,-0.023159636062861644,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,1917.0889339754012,1931.6737187647323,1896.832288434665,1917.0889339754012,1648008.0,0.0016934801016086354,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,1916.2786681537727,1935.7250478728804,1903.3144150077003,1915.4684023321422,1410710.0,-0.0008453085376162184,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,1920.3299972619204,1924.3813263700679,1888.7296302183681,1901.6938833644424,1483374.0,-0.0071912013536370445,,0,,0,,0,,0,-5.9,1,,0,,0,,0,,0,,1,,0,0
2016-01-12,1896.0220226130343,1904.934946650959,1868.4729846776315,1873.3345796074082,1350496.0,-0.014912654452493457,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-13,1877.3859087155565,1893.5912251481457,1874.1448454290387,1875.7653770722975,1116442.0,0.001297577854671772,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-14,1887.919364396739,1897.6425542562938,1871.7140479641491,1879.8167061804434,1229900.0,0.0021598272138219077,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-15,1874.1448454290387,1894.4014909697755,1868.4729846776315,1885.488566931852,1053500.0,0.003017241379311475,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-18,1882.2475036453325,1913.8478706888836,1875.7653770722975,1902.5041491860704,1368502.0,0.00902449505801406,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-19,1900.0733517211816,1916.2786681537727,1894.4014909697755,1908.176009937477,1077016.0,0.002981260647359374,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-20,1911.417073223995,1920.3299972619204,1875.7653770722975,1876.5756428939267,1108754.0,-0.016560509554140013,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-21,1876.5756428939267,1883.8680352885917,1839.303415098969,1847.4060733152653,1642328.0,-0.015544041450776813,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-22,1848.2163391368933,1880.626972002073,1846.595807493634,1876.5756428939267,1303448.0,0.01578947368421013,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-25,1883.8680352885917,1897.6425542562938,1880.626972002073,1887.1090985751096,866604.0,0.005613126079446973,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-26,1883.0577694669626,1902.5041491860704,1879.0064403588146,1900.883617542812,1030528.0,0.007299270072993247,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-27,1904.1246808293297,1924.3813263700679,1898.452820077923,1924.3813263700679,1084532.0,0.01236146632566082,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-28,1923.5710605484371,1933.2942504079913,1917.8991997970313,1921.1402630835491,943498.0,-0.0016842105263161766,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-01-29,1920.3299972619204,1934.9147820512508,1900.0733517211816,1905.745212472589,1061744.0,-0.008013496415014587,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-02-01,1904.934946650959,1914.658136510512,1900.883617542812,1912.2273390456253,715954.0,0.003401360544217802,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,0
2016-02-02,1909.796541580736,1936.5353136945093,1904.934946650959,1935.7250478728804,706536.0,0.012288135593220062,46.4,1,49.5,1,,1,,1,-5.9,0,-0.70000076,1,,0,46.8,1,-1.199997,1,,0,,0,1
2016-02-03,1936.5353136945093,1938.1558453377684,1919.5197314402897,1931.6737187647323,700608.0,-0.0020929259104230935,46.4,0,49.5,0,,0,,0,-5.9,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
2016-02-04,1932.4839845863626,1950.3098326622112,1930.053187121474,1941.3969086242867,554480.0,0.005033557046980164,46.4,0,49.5,0,,0,,0,-5.9,0,-0.70000076,0,,0,46.8,0,-1.199997,0,,0,,0,0
