date,open,high,low,close,volume,returns,fac_PMI_Input_Price_diff,fac_PMI_Input_Price_diff_release,fac_PPI_diff,fac_PPI_diff_release,fac_PPI_zscore,fac_PPI_zscore_release,fac_PMI_Business_Expectation_zscore,fac_PMI_Business_Expectation_zscore_release,fac_CPI_=100_level,fac_CPI_=100_level_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,fac_PPI_level,fac_PPI_level_release,fac_CPI_=100_diff,fac_CPI_=100_diff_release,fac_PPIRM_Agri_Products_YoY_zscore,fac_PPIRM_Agri_Products_YoY_zscore_release,any_effective_release
2016-01-04,4938.275257238195,4967.052068731897,4870.257339162157,4894.674027702274,943326.0,0.0,,1,,0,,0,,0,,0,,1,,0,,0,,0,1
2016-01-05,4885.953781795094,4901.65022442802,4865.025191617848,4882.465683432212,1026492.0,-0.0024942098699456405,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,4874.617462115752,4883.337708022935,4822.29598667265,4835.376355533423,1355252.0,-0.009644579389176067,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,4830.144207989113,4859.793044073536,4789.15905222535,4822.29598667265,1440974.0,-0.0027051397655539766,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,4825.7840850355215,4864.153167027128,4818.807888309775,4847.584699803481,1120572.0,0.0052441229656416954,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,4855.432921119943,4862.409117845695,4765.6143882759525,4769.974511229544,1525062.0,-0.016010073754272658,,0,,1,,1,,0,102.7061,1,,0,-0.3,1,,1,,1,1
2016-01-12,4766.486412866672,4778.694757136726,4747.301871870865,4753.4060440058975,1124232.0,-0.003473491773308357,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-13,4756.8941423687675,4785.670953862475,4722.885183330754,4765.6143882759525,1547032.0,0.0025683360851214143,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-14,4776.95070795529,4778.694757136726,4734.221503010088,4757.766166959489,1227242.0,-0.0016468435498623313,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-15,4751.661994824457,4775.206658773855,4726.373281693625,4727.245306284343,1310750.0,-0.006414956011730699,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-18,4723.757207921471,4792.647150588223,4716.7810111957215,4779.566781727444,1468948.0,0.011068068622025029,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-19,4783.054880090319,4826.656109626236,4762.998314503796,4812.703716174747,1275412.0,0.006933041415800867,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-20,4810.959666993309,4826.656109626236,4765.6143882759525,4770.846535820264,1125852.0,-0.008697227758652004,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-21,4770.846535820264,4784.7989292717575,4735.965552191526,4744.6857980987115,1304794.0,-0.00548345823432661,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-22,4755.150093187331,4803.111445676842,4748.173896461584,4773.462609592418,1213904.0,0.006065061569564323,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-25,4785.670953862475,4802.239421086124,4735.965552191526,4739.453650554399,1200984.0,-0.007124588966021528,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-26,4736.8375767822445,4756.022117778051,4722.885183330754,4747.301871870865,1161134.0,0.0016559337626496085,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-27,4756.8941423687675,4772.590585001699,4694.9803964277635,4762.998314503796,2032138.0,0.0033063923585598953,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-28,4754.278068596613,4761.254265322358,4728.117330875061,4735.965552191526,1181924.0,-0.005675576711827279,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-01-29,4735.09352760081,4750.78997023374,4693.236347246328,4697.596470199917,1360650.0,-0.008101638740563355,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-02-01,4703.7006423349485,4716.7810111957215,4670.563707887649,4682.772052157703,1177322.0,-0.0031557453127905033,,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-02-02,4681.900027566986,4696.7244456092,4670.563707887649,4694.9803964277635,912770.0,0.0026070763500938288,2.699997,1,,0,,0,,0,102.7061,0,,1,-0.3,0,,0,,0,1
2016-02-03,4695.8524210184805,4715.908986605005,4683.644076748421,4697.596470199917,934140.0,0.0005572065378898206,2.699997,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-02-04,4701.084568562793,4735.09352760081,4676.667880022679,4718.525060377158,884834.0,0.0044551698533505935,2.699997,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-02-05,4716.7810111957215,4737.709601372965,4701.956593153509,4737.709601372965,456816.0,0.004065791905378369,2.699997,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-02-15,4735.09352760081,4761.254265322358,4702.828617744229,4708.060765288539,404998.0,-0.006258052641266554,2.699997,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-02-16,4708.93278987926,4722.885183330754,4661.843461980467,4667.947634115493,1163378.0,-0.008520096314132308,2.699997,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-02-17,4669.691683296927,4674.923830841244,4626.962478351732,4631.32260130532,1157728.0,-0.007846067625630782,2.699997,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-02-18,4629.578552123886,4658.355363617592,4626.962478351732,4630.450576714602,747904.0,-0.00018828845791740711,2.699997,0,,0,,0,,0,102.7061,0,,0,-0.3,0,,0,,0,0
2016-02-19,4637.426773440351,4673.179781659805,4619.114257035262,4668.819658706213,1098380.0,0.00828625235404945,2.699997,0,0.6,1,,1,,0,102.7061,0,,0,-0.2,1,-0.40239716,1,,1,1
2016-02-22,4663.587511161903,4678.411929204111,4637.426773440351,4661.843461980467,930836.0,-0.0014942099364959605,2.699997,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-02-23,4663.587511161903,4702.828617744229,4656.611314436153,4695.8524210184805,982674.0,0.007295173961840096,2.699997,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-02-24,4708.93278987926,4754.278068596613,4708.060765288539,4738.581625963683,1398460.0,0.009099350046425592,2.699997,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-02-25,4733.349478419374,4745.557822689431,4715.908986605005,4718.525060377158,718566.0,-0.0042326094957678695,2.699997,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-02-26,4718.525060377158,4746.429847280148,4716.7810111957215,4726.373281693625,816604.0,0.0016632785067458578,2.699997,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-02-29,4730.733404647215,4742.069724326556,4639.170822621786,4654.8672652547175,1376758.0,-0.015129151291513043,2.699997,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-03-01,4660.971437389747,4673.179781659805,4632.194625896038,4663.587511161903,1068974.0,0.001873360809292235,2.699997,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-03-02,4667.075609524777,4705.444691516382,4640.042847212505,4677.539904613395,1121236.0,0.0029917726252799426,5.1000023,1,0.6,0,,0,,0,102.7061,0,,1,-0.2,0,-0.40239716,0,,0,1
2016-03-03,4670.563707887649,4706.316716107103,4658.355363617592,4662.715486571186,891280.0,-0.003169276659208742,5.1000023,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-03-04,4665.331560343339,4711.548863651415,4660.971437389747,4688.00419970202,1029142.0,0.005423602019824392,5.1000023,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-03-07,4694.108371837045,4769.974511229544,4653.9952406639995,4656.611314436153,1395886.0,-0.006696428571429602,5.1000023,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-03-08,4657.483339026871,4684.516101339141,4629.578552123886,4637.426773440351,1364918.0,-0.004119850187265461,5.1000023,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-03-09,4633.0666504867595,4690.620273474174,4607.777937355924,4682.772052157703,935960.0,0.00977811207220669,5.1000023,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-03-10,4685.388125929861,4699.340519381353,4643.530945575379,4647.891068528971,600052.0,-0.007448789571693926,5.1000023,0,0.6,0,,0,,0,102.7061,0,,0,-0.2,0,-0.40239716,0,,0,0
2016-03-11,4650.507142301128,4681.900027566986,4643.530945575379,4678.411929204111,309414.0,0.006566604127579145,5.1000023,0,0.3,1,,1,,0,102.7061,0,,0,-0.3,1,-0.11450195,1,,1,1
2016-03-14,4683.644076748421,4707.188740697822,4663.587511161903,4681.900027566986,345500.0,0.0007455731593664083,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-15,4687.1321751113,4706.316716107103,4667.075609524777,4685.388125929861,206754.0,0.0007450176941705688,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-16,4682.772052157703,4698.468494790637,4677.539904613395,4696.7244456092,136616.0,0.002419504932067662,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-17,4695.8524210184805,4728.989355465779,4688.876224292733,4724.6292325121885,240778.0,0.005941329372447068,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-18,4730.733404647215,4769.974511229544,4722.885183330754,4746.429847280148,189792.0,0.004614248800295373,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-21,4745.557822689431,4771.718560410982,4723.757207921471,4754.278068596613,146966.0,0.001653499908138567,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-22,4755.150093187331,4775.206658773855,4741.197699735835,4769.102486638826,118186.0,0.003118121790169015,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-23,4766.486412866672,4790.03107681607,4742.941748917276,4744.6857980987115,103598.0,-0.005119765953556343,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-24,4743.813773507989,4758.638191550207,4722.885183330754,4737.709601372965,70028.0,-0.0014703179562578494,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-25,4723.757207921471,4758.638191550207,4701.084568562793,4755.150093187331,49134.0,0.0036812074360386138,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-28,4758.638191550207,4769.974511229544,4737.709601372965,4739.453650554399,43226.0,-0.0033009352649918666,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-29,4749.045921052303,4766.486412866672,4713.292912832852,4718.525060377158,46530.0,-0.0044158233670652525,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-30,4713.292912832852,4738.581625963683,4708.93278987926,4734.221503010088,27972.0,0.0033265570134908273,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-03-31,4745.557822689431,4745.557822689431,4715.908986605005,4731.605429237933,31690.0,-0.000552587953582484,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-04-01,4735.09352760081,4769.974511229544,4722.013158740034,4760.382240731645,40246.0,0.006081828234427933,5.1000023,0,0.3,0,,0,,0,102.7061,0,,0,-0.3,0,-0.11450195,0,,0,0
2016-04-05,4743.813773507989,4783.92690468104,4729.861380056499,4780.438806318164,27034.0,0.004213225865542514,5.0999985,1,0.3,0,,0,,0,102.7061,0,,1,-0.3,0,-0.11450195,0,,0,1
