date,open,high,low,close,volume,returns,fac_PPIRM_Fuel_Power_YoY_level,fac_PPIRM_Fuel_Power_YoY_level_release,fac_PPI_Electrical_Machinery_YoY_zscore,fac_PPI_Electrical_Machinery_YoY_zscore_release,fac_PPI_level,fac_PPI_level_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,fac_PMI_Input_Price_level,fac_PMI_Input_Price_level_release,fac_PPI_Electrical_Machinery_YoY_diff,fac_PPI_Electrical_Machinery_YoY_diff_release,fac_PPIRM_level,fac_PPIRM_level_release,fac_GDP_Cumulative_YoY_zscore,fac_GDP_Cumulative_YoY_zscore_release,fac_PPI_diff,fac_PPI_diff_release,fac_PMI_Raw_Material_Inventory_diff,fac_PMI_Raw_Material_Inventory_diff_release,fac_PPIRM_Fuel_Power_YoY_zscore,fac_PPIRM_Fuel_Power_YoY_zscore_release,fac_PPIRM_diff,fac_PPIRM_diff_release,fac_GDP_Cumulative_YoY_diff,fac_GDP_Cumulative_YoY_diff_release,fac_PPI_zscore,fac_PPI_zscore_release,any_effective_release
2016-01-04,8906.398872347118,8922.945827985475,8736.792577053928,8765.749749421058,60026.0,0.0,,0,,0,,0,,1,,1,,0,,0,,0,,0,,1,,0,,0,,0,,0,0
2016-01-05,8728.519099234756,8873.304961070398,8604.416931947057,8860.894744341627,46666.0,0.0108541764983483,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,8811.253877426547,8840.211049793681,8757.476271601887,8790.570182878602,34466.0,-0.007936507936507464,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,8774.023227240243,8836.074310884089,8740.929315963524,8790.570182878602,50068.0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,8774.023227240243,8865.031483251221,8711.972143596395,8852.621266522443,73974.0,0.007058823529410896,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,8844.347788703264,8947.766261443017,8844.347788703264,8898.125394527937,102390.0,0.005140186915888467,-11.0,1,,0,-1.2,1,,0,,0,,0,-12.0,1,,0,,1,,0,,1,,1,,0,,1,1
2016-01-12,8873.304961070398,8947.766261443017,8716.108882505981,8724.382360325166,126610.0,-0.01952580195257947,-11.0,0,,0,-1.2,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-13,8740.929315963524,8786.433443969012,8662.331276681303,8749.202793782695,96994.0,0.0028449502133700566,-11.0,0,,0,-1.2,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-14,8716.108882505981,8877.441699979992,8707.8354046868,8844.347788703264,79970.0,0.010874704491725895,-11.0,0,,0,-1.2,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-15,8869.168222160815,8877.441699979992,8798.843660697783,8807.117138516958,54306.0,-0.004209541627689051,-11.0,0,,0,-1.2,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,0
