date,open,high,low,close,volume,returns,fac_PPI_石油加工、炼焦及核燃料加工业_全国_当期同比增长率_月_zscore,fac_PPI_石油加工、炼焦及核燃料加工业_全国_当期同比增长率_月_zscore_release,fac_PPI_金属制品业_全国_当期同比增长率_月_zscore,fac_PPI_金属制品业_全国_当期同比增长率_月_zscore_release,fac_PPI_石油加工、炼焦及核燃料加工业_全国_当期同比增长率_月_level,fac_PPI_石油加工、炼焦及核燃料加工业_全国_当期同比增长率_月_level_release,fac_PPI_All_Industry_YoY_zscore,fac_PPI_All_Industry_YoY_zscore_release,fac_Non_Mfg_PMI_Constr_New_Orders_level,fac_Non_Mfg_PMI_Constr_New_Orders_level_release,fac_Non_Mfg_PMI_Constr_New_Orders_zscore,fac_Non_Mfg_PMI_Constr_New_Orders_zscore_release,fac_PPI_All_Industry_YoY_level,fac_PPI_All_Industry_YoY_level_release,fac_Non_Mfg_PMI_Constr_New_Orders_diff,fac_Non_Mfg_PMI_Constr_New_Orders_diff_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,fac_PMI_Input_Price_level,fac_PMI_Input_Price_level_release,fac_PPI_金属制品业_全国_当期同比增长率_月_level,fac_PPI_金属制品业_全国_当期同比增长率_月_level_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_非制造业PMI_建筑业_全国_当期值_月_level,fac_非制造业PMI_建筑业_全国_当期值_月_level_release,fac_GDP_Contribution_2nd_Industry_YoY_zscore,fac_GDP_Contribution_2nd_Industry_YoY_zscore_release,fac_PMI_Raw_Material_Inventory_diff,fac_PMI_Raw_Material_Inventory_diff_release,fac_PPIRM_黑色金属材料类_全国_当期同比增长率_月_level,fac_PPIRM_黑色金属材料类_全国_当期同比增长率_月_level_release,fac_PMI_New_Orders_diff,fac_PMI_New_Orders_diff_release,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_diff,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_diff_release,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_level,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_level_release,any_effective_release
2016-01-04,52.328057906345585,52.495240199976095,51.575737585008355,51.659328731823614,30.0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,,0,,1,,0,,1,,0,,0,0
2016-01-05,51.659328731823614,51.826511025454096,51.49214643819309,51.575737585008355,16.0,-0.0016181229773464256,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,51.575737585008355,51.575737585008355,50.90700841048637,50.90700841048637,8.0,-0.01296596434359798,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,50.90700841048637,51.575737585008355,50.90700841048637,51.575737585008355,22.0,0.013136288998357948,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,50.40546152959487,50.823417263671125,50.40546152959487,50.489052676410104,22.0,-0.02106969205834719,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,50.40546152959487,50.40546152959487,49.31877662099662,49.31877662099662,38.0,-0.023178807947019875,,1,,1,-18.7,1,,1,,0,,0,-5.9,1,,0,,0,,0,-4.2,1,,0,,0,,0,,0,-13.6,1,,0,,1,-20.8,1,1
2016-01-12,48.482865152844155,49.23518547418137,48.06490941876791,48.06490941876791,60.0,-0.025423728813559032,,0,,0,-18.7,0,,0,,0,,0,-5.9,0,,0,,0,,0,-4.2,0,,0,,0,,0,,0,-13.6,0,,0,,0,-20.8,0,0
2016-01-13,47.64695368469165,48.817229740105134,47.64695368469165,48.31568285921365,36.0,0.005217391304347618,,0,,0,-18.7,0,,0,,0,,0,-5.9,0,,0,,0,,0,-4.2,0,,0,,0,,0,,0,-13.6,0,,0,,0,-20.8,0,0
2016-01-14,47.981318271952645,48.56645629965941,47.814135978322184,48.39927400602892,42.0,0.0017301038062287333,,0,,0,-18.7,0,,0,,0,,0,-5.9,0,,0,,0,,0,-4.2,0,,0,,0,,0,,0,-13.6,0,,0,,0,-20.8,0,0
2016-01-15,50.23827923596436,50.23827923596436,48.14850056558317,48.98441203373565,314.0,0.012089810017271052,,0,,0,-18.7,0,,0,,0,,0,-5.9,0,,0,,0,,0,-4.2,0,,0,,0,,0,,0,-13.6,0,,0,,0,-20.8,0,0
