date,open,high,low,close,volume,returns,fac_居民鲜果消费价格指数CPI_上年=100_当月_zscore,fac_居民鲜果消费价格指数CPI_上年=100_当月_zscore_release,fac_居民鲜果消费价格指数CPI_上年=100_当月_level,fac_居民鲜果消费价格指数CPI_上年=100_当月_level_release,fac_PPIRM_农副产品类_全国_当期同比增长率_月_diff,fac_PPIRM_农副产品类_全国_当期同比增长率_月_diff_release,fac_居民粮食消费价格指数CPI_上年=100_当月_zscore,fac_居民粮食消费价格指数CPI_上年=100_当月_zscore_release,fac_PMI_Input_Price_level,fac_PMI_Input_Price_level_release,fac_PPI_农副食品加工业_全国_当期同比增长率_月_diff,fac_PPI_农副食品加工业_全国_当期同比增长率_月_diff_release,fac_对CPI同比拉动_食品_粮食_全国_当期同比增长率_月_zscore,fac_对CPI同比拉动_食品_粮食_全国_当期同比增长率_月_zscore_release,fac_PPIRM_农副产品类_全国_当期同比增长率_月_zscore,fac_PPIRM_农副产品类_全国_当期同比增长率_月_zscore_release,fac_居民食品消费价格指数CPI_上年=100_当月_zscore,fac_居民食品消费价格指数CPI_上年=100_当月_zscore_release,fac_CPI_翘尾因素_当月_level,fac_CPI_翘尾因素_当月_level_release,fac_PMI_New_Orders_level,fac_PMI_New_Orders_level_release,fac_制造业采购经理指数PMI_进口_level,fac_制造业采购经理指数PMI_进口_level_release,fac_PMI_Input_Price_diff,fac_PMI_Input_Price_diff_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PPI_农副食品加工业_全国_当期同比增长率_月_level,fac_PPI_农副食品加工业_全国_当期同比增长率_月_level_release,fac_PMI_New_Orders_zscore,fac_PMI_New_Orders_zscore_release,fac_居民食品消费价格指数CPI_上年=100_当月_diff,fac_居民食品消费价格指数CPI_上年=100_当月_diff_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,any_effective_release
2016-01-04,2000.1602317419618,2007.5486864238567,1985.383322378168,1998.0492446899907,289822.0,0.0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,1,,1,,1,,0,,0,,1,,0,,0,,1,0
2016-01-05,1995.9382576380199,2020.2146087356798,1993.8272705860504,2018.1036216837092,360552.0,0.010036978341257052,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,2018.1036216837092,2036.0470116254583,2014.9371411057543,2033.936024573487,458790.0,0.007845188284518745,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,2034.991518099473,2036.0470116254583,2013.8816475797682,2019.1591152096944,503474.0,-0.007265179034768976,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,2020.2146087356798,2026.5475698915918,2011.770660527798,2017.0481281577245,278044.0,-0.001045478306324954,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,2005.437699371886,2017.0481281577245,1998.0492446899907,2012.826154053783,318936.0,-0.002093144950288117,,1,93.1155,1,,1,,1,,0,,1,,1,,1,,1,,0,,0,,0,,0,,0,-1.6,1,,0,,1,,0,,0,1
2016-01-12,2010.715167001813,2021.270102261665,2005.437699371886,2019.1591152096944,321724.0,0.0031463030938647663,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-13,2017.0481281577245,2020.2146087356798,2007.5486864238567,2013.8816475797682,181734.0,-0.00261369576581294,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-14,2013.8816475797682,2019.1591152096944,2003.3267123199169,2009.6596734758284,254414.0,-0.002096436058699691,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-15,2009.6596734758284,2018.1036216837092,2004.3822058459014,2015.9926346317382,205602.0,0.0031512605042010033,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-18,2015.9926346317382,2028.6585569435606,2009.6596734758284,2024.43658283962,320392.0,0.004188481675392763,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-19,2022.3255957876504,2024.43658283962,2006.493192897872,2010.715167001813,276730.0,-0.006777893639207222,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
