date,open,high,low,close,volume,returns,fac_PPI_Electrical_Machinery_YoY_diff,fac_PPI_Electrical_Machinery_YoY_diff_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_PPIRM_diff,fac_PPIRM_diff_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PPI_diff,fac_PPI_diff_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PPI_Electrical_Machinery_YoY_level,fac_PPI_Electrical_Machinery_YoY_level_release,fac_Non_Mfg_PMI_Constr_Expectation_level,fac_Non_Mfg_PMI_Constr_Expectation_level_release,fac_PMI_zscore,fac_PMI_zscore_release,fac_PMI_level,fac_PMI_level_release,fac_PMI_diff,fac_PMI_diff_release,any_effective_release
2019-12-06,1536.511528296599,1575.7583106285683,1522.7751544804096,1554.172580345986,17602.0,0.0,,1,,0,,1,,0,,1,,0,,1,,1,,1,,1,,1,1
2019-12-09,1555.1537499042843,1574.7771410702687,1550.2479021127883,1557.1160890208832,4914.0,0.0018939393939390037,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2019-12-10,1554.172580345986,1622.8544494269318,1554.172580345986,1622.8544494269318,6668.0,0.042218021424070606,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2019-12-11,1638.5531623597199,1657.1953839674052,1621.8732798686324,1632.6661450099236,6484.0,0.006045949214026347,,0,,0,-0.19999981,1,,0,-0.6,1,,0,,0,,0,,0,,0,,0,1
2019-12-12,1634.6284841265224,1636.5908232431204,1604.2122278192467,1611.0804147273407,3880.0,-0.013221153846153744,,0,,0,-0.19999981,0,,0,-0.6,0,,0,,0,,0,,0,,0,,0,0
2019-12-13,1613.042753843939,1616.9674320771358,1603.231058260947,1609.1180756107424,1444.0,-0.0012180267965894442,-0.29999995,1,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,1,,0,,0,,0,,0,1
2019-12-16,1613.042753843939,1634.6284841265224,1607.1557364941436,1619.9109407520334,5056.0,0.006707317073170405,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,,0,,0,,0,,0,0
2019-12-17,1615.986262518837,1626.779127660129,1599.30638002775,1612.0615842856403,4090.0,-0.004845548152634271,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,,0,,0,,0,,0,0
2019-12-18,1609.1180756107424,1638.5531623597199,1609.1180756107424,1619.9109407520334,3570.0,0.004869141813754974,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,,0,,0,,0,,0,0
2019-12-19,1616.9674320771358,1629.7226363350267,1616.9674320771358,1620.8921103103335,2014.0,0.0006056935190799084,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,,0,,0,,0,,0,0
2019-12-20,1618.9297711937347,1622.8544494269318,1611.0804147273407,1613.042753843939,1808.0,-0.004842615012106921,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,1,,0,,0,,0,0
2019-12-23,1611.0804147273407,1614.0239234022383,1605.193397377546,1607.1557364941436,1646.0,-0.0036496350364962904,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,,0,,0,0
2019-12-24,1605.193397377546,1617.9486016354351,1605.193397377546,1613.042753843939,1316.0,0.00366300366300365,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,,0,,0,0
2019-12-25,1612.0615842856403,1615.986262518837,1610.0992451690418,1614.0239234022383,946.0,0.0006082725060827521,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,,0,,0,0
2019-12-26,1613.042753843939,1622.8544494269318,1610.0992451690418,1615.986262518837,2484.0,0.0012158054711248756,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,,0,,0,0
2019-12-27,1618.9297711937347,1637.5719928014198,1618.9297711937347,1621.8732798686324,2154.0,0.0036429872495444826,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,,0,,0,0
2019-12-30,1623.8356189852304,1651.3083666176096,1619.9109407520334,1651.3083666176096,1688.0,0.01814882032667886,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,,0,,0,0
2019-12-31,1649.346027501011,1666.025909992098,1648.3648579427115,1659.1577230840035,4014.0,0.004753416518122444,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,,0,,0,0
2020-01-02,1659.1577230840035,1669.950588225295,1646.4025188261135,1648.3648579427115,1519.0,-0.006505026611472675,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,1,53.2,1,-0.80000305,1,0
2020-01-03,1648.3648579427115,1658.1765535257043,1645.4213492678139,1657.1953839674052,813.0,0.005357142857143282,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,53.2,0,-0.80000305,0,0
2020-01-06,1661.1200622006018,1669.950588225295,1655.2330448508062,1657.1953839674052,1492.0,0.0,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,53.2,0,-0.80000305,0,0
2020-01-07,1655.2330448508062,1658.1765535257043,1644.440179709514,1650.3271970593098,548.0,-0.004144464179988594,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,53.2,0,-0.80000305,0,0
2020-01-08,1650.3271970593098,1658.1765535257043,1648.3648579427115,1652.289536175909,979.0,0.0011890606420932315,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,53.2,0,-0.80000305,0,0
2020-01-09,1656.2142144091051,1656.2142144091051,1642.477840592916,1647.383688384412,1367.0,-0.0029691211401430273,-0.29999995,0,,0,-0.19999981,0,,0,-0.6,0,,0,-2.5,0,63.1,0,,0,53.2,0,-0.80000305,0,0
2020-01-10,1645.4213492678139,1681.7246229248856,1645.4213492678139,1667.0070795503966,2083.0,0.011911852293031489,-0.29999995,0,,0,-0.10000014,1,,0,-0.3,1,,0,-2.5,0,63.1,0,,0,53.2,0,-0.80000305,0,1
2020-01-13,1665.0447404337988,1667.0070795503966,1654.251875292507,1659.1577230840035,523.0,-0.004708652148322168,-0.29999995,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.5,0,59.2,1,,0,53.2,0,-0.80000305,0,0
2020-01-14,1653.270705734208,1667.988249108696,1653.270705734208,1662.1012317589013,439.0,0.0017740981667653255,-0.29999995,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.5,0,59.2,0,,0,53.2,0,-0.80000305,0,0
2020-01-15,1665.0447404337988,1690.5551489495783,1658.1765535257043,1662.1012317589013,2967.0,0.0,-0.29999995,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.5,0,59.2,0,,0,53.2,0,-0.80000305,0,0
2020-01-16,1665.0447404337988,1672.8940969001924,1661.1200622006018,1661.1200622006018,516.0,-0.0005903187721372216,-0.29999995,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.5,0,59.2,0,,0,53.2,0,-0.80000305,0,0
2020-01-17,1667.0070795503966,1679.7622838082868,1665.0447404337988,1673.8752664584922,449.0,0.00767867690490287,0.099999905,1,,0,-0.10000014,0,,0,-0.3,0,,0,-2.4,1,59.2,0,,0,53.2,0,-0.80000305,0,1
2020-01-20,1667.988249108696,1667.988249108696,1652.289536175909,1663.0824013172,819.0,-0.006447831184056674,0.099999905,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.4,0,59.2,0,,0,53.2,0,-0.80000305,0,0
2020-01-21,1664.0635708754992,1667.988249108696,1652.289536175909,1654.251875292507,311.0,-0.005309734513274211,0.099999905,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.4,0,59.2,0,,0,53.2,0,-0.80000305,0,0
2020-01-22,1649.346027501011,1649.346027501011,1631.6849754516247,1642.477840592916,1133.0,-0.007117437722420128,0.099999905,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.4,0,59.2,0,,0,53.2,0,-0.80000305,0,0
2020-01-23,1637.5719928014198,1641.4966710346164,1603.231058260947,1616.9674320771358,835.0,-0.015531660692951088,0.099999905,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.4,0,59.2,0,,0,53.2,0,-0.80000305,0,0
2020-02-03,1512.9634588974166,1560.0595976957795,1512.9634588974166,1534.5491891800007,1330.0,-0.05097087378640752,0.099999905,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.4,0,59.2,0,,1,51.3,1,0.40000153,1,0
2020-02-04,1521.7939849221107,1567.9089541621745,1521.7939849221107,1567.9089541621745,639.0,0.021739130434782483,0.099999905,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.4,0,59.2,0,,0,51.3,0,0.40000153,0,0
2020-02-05,1558.0972585791826,1575.7583106285683,1558.0972585791826,1572.8148019536704,636.0,0.0031289111389234403,0.099999905,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.4,0,59.2,0,,0,51.3,0,0.40000153,0,0
2020-02-06,1571.833632395371,1588.5135148864583,1569.871293278773,1588.5135148864583,490.0,0.009981285090455483,0.099999905,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.4,0,59.2,0,,0,51.3,0,0.40000153,0,0
2020-02-07,1583.607667094962,1612.0615842856403,1582.6264975366632,1584.5888366532613,744.0,-0.002470660901791266,0.099999905,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.4,0,59.2,0,,0,51.3,0,0.40000153,0,0
2020-02-10,1578.7018193034667,1592.4381931196554,1575.7583106285683,1587.5323453281596,407.0,0.0018575851393192178,0.099999905,0,,0,-0.10000014,0,,0,-0.3,0,,0,-2.4,0,59.2,0,,0,51.3,0,0.40000153,0,0
2020-02-11,1586.55117576986,1595.381701794553,1583.607667094962,1593.419362677955,306.0,0.003708281829418958,0.099999905,0,,0,0.10000014,1,,0,0.1,1,,0,-2.4,0,59.2,0,,0,51.3,0,0.40000153,0,1
