date,open,high,low,close,volume,returns,fac_Non_Mfg_PMI_Constr_Expectation_level,fac_Non_Mfg_PMI_Constr_Expectation_level_release,fac_PMI_level,fac_PMI_level_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PMI_zscore,fac_PMI_zscore_release,fac_Non_Mfg_PMI_Constr_Expectation_diff,fac_Non_Mfg_PMI_Constr_Expectation_diff_release,fac_PPI_zscore,fac_PPI_zscore_release,fac_PPI_diff,fac_PPI_diff_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_Non_Mfg_PMI_Constr_Expectation_zscore,fac_Non_Mfg_PMI_Constr_Expectation_zscore_release,fac_PPIRM_Fuel_Power_YoY_diff,fac_PPIRM_Fuel_Power_YoY_diff_release,fac_PMI_diff,fac_PMI_diff_release,fac_PPIRM_Fuel_Power_YoY_level,fac_PPIRM_Fuel_Power_YoY_level_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,fac_PPIRM_Fuel_Power_YoY_zscore,fac_PPIRM_Fuel_Power_YoY_zscore_release,fac_PPIRM_diff,fac_PPIRM_diff_release,any_effective_release
2016-01-04,3585.94444812862,3585.94444812862,3585.94444812862,3585.94444812862,0.0,0.0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,0
2016-01-05,3603.8383825005235,3603.8383825005235,3603.8383825005235,3603.8383825005235,0.0,0.004990019960080971,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,3568.0505137567234,3568.0505137567234,3568.0505137567234,3568.0505137567234,0.0,-0.009930486593843546,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,3575.2080875054835,3575.2080875054835,3575.2080875054835,3575.2080875054835,0.0,0.0020060180541625616,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,3575.2080875054835,3575.2080875054835,3575.2080875054835,3575.2080875054835,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,3575.2080875054835,3575.2080875054835,3575.2080875054835,3575.2080875054835,0.0,0.0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,,1,,0,-11.0,1,,0,,1,,1,1
2016-01-12,3514.3687106410266,3514.3687106410266,3514.3687106410266,3514.3687106410266,0.0,-0.017017017017016745,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-13,3550.156579384828,3550.156579384828,3550.156579384828,3550.156579384828,0.0,0.010183299389002753,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-14,3542.999005636066,3542.999005636066,3542.999005636066,3542.999005636066,0.0,-0.0020161290322586733,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-15,3607.4171693749013,3607.4171693749013,3607.4171693749013,3607.4171693749013,0.0,0.01818181818181741,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-18,3560.605702622063,3618.7855343642514,3560.605702622063,3611.0282234652955,19020.0,0.0010010081786631098,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-19,3611.0282234652955,3684.722677005401,3603.2709125663364,3676.9653661064463,23374.0,0.01825993555316896,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-20,3665.3293997580026,3688.601332454881,3634.3001561621704,3657.572088859044,17050.0,-0.005274261603376962,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-21,3653.6934334095663,3676.9653661064463,3611.0282234652955,3645.93612251061,15698.0,-0.003181336161186543,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-22,3684.722677005401,3707.9946097022794,3669.208055207486,3704.1159542528017,15912.0,0.015957446808510856,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-25,3746.7811641970716,3758.4171305455147,3715.7519206012357,3746.7811641970716,16754.0,0.011518324607328934,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-26,3727.387886949678,3739.023853298112,3688.601332454881,3711.8732651517576,21428.0,-0.009316770186335366,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-27,3727.387886949678,3746.7811641970716,3715.7519206012357,3735.145197848636,10692.0,0.006269592476489727,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-28,3739.023853298112,3746.7811641970716,3711.8732651517576,3735.145197848636,15484.0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-01-29,3742.902508747592,3785.567718691867,3719.6305760507157,3773.9317523434297,20324.0,0.01038421599169248,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-02-01,3766.174441444472,3793.3250295908233,3766.174441444472,3770.053096893947,10216.0,-0.0010277492291889123,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-02-02,3758.4171305455147,3793.3250295908233,3742.902508747592,3777.810407792909,11238.0,0.002057613168725103,,0,49.5,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,1,,0,,0,0
2016-02-03,3766.174441444472,3808.8396513887405,3762.29578599499,3785.567718691867,8122.0,0.002053388090348829,,0,49.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-02-04,3804.960995939265,3847.626205883534,3793.3250295908233,3828.232928636137,16304.0,0.011270491803277771,,0,49.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-02-05,3820.4756177371814,3847.626205883534,3801.0823404897833,3812.7183068382246,6346.0,-0.004052684903747328,,0,49.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-02-15,3808.8396513887405,3859.2621722319745,3781.6890632423892,3847.626205883534,10032.0,0.009155645981687499,,0,49.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-02-16,3863.1408276814523,3870.898138580414,3843.747550434056,3863.1408276814523,8404.0,0.0040322580645162365,,0,49.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-02-17,3855.3835167824927,3863.1408276814523,3804.960995939265,3804.960995939265,10184.0,-0.015060240963854499,,0,49.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-02-18,3824.3542731866596,3847.626205883534,3808.8396513887405,3839.8688949845764,9056.0,0.009174311926604783,,0,49.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-11.0,0,,0,,0,,0,0
2016-02-19,3835.9902395350973,3940.713936671038,3820.4756177371814,3936.8352812215585,23206.0,0.025252525252524638,,0,49.5,0,,0,,0,,0,,1,0.5999999,1,,0,,0,,0,0.3000002,1,,0,-10.7,1,,0,,1,1.3000002,1,1
2016-02-22,3921.3206594236435,3967.864524817398,3917.4420039741667,3948.47124757,12342.0,0.0029556650246314042,,0,49.5,0,,0,,0,,0,,0,0.5999999,0,,0,,0,,0,0.3000002,0,,0,-10.7,0,,0,,0,1.3000002,0,0
2016-02-23,3948.47124757,3979.5004911658334,3929.0779703226012,3975.621835716357,10134.0,0.006876227897839371,,0,49.5,0,,0,,0,,0,,0,0.5999999,0,,0,,0,,0,0.3000002,0,,0,-10.7,0,,0,,0,1.3000002,0,0
2016-02-24,3948.47124757,3983.379146615312,3944.5925921205207,3963.9858693679157,13326.0,-0.0029268292682934627,,0,49.5,0,,0,,0,,0,,0,0.5999999,0,,0,,0,,0,0.3000002,0,,0,-10.7,0,,0,,0,1.3000002,0,0
2016-02-25,3963.9858693679157,4018.2870456606297,3944.5925921205207,4006.651079312191,18348.0,0.010763209393346962,,0,49.5,0,,0,,0,,0,,0,0.5999999,0,,0,,0,,0,0.3000002,0,,0,-10.7,0,,0,,0,1.3000002,0,0
2016-02-26,3991.136457514275,4014.4083902111515,3952.3499030194766,3998.893768413232,14500.0,-0.0019361084220717029,,0,49.5,0,,0,,0,,0,,0,0.5999999,0,,0,,0,,0,0.3000002,0,,0,-10.7,0,,0,,0,1.3000002,0,0
2016-02-29,3979.5004911658334,4018.2870456606297,3967.864524817398,3991.136457514275,14292.0,-0.0019398642095048713,,0,49.5,0,,0,,0,,0,,0,0.5999999,0,,0,,0,,0,0.3000002,0,,0,-10.7,0,,0,,0,1.3000002,0,0
