date,open,high,low,close,volume,returns,fac_PMI_Input_Price_diff,fac_PMI_Input_Price_diff_release,fac_PPIRM_农副产品类_全国_当期同比增长率_月_zscore,fac_PPIRM_农副产品类_全国_当期同比增长率_月_zscore_release,fac_PPI_农副食品加工业_全国_当期同比增长率_月_zscore,fac_PPI_农副食品加工业_全国_当期同比增长率_月_zscore_release,fac_居民粮食消费价格指数CPI_上年=100_当月_zscore,fac_居民粮食消费价格指数CPI_上年=100_当月_zscore_release,fac_CPI_新涨价因素_当月_diff,fac_CPI_新涨价因素_当月_diff_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_居民食品消费价格指数CPI_上年=100_当月_diff,fac_居民食品消费价格指数CPI_上年=100_当月_diff_release,fac_PMI_New_Orders_diff,fac_PMI_New_Orders_diff_release,fac_居民食品消费价格指数CPI_上年=100_当月_zscore,fac_居民食品消费价格指数CPI_上年=100_当月_zscore_release,any_effective_release
2016-01-04,942.4855201660322,945.6642234380934,925.7973279877128,926.1946658967207,190168.0,0.0,,1,,0,,0,,0,,0,,0,,0,,1,,0,0
2016-01-05,925.0026521696981,932.1547345318347,925.0026521696981,930.5653828958046,159008.0,0.004719004719005104,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,930.5653828958046,932.1547345318347,922.6186247156521,928.976031259774,226696.0,-0.001707941929974588,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,927.7840175327511,941.2935064390097,925.7973279877128,932.5520724408426,317172.0,0.0038494439692047244,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,930.9627208048117,944.0748718020627,929.3733691687816,943.2801959840477,264310.0,0.011504047720494182,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,944.4722097110703,944.8695476200783,929.3733691687816,929.7707070777891,233742.0,-0.014321819713563833,,0,,1,,1,,1,,0,,0,,1,,0,,1,0
2016-01-12,928.976031259774,934.1414240768726,926.5920038057283,929.3733691687816,265226.0,-0.0004273504273503148,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-13,928.5786933507665,939.7041548029794,928.5786933507665,932.1547345318347,284110.0,0.0029927319367251126,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-14,932.9494103498498,940.4988306209943,930.5653828958046,938.1148031669488,241370.0,0.006393861892583175,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-15,938.1148031669488,942.088182257025,935.3334378038954,939.3068168939715,182456.0,0.0012706480304953693,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-18,937.7174652579412,960.3657260713744,935.3334378038954,959.5710502533592,448764.0,0.021573604060913798,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-19,959.1737123443515,963.941767252443,957.5843607083215,960.7630639803822,257666.0,0.001242236024844967,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-20,961.1604018893894,965.1337809794657,954.008319527253,959.1737123443515,369210.0,-0.0016542597187760855,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-21,957.5843607083215,958.7763744353439,947.2535750741238,947.6509129831312,307102.0,-0.012013256006627837,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-22,948.8429267101541,960.7630639803822,948.0482508921389,959.968388162367,240308.0,0.012997903563941371,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-25,960.7630639803822,965.5311188884733,950.8296162551921,952.8163058002299,352962.0,-0.007450331125828047,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-26,952.8163058002299,959.5710502533592,950.0349404371768,955.9950090722907,183326.0,0.0033361134278566684,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-27,954.4056574362605,957.9816986173287,951.2269541641997,955.5976711632832,223076.0,-0.00041562759767244106,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-28,955.5976711632832,959.968388162367,952.8163058002299,954.8029953452681,205832.0,-0.0008316008316007206,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-29,954.4056574362605,955.2003332542755,943.2801959840477,945.6642234380934,211820.0,-0.009571369121930795,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-02-01,945.2668855290855,955.9950090722907,942.4855201660322,954.4056574362605,149000.0,0.009243697478991564,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-02-02,952.8163058002299,959.5710502533592,952.4189678912223,958.3790365263364,120918.0,0.004163197335553592,2.699997,1,,0,,0,,0,,0,,0,,0,-0.70000076,1,,0,0
2016-02-03,957.1870227993137,958.3790365263364,952.0216299822147,956.7896848903063,139284.0,-0.0016583747927029213,2.699997,0,,0,,0,,0,,0,,0,,0,-0.70000076,0,,0,0
2016-02-04,957.1870227993137,957.9816986173287,951.6242920732074,954.8029953452681,220672.0,-0.0020764119601330844,2.699997,0,,0,,0,,0,,0,,0,,0,-0.70000076,0,,0,0
2016-02-05,954.8029953452681,955.9950090722907,947.6509129831312,952.0216299822147,219450.0,-0.0029130253849356524,2.699997,0,,0,,0,,0,,0,,0,,0,-0.70000076,0,,0,0
2016-02-15,946.0615613471007,954.008319527253,945.6642234380934,946.4588992561083,185456.0,-0.005843071786310383,2.699997,0,,0,,0,,0,,0,,0,,0,-0.70000076,0,,0,0
2016-02-16,948.0482508921389,952.8163058002299,940.1014927119869,940.896168530002,410010.0,-0.005877413937867226,2.699997,0,,0,,0,,0,,0,,0,,0,-0.70000076,0,,0,0
2016-02-17,941.6908443480171,944.4722097110703,934.5387619858806,935.3334378038954,358912.0,-0.005912162162162282,2.699997,0,,0,,0,,0,,0,,0,,0,-0.70000076,0,,0,0
2016-02-18,936.9227894399259,940.896168530002,934.1414240768726,935.7307757129031,248140.0,0.0004248088360239155,2.699997,0,,0,,0,,0,,0,,0,,0,-0.70000076,0,,0,0
2016-02-19,935.7307757129031,939.7041548029794,930.9627208048117,936.9227894399259,335172.0,0.001273885350318471,2.699997,0,,1,,1,,1,,0,,0,,0,-0.70000076,0,,0,0
