date,open,high,low,close,volume,returns,fac_Non_Mfg_PMI_Constr_New_Orders_level,fac_Non_Mfg_PMI_Constr_New_Orders_level_release,fac_Non_Mfg_PMI_Constr_Expectation_level,fac_Non_Mfg_PMI_Constr_Expectation_level_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_非制造业PMI_建筑业_全国_当期值_月_level,fac_非制造业PMI_建筑业_全国_当期值_月_level_release,fac_GDP_Contribution_2nd_Industry_YoY_diff,fac_GDP_Contribution_2nd_Industry_YoY_diff_release,fac_Non_Mfg_PMI_Constr_Expectation_zscore,fac_Non_Mfg_PMI_Constr_Expectation_zscore_release,fac_GDP_Contribution_2nd_Industry_YoY_zscore,fac_GDP_Contribution_2nd_Industry_YoY_zscore_release,fac_PPI_非金属矿物制品业_全国_当期同比增长率_月_level,fac_PPI_非金属矿物制品业_全国_当期同比增长率_月_level_release,fac_Non_Mfg_PMI_Constr_Expectation_diff,fac_Non_Mfg_PMI_Constr_Expectation_diff_release,fac_PPIRM_黑色金属材料类_全国_当期同比增长率_月_level,fac_PPIRM_黑色金属材料类_全国_当期同比增长率_月_level_release,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_level,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_level_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PMI_New_Orders_level,fac_PMI_New_Orders_level_release,fac_制造业采购经理指数PMI_生产_level,fac_制造业采购经理指数PMI_生产_level_release,fac_PMI_Raw_Material_Inventory_level,fac_PMI_Raw_Material_Inventory_level_release,fac_非制造业PMI_建筑业_全国_当期值_月_zscore,fac_非制造业PMI_建筑业_全国_当期值_月_zscore_release,fac_PMI_Raw_Material_Inventory_diff,fac_PMI_Raw_Material_Inventory_diff_release,fac_PMI_Business_Expectation_level,fac_PMI_Business_Expectation_level_release,fac_PPIRM_黑色金属材料类_全国_当期同比增长率_月_diff,fac_PPIRM_黑色金属材料类_全国_当期同比增长率_月_diff_release,fac_Non_Mfg_PMI_Constr_New_Orders_zscore,fac_Non_Mfg_PMI_Constr_New_Orders_zscore_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PPI_黑色金属矿采选业_全国_当期同比增长率_月_diff,fac_PPI_黑色金属矿采选业_全国_当期同比增长率_月_diff_release,fac_PPI_金属制品业_全国_当期同比增长率_月_level,fac_PPI_金属制品业_全国_当期同比增长率_月_level_release,fac_PMI_Raw_Material_Inventory_zscore,fac_PMI_Raw_Material_Inventory_zscore_release,fac_PPI_黑色金属矿采选业_全国_当期同比增长率_月_level,fac_PPI_黑色金属矿采选业_全国_当期同比增长率_月_level_release,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_diff,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_diff_release,any_effective_release
2016-01-04,685.0496497897947,685.0496497897947,661.5468215349135,666.5556209990688,5902.0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,0,,1,,0,,0,,0,,0,,0,,0,,1,,0,,0,0
2016-01-05,665.785036466122,673.1055895291175,664.629159666702,673.1055895291175,5490.0,0.009826589595375967,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,674.2614663285378,675.0320508614851,668.0967900649624,671.9497127296971,2858.0,-0.0017172295363481194,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,669.6379591308564,681.9673116580067,669.6379591308564,676.1879276609055,5368.0,0.006307339449541871,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,674.2614663285378,676.1879276609055,667.7114977984891,669.6379591308564,3038.0,-0.009686609686610392,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,670.793835930277,671.1791281967498,665.785036466122,668.4820823314361,1292.0,-0.0017261219792864546,,0,,0,,0,,0,,0,,0,,0,-4.2,1,,0,-13.6,1,-20.8,1,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,1,-4.2,1,,0,-17.6,1,,1,1
2016-01-12,667.3262055320155,670.02325139733,650.7586380736575,653.4556839389712,4250.0,-0.02247838616714748,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-13,655.2531349774639,659.9140938510438,653.3110687801384,657.1952011747888,2964.0,0.005722679177379231,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-14,659.5256806115793,671.9549042744591,657.5836144142537,670.7896645560638,3684.0,0.020685579196217274,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-15,668.459185119274,674.6737969507137,668.459185119274,673.1201439928541,5136.0,0.003474232773596153,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-18,673.1201439928541,693.7060456844995,671.5664910349938,692.5408059661042,5616.0,0.028851702250432654,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-19,691.3755662477098,701.0858972343343,689.4335000503846,700.6974839948695,4380.0,0.011777902411665986,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-20,701.8627237132642,703.4163766711248,693.7060456844995,696.03652512129,2890.0,-0.006651884700664357,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-21,689.0450868109194,698.755417797544,688.2682603319894,694.4828721634296,1612.0,-0.002232142857143238,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-22,694.0944589239647,706.9120958263095,694.0944589239647,696.4249383607545,1212.0,0.002796420581655301,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
