date,open,high,low,close,volume,returns,fac_PPI_Electrical_Machinery_YoY_zscore,fac_PPI_Electrical_Machinery_YoY_zscore_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PMI_diff,fac_PMI_diff_release,fac_PPI_Electrical_Machinery_YoY_diff,fac_PPI_Electrical_Machinery_YoY_diff_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PPI_zscore,fac_PPI_zscore_release,fac_PPI_level,fac_PPI_level_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,fac_PMI_Input_Price_diff,fac_PMI_Input_Price_diff_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_PPIRM_zscore,fac_PPIRM_zscore_release,fac_PMI_level,fac_PMI_level_release,fac_PPI_diff,fac_PPI_diff_release,any_effective_release
2016-01-04,53704.343137291224,53818.10745688723,51997.878343350996,52278.496998354494,577174.0,0.0,,0,,0,,1,,0,,0,,0,,0,,1,,1,,0,,0,,1,,0,1
2016-01-05,52483.27277362732,52794.22858052312,51952.372615512606,52718.38570079244,765810.0,0.008414333381692174,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,52619.789957142566,52900.408612146035,51846.192583889664,52195.06983065077,773858.0,-0.00992662926197685,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,52331.58701416599,52642.542821061696,51072.59521063678,51178.775242259704,911372.0,-0.01947108398721331,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,51163.60666631357,51990.29405537793,50443.099308872166,51512.48391307471,1222618.0,0.0065204505038536364,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,51504.89962510165,52073.7212230817,50647.87508414497,50814.729419552445,986604.0,-0.013545347467610047,,0,,0,,0,,0,,0,,1,-10.5,1,,0,,0,,0,,1,,0,,1,0
2016-01-12,51027.089482798394,51292.539561855716,49919.78343873048,50018.379182380384,1033860.0,-0.01567164179104419,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-13,50063.88491021879,50572.03220441432,50010.79489440731,50223.1549576532,814236.0,0.004094010614101418,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-14,50223.1549576532,51626.24823267072,50094.22206211107,51087.763786582895,924800.0,0.017215342796738087,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-15,51095.34807455599,52597.037093223385,51011.92090685224,51717.25968834753,1061426.0,0.012321852731592031,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-18,51436.64103334401,52801.81286849614,51345.62957766719,52574.28422930415,1076330.0,0.016571344771960428,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-19,52566.69994133106,53317.54445066476,52119.22695092012,53188.61155512259,977974.0,0.011684939411424677,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-20,53097.60009944581,53309.96016269169,52217.82269456998,52688.04854890017,925226.0,-0.009411093683159066,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-21,52672.879972954,53090.01581147273,52263.328422408355,52521.19421349262,1032314.0,-0.003166834604866664,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-22,52597.037093223385,53681.590273372014,52528.77850146575,53211.36441904182,1091160.0,0.013140794223827745,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-25,53674.00598539896,53795.354592968026,52430.18275781585,52604.621381196426,754402.0,-0.011402508551881296,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-26,52634.9585330887,52756.30714065777,52141.9798148393,52430.18275781585,744666.0,-0.0033160322952715537,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-27,52597.037093223385,53537.48880188371,52597.037093223385,53484.398786072285,820568.0,0.020107044698395304,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
2016-01-28,53423.72448228771,53522.320225937576,52748.7228526847,52885.24003619989,683710.0,-0.01120249574588883,,0,,0,,0,,0,,0,,0,-10.5,0,,0,,0,,0,,0,,0,,0,0
