date,open,high,low,close,volume,returns,fac_CPI-PPI_差值_当月_level,fac_CPI-PPI_差值_当月_level_release,fac_PPI_翘尾因素_当月_level,fac_PPI_翘尾因素_当月_level_release,fac_制造业采购经理指数PMI_进口_zscore,fac_制造业采购经理指数PMI_进口_zscore_release,fac_制造业采购经理指数PMI_采购量_zscore,fac_制造业采购经理指数PMI_采购量_zscore_release,fac_PPI_煤炭开采和洗选业_全国_当期同比增长率_月_level,fac_PPI_煤炭开采和洗选业_全国_当期同比增长率_月_level_release,fac_PPIRM_化工原料类_全国_当期同比增长率_月_diff,fac_PPIRM_化工原料类_全国_当期同比增长率_月_diff_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,fac_PMI_New_Orders_zscore,fac_PMI_New_Orders_zscore_release,fac_PPI_煤炭开采和洗选业_全国_当期同比增长率_月_zscore,fac_PPI_煤炭开采和洗选业_全国_当期同比增长率_月_zscore_release,fac_GDP_Cumulative_YoY_level,fac_GDP_Cumulative_YoY_level_release,fac_PPI_石油和天然气开采业_全国_当期同比增长率_月_diff,fac_PPI_石油和天然气开采业_全国_当期同比增长率_月_diff_release,fac_制造业采购经理指数PMI_生产_diff,fac_制造业采购经理指数PMI_生产_diff_release,fac_PPI_化学原料及化学制品制造业_全国_当期同比增长率_月_diff,fac_PPI_化学原料及化学制品制造业_全国_当期同比增长率_月_diff_release,any_effective_release
2018-03-26,440.71250696075396,455.71770569824776,436.7251208972787,441.97169836109765,330.0,0.0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,0
2018-03-27,441.7618224535177,442.8111379462812,427.0714055548258,435.8856492895273,180.0,-0.013770223510098933,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2018-03-28,441.02728879955583,441.02728879955583,423.2938633763629,426.65168576223374,1116.0,-0.021184371502811494,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2018-03-29,425.60237026946993,427.4911253474179,418.5719436589263,424.9727745692985,246.0,-0.003935086275203115,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2018-03-30,422.87414358377094,435.46592949693536,420.56563669066384,435.46592949693536,114.0,0.024691358024691024,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2018-04-02,434.73139584297377,436.2004631508968,429.589756332945,432.63276485744615,170.0,-0.006506053510919152,,0,,0,,1,,1,,0,,0,,1,,1,,0,,0,,0,2.3999977,1,,0,0
2018-04-03,425.91715210827243,425.91715210827243,417.62756611995263,417.62756611995263,110.0,-0.03468345432052,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2.3999977,0,,0,0
2018-04-04,418.78181956650604,419.51632119790014,417.62756611995263,417.7325040737422,36.0,0.0002512716168725504,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2.3999977,0,,0,0
2018-04-09,416.1585308345969,419.51632119790014,415.9486549270173,419.51632119790014,44.0,0.004270237787967535,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2.3999977,0,,0,0
2018-04-10,425.28755640810067,431.16372957209074,424.7628986617186,430.3242899869067,76.0,0.025762928026602516,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2.3999977,0,,0,0
