date,open,high,low,close,volume,returns,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_国内生产总值GDP_现价_全国_当期同比增长率_季_level,fac_国内生产总值GDP_现价_全国_当期同比增长率_季_level_release,fac_PMI_Input_Price_diff,fac_PMI_Input_Price_diff_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_国内生产总值GDP环比增速_当季_level,fac_国内生产总值GDP环比增速_当季_level_release,fac_制造业采购经理指数PMI_出厂价格_当期值_月_diff,fac_制造业采购经理指数PMI_出厂价格_当期值_月_diff_release,fac_GDP增长贡献率_第三产业_累计同比_季_level,fac_GDP增长贡献率_第三产业_累计同比_季_level_release,fac_Social_Financing_Stock_YoY_zscore,fac_Social_Financing_Stock_YoY_zscore_release,fac_国内生产总值GDP环比增速_当季_zscore,fac_国内生产总值GDP环比增速_当季_zscore_release,fac_国内生产总值GDP缩减指数_level,fac_国内生产总值GDP缩减指数_level_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_居民消费价格指数CPI_当月同比_上年同月=100_zscore,fac_居民消费价格指数CPI_当月同比_上年同月=100_zscore_release,fac_PPI_All_Industry_YoY_level,fac_PPI_All_Industry_YoY_level_release,fac_国内生产总值GDP缩减指数_diff,fac_国内生产总值GDP缩减指数_diff_release,fac_非制造业PMI_服务业_全国_当期值_月_level,fac_非制造业PMI_服务业_全国_当期值_月_level_release,fac_CPI-PPI_差值_当月_zscore,fac_CPI-PPI_差值_当月_zscore_release,fac_GDP_Cumulative_YoY_diff,fac_GDP_Cumulative_YoY_diff_release,fac_PPI_All_Industry_YoY_zscore,fac_PPI_All_Industry_YoY_zscore_release,fac_CPI_翘尾因素_当月_diff,fac_CPI_翘尾因素_当月_diff_release,fac_制造业采购经理指数PMI_出厂价格_当期值_月_zscore,fac_制造业采购经理指数PMI_出厂价格_当期值_月_zscore_release,fac_PMI_Business_Expectation_level,fac_PMI_Business_Expectation_level_release,fac_居民消费价格指数CPI_当月同比_上年同月=100_diff,fac_居民消费价格指数CPI_当月同比_上年同月=100_diff_release,fac_制造业采购经理指数PMI_出厂价格_当期值_月_level,fac_制造业采购经理指数PMI_出厂价格_当期值_月_level_release,any_effective_release
2016-01-04,89.88109764096018,89.90794275391869,89.8453018812345,89.90794275391869,6.0,0.0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1
2016-01-05,89.79608356502956,89.82740058770007,89.70659757938687,89.70659757938687,120.0,-0.0022394592553731663,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,89.73344269234535,89.88109764096018,89.73344269234535,89.88109764096018,60.0,0.0019452310786716165,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,89.94821042335644,90.05559770253355,89.83635123446729,89.87661890390507,8.0,-4.9829576770465955e-05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,89.99295682984933,90.07349216872487,89.9884780927942,90.07349216872487,12.0,0.00219048365660357,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,90.11375983816262,90.11375983816262,90.01532320575272,90.0376964089992,65.0,-0.0003974061498428494,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,-5.9,1,,0,,0,,0,,0,,1,,0,,0,,0,,1,,0,1
2016-01-12,90.0376964089992,90.19877391409327,90.0332244992871,90.19877391409327,17.0,0.00178900073545174,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-13,90.2479922302982,90.2479922302982,90.12271048492984,90.2032526511484,41.0,4.965407910528796e-05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-14,90.18983009466913,90.18983009466913,89.96611171689081,89.96611171689081,20.0,-0.0026289621193008594,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-15,90.06006961224556,90.13166113169699,90.04664705576637,90.13166113169699,184.0,0.0018401308186701826,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-18,90.08244281549206,90.08244281549206,89.88556955067226,89.91689340068591,65.0,-0.002382822288133246,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-19,89.91689340068591,89.91689340068591,89.8453018812345,89.8453018812345,5.0,-0.0007961965404251758,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-20,89.78713291826237,89.85872443771376,89.76028780530385,89.76028780530385,15.0,-0.0009462272834592778,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,0
2016-01-21,89.80950612150878,89.85425252800172,89.80950612150878,89.84082314417937,26.0,0.0008972268343234724,,0,,0,,0,,0,1.6,1,,0,,0,,0,,1,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1
2016-01-22,89.81397803122087,89.81397803122087,89.75133715853666,89.75133715853666,3.0,-0.0009960503756638595,,0,,0,,0,,0,1.6,0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-25,89.66185117289396,89.66185117289396,89.4426047048277,89.4873511113206,79.0,-0.002941304893873009,,0,,0,,0,,0,1.6,0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-26,89.53209751781351,89.58131583401844,89.46497790807415,89.4784004645534,56.0,-0.00010002136230480296,,0,,0,,0,,0,1.6,0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-27,89.41575959186922,89.5410413372376,89.40681577244509,89.40681577244509,20.0,-0.0008000220358954646,,0,,0,,0,,0,1.6,0,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
