date,open,high,low,close,volume,returns,fac_PPI_Leather_Footwear_YoY_level,fac_PPI_Leather_Footwear_YoY_level_release,fac_PPI_level,fac_PPI_level_release,fac_PPIRM_level,fac_PPIRM_level_release,fac_PPI_、_level,fac_PPI_、_level_release,fac_PPI_Leather_Footwear_YoY_diff,fac_PPI_Leather_Footwear_YoY_diff_release,fac_PPI_、_zscore,fac_PPI_、_zscore_release,fac_CPI_=100_level,fac_CPI_=100_level_release,fac_PMI_Business_Expectation_diff,fac_PMI_Business_Expectation_diff_release,fac_CPI_=100_diff,fac_CPI_=100_diff_release,fac_PMI_Raw_Material_Inventory_diff,fac_PMI_Raw_Material_Inventory_diff_release,fac_PMI_zscore,fac_PMI_zscore_release,any_effective_release
2016-01-04,16954.859839013785,16991.798531473505,16954.859839013785,16991.798531473505,132.0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,0
2016-01-05,16991.798531473505,17139.553301312404,16991.798531473505,17036.12496242518,20.0,0.0026086956521742533,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,17058.288177901024,17102.614608852666,17050.900439409066,17102.614608852666,22.0,0.0039028620988714735,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,17065.675916392956,17065.675916392956,17065.675916392956,17065.675916392956,22.0,-0.0021598272138220187,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,17043.512700917123,17183.87973226408,16962.24757750573,17183.87973226408,230.0,0.006926406926407003,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,17302.08354813519,17302.08354813519,17139.553301312404,17139.553301312404,226.0,-0.002579535683577161,,0,-10.8,1,-1.6,1,0.6,1,,0,,1,102.0463,1,,0,,1,,0,,0,1
2016-01-12,17006.574008457395,17102.614608852666,17006.574008457395,17050.900439409066,184.0,-0.005172413793103292,,0,-10.8,0,-1.6,0,0.6,0,,0,,0,102.0463,0,,0,,0,,0,,0,0
2016-01-13,17242.981640199636,17242.981640199636,16977.023054489608,17050.900439409066,144.0,0.0,,0,-10.8,0,-1.6,0,0.6,0,,0,,0,102.0463,0,,0,,0,,0,,0,0
2016-01-14,17176.49199377214,17176.49199377214,17021.349485441286,17021.349485441286,20.0,-0.0017331022530329143,,0,-10.8,0,-1.6,0,0.6,0,,0,,0,102.0463,0,,0,,0,,0,,0,0
2016-01-15,17006.574008457395,17213.430686231874,16991.798531473505,16991.798531473505,54.0,-0.0017361111111111605,,0,-10.8,0,-1.6,0,0.6,0,,0,,0,102.0463,0,,0,,0,,0,,0,0
2016-01-18,16949.814678137445,17010.32271804154,16889.30663823333,16942.25117314943,115348.0,-0.002915957262104918,,0,-10.8,0,-1.6,0,0.6,0,,0,,0,102.0463,0,,0,,0,,0,,0,0
2016-01-19,16949.814678137445,17070.830757945652,16942.25117314943,17048.140242981608,103898.0,0.006249999999999645,,0,-10.8,0,-1.6,0,0.6,0,,0,,0,102.0463,0,,0,,0,,0,,0,0
2016-01-20,17063.267252957623,17267.481887633992,17048.140242981608,17206.973847729892,248062.0,0.009316770186335921,,0,-10.8,0,-1.6,0,0.6,0,,0,,0,102.0463,0,,0,,0,,0,,0,0
