symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,abs_spearman_t
AG,PPI_电气机械及器材制造业(全国:当期同比增长率:月),zscore,H2,1877,-0.6184298178002892,-34.07665102855877,1.6797713169349817e-198,-0.7348849017575657,-46.92101480661561,0.0,46.92101480661561
AG,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,H2,2110,-0.4508606166934172,-23.191212864281066,3.6647043708381553e-106,-0.7104524348127877,-46.35054561530395,0.0,46.35054561530395
AG,PPI_有色金属矿采选业(全国:当期同比增长率:月),zscore,H2,2212,-0.4585733555491072,-24.2588944080529,1.8602931543190437e-115,-0.4909618924550773,-26.49326610061151,1.5053525080617187e-134,26.49326610061151
AL,PPI_电气机械及器材制造业(全国:当期同比增长率:月),level,H2,2155,-0.6787625316144363,-42.88763958891655,5.0438167975434185e-291,-0.6855682796184996,-43.69546638771642,3.790123025596285e-299,43.69546638771642
AL,PPI_有色金属矿采选业(全国:当期同比增长率:月),level,H2,2490,-0.6500722845015555,-42.67231290454613,4.7154455115683734e-299,-0.5633017371939477,-34.005889650698805,1.689870888530847e-208,34.005889650698805
AL,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,H2,2137,-0.020286118308890464,-0.9375345340279413,0.3485897097049725,-0.5559844027607489,-30.907210875814656,1.1346815146711954e-173,30.907210875814656
AU,国内生产总值GDP_累计同比,level,H2,2460,0.2666390812633171,13.716061395753835,2.5961424047569126e-41,0.43503935954458056,23.954024392477073,3.8309635949616654e-114,23.954024392477073
AU,社会融资规模存量_同比增速_月末数,diff,H2,2424,-0.2976167817770464,-15.342078323716608,9.035430764587715e-51,-0.373999958163911,-19.84623283434781,2.4508219963064805e-81,19.84623283434781
AU,CPI_翘尾因素_当月,level,H2,1490,-0.4139524321735663,-17.54155423883211,9.178280364380032e-63,-0.4491095660056024,-19.389675637312365,7.480133867747942e-75,19.389675637312365
C,居民食品消费价格指数CPI_(上年=100)_当月,level,H2,2448,0.42597963753287504,23.28609981588673,1.6833072743922036e-108,0.4760035287753229,26.768899647875056,1.1532565593212683e-138,26.768899647875056
C,CPI_翘尾因素_当月,level,H2,1471,0.7554218136109302,44.187640675550846,5.3822566977334493e-272,0.5063632777662888,22.50632108710844,1.288841659008726e-96,22.50632108710844
