symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,spearman_first_half,spearman_second_half,temporal_consistent,horizon_consistent_5d_20d,abs_spearman_t
SN,PPI_电气机械及器材制造业(全国:当期同比增长率:月),zscore,20d,33,0.3742547377749018,2.2470655797525807,0.031896958643118666,0.5608288770053476,3.771522305110802,0.0006863788217373173,-0.5705882352941177,0.5686274509803922,False,True,3.771522305110802
JD,制造业采购经理指数PMI_购进价格,diff,20d,124,0.23820185269603364,2.7090022738028576,0.007719429063563239,0.31159663214981204,3.622021557036346,0.00042705064691471055,0.2776371644641652,0.3487162705074091,True,True,3.622021557036346
TF,社会融资规模_当月值,diff,20d,28,-0.5699809881701008,-3.5371706994790064,0.0015431849011963853,-0.5632183908045977,-3.4755336806489265,0.001804887120083059,-0.6175824175824175,-0.6,True,False,3.4755336806489265
Y,社会融资规模_当月值,zscore,20d,16,0.5987579511572774,2.7971820530324925,0.01425918421360005,0.6735294117647058,3.4094307798879586,0.0042327392484605075,0.7380952380952381,0.4761904761904762,True,True,3.4094307798879586
AG,PPI_全部工业品(全国:当期同比增长率:月),level,20d,124,-0.2477123450579927,-2.8240888912858826,0.00553988581281053,-0.2940877491498251,-3.3985966605825584,0.0009154939534759103,-0.23176432344614215,-0.28039323073052663,True,True,3.3985966605825584
SA,社会融资规模_当月值,zscore,20d,16,0.39946618578006954,1.630399760432832,0.12530121020431567,0.6294117647058822,3.030662925789555,0.008988089264446917,0.5714285714285715,0.7380952380952381,True,True,3.030662925789555
AL,PPIRM_燃料及动力类(全国:当期同比增长率:月),level,20d,124,-0.1829298547101058,-2.055205896897443,0.041993594119290246,-0.26384655458400763,-3.0213427363560723,0.0030667187972730444,-0.41241500894466976,-0.11269343615992872,True,True,3.0213427363560723
C,居民鲜果消费价格指数CPI_(上年=100)_当月,zscore,20d,115,-0.2348096597566545,-2.5678546204032084,0.011538074303780755,-0.2648307425234751,-2.9194278357390173,0.00423343384992167,-0.4058205859476277,-0.14472915192715866,True,True,2.9194278357390173
RB,非制造业PMI_建筑业_新订单_全国_当期值_月,level,20d,98,0.2240989413186044,2.2530145063180194,0.026534616802079747,0.2822345669783687,2.88250991594323,0.004868434890722841,0.00025519319752490547,0.07892588779403094,True,True,2.88250991594323
NI,社会融资规模_当月值,diff,20d,28,0.4014891444442932,2.235267976090875,0.034205231892875984,0.48877941981390255,2.85680266776592,0.008307888444337412,0.665934065934066,0.3318681318681319,True,True,2.85680266776592
RU,PPI_化学原料及化学制品制造业(全国:当期同比增长率:月),level,20d,124,-0.18240547872132656,-2.0491115015269976,0.04259554206918556,-0.2463514052193054,-2.8075678367382735,0.005813630883692816,-0.35984687026247336,-0.1819418230067278,True,True,2.8075678367382735
P,PPI_全部工业品(全国:当期同比增长率:月),level,20d,124,-0.03792541897873119,-0.41920152945244077,0.6758060328623121,0.24371749438791754,2.7756437297670216,0.006377847752168892,0.38334322933477666,0.15592242661601366,True,True,2.7756437297670216
AU,制造业采购经理指数PMI_购进价格,level,20d,124,-0.2548855548509908,-2.91146509085446,0.004278221955774539,-0.23979102108644776,-2.728174162605788,0.00730937551596716,-0.22759784595907329,-0.17479664581842605,True,True,2.728174162605788
CF,PPI_纺织业(全国:当期同比增长率:月),level,20d,124,-0.16162207329226888,-1.8089569987835072,0.07292024132512998,-0.2355759361171538,-2.677373405067675,0.008441723424832568,-0.2745286018880871,-0.14360744820619176,True,True,2.677373405067675
V,非制造业PMI_建筑业_业务活动预期_全国_当期值_月,level,20d,97,0.20433347399520804,2.0345220396988037,0.04468608992369381,0.2644943903620581,2.673171486037968,0.008844774652832255,0.1796557101123543,0.03654086749883417,True,True,2.673171486037968
I,GDP增长贡献率_第二产业_累计同比_季,zscore,20d,25,-0.18787128397835967,-0.9173333784343487,0.3684875875367446,-0.44307692307692315,-2.370285726736031,0.026538497297724412,-0.16083916083916086,-0.47802197802197804,True,True,2.370285726736031
SR,制造业采购经理指数PMI_购进价格,diff,20d,124,0.18195181462106036,2.0438403923931836,0.04312211586646618,0.20703763701541422,2.337451047025866,0.02104468354137327,0.1911777680921152,0.2239319041923797,True,True,2.337451047025866
J,社会融资规模_当月值,zscore,20d,16,0.371136253124832,1.4954738054166752,0.15698902924551814,0.5264705882352941,2.316970113494672,0.036166514972245475,0.2380952380952381,0.8333333333333335,True,True,2.316970113494672
MA,制造业采购经理指数PMI_原材料库存,diff,20d,123,0.24368174339650842,2.7638136459400098,0.006606861692829338,0.20024242108728416,2.2482008331021412,0.026373826476250396,0.22706771846070437,0.15014251274969112,True,True,2.2482008331021412
CU,制造业采购经理指数PMI_进口,diff,20d,124,0.33000281619772365,3.861311091624149,0.00018186913784934343,0.1799248329951774,2.0203053891043212,0.04554167815774205,0.25500772392567433,0.12999283139443926,True,True,2.0203053891043212
SC,CPI-PPI_差值_当月,level,20d,77,-0.18987056546516617,-1.6747932774977425,0.0981399771755673,-0.219624166244269,-1.9496014580504495,0.05496218658456692,-0.28235294498090474,0.17172499266959343,False,True,1.9496014580504495
M,社会融资规模_当月值,level,20d,29,0.3414001816060452,1.8873639096303727,0.06990535410479656,0.3241379310344827,1.780393859773271,0.08626861756055404,0.38461538461538464,0.21428571428571427,True,True,1.780393859773271
TA,PPIRM_纺织原料类(全国:当期同比增长率:月),zscore,20d,111,0.11156872059361235,1.172129571713751,0.24370056919477903,0.14405931905931907,1.519877203513184,0.131437324816471,0.1311688311688312,0.14688995215311004,True,True,1.519877203513184
