entry_date,exit_date,contract,direction,p_entry,p_exit,hold_days,raw_return,net_return
2024-01-24,2024-01-31,NI2403,SHORT,129780.0,126990.0,5,0.021497905,0.020497905
2024-02-23,2024-03-01,NI2404,LONG,135900.0,136790.0,5,0.0065488815,0.0055488814
2024-04-16,2024-04-23,NI2406,LONG,134870.0,140970.0,5,0.04522872,0.04422872
2024-05-21,2024-05-28,NI2407,SHORT,158430.0,155660.0,5,0.017484069,0.016484069
2024-06-24,2024-07-01,NI2408,LONG,134300.0,136510.0,5,0.01645565,0.01545565
2024-08-26,2024-09-02,NI2410,SHORT,131350.0,127760.0,5,0.027331531,0.02633153
2024-09-25,2024-10-09,NI2411,LONG,127730.0,135080.0,5,0.057543278,0.05654328
2024-10-23,2024-10-30,NI2412,LONG,126230.0,124690.0,5,-0.012199938,-0.013199938
2024-11-19,2024-11-26,NI2501,SHORT,125580.0,127510.0,5,-0.0153687,-0.0163687
2024-12-19,2024-12-26,NI2502,LONG,123020.0,126490.0,5,0.028206825,0.027206825
2025-01-16,2025-01-23,NI2503,LONG,128970.0,124150.0,5,-0.037373006,-0.038373005
2025-02-19,2025-02-26,NI2504,LONG,123990.0,123960.0,5,-0.00024193525,-0.0012419353
2025-04-21,2025-04-28,NI2506,LONG,126020.0,124690.0,5,-0.010553896,-0.011553897
2025-05-23,2025-05-30,NI2507,SHORT,122700.0,121100.0,5,0.013039947,0.012039946
2025-06-24,2025-07-01,NI2508,LONG,117630.0,120720.0,5,0.02626884,0.02526884
2025-07-16,2025-07-23,NI2509,LONG,120710.0,123370.0,5,0.022036314,0.021036314
2025-08-18,2025-08-25,NI2510,SHORT,120460.0,120310.0,5,0.0012452006,0.0002452006
2025-09-18,2025-09-25,NI2511,LONG,121110.0,122990.0,5,0.015523076,0.014523076
2025-10-15,2025-10-22,NI2512,LONG,121330.0,121380.0,5,0.0004121065,-0.00058789353
2025-11-19,2025-11-26,NI2601,SHORT,115830.0,117260.0,5,-0.012345672,-0.013345672
2025-12-22,2025-12-29,NI2602,LONG,121700.0,125710.0,5,0.032949924,0.031949926
2026-01-16,2026-01-23,NI2603,SHORT,141590.0,148360.0,5,-0.04781413,-0.04881413
2026-02-04,2026-02-11,NI2604,SHORT,137960.0,139660.0,5,-0.012322426,-0.013322426
2026-04-20,2026-04-27,NI2606,LONG,141930.0,149310.0,5,0.051997423,0.050997425
2026-05-26,2026-06-02,NI2607,SHORT,142600.0,144850.0,5,-0.015778422,-0.016778423
