entry_date,exit_date,contract,direction,p_entry,p_exit,hold_days,raw_return,net_return
2019-08-12,2019-10-08,SN1911,SHORT,135770.0,136000.0,35,-0.0016940832,-0.0026940834
2019-12-05,2020-02-03,SN2005,SHORT,137300.0,131160.0,35,0.044719577,0.04371958
2020-01-02,2020-02-28,SN2005,SHORT,136320.0,132010.0,35,0.031616807,0.030616807
2020-04-28,2020-06-19,SN2007,LONG,128090.0,137930.0,35,0.07682097,0.07582097
2020-05-27,2020-06-30,SN2007,LONG,134100.0,139550.0,22,0.040641308,0.03964131
2020-07-01,2020-07-31,SN2008,LONG,138610.0,146010.0,22,0.053387165,0.052387167
2020-07-28,2020-08-31,SN2009,SHORT,148140.0,144090.0,24,0.027338982,0.026338981
2020-08-26,2020-10-22,SN2011,LONG,141580.0,145300.0,35,0.02627492,0.02527492
2020-09-25,2020-11-23,SN2012,LONG,141430.0,146420.0,35,0.035282493,0.034282494
2020-10-27,2020-11-30,SN2012,SHORT,143830.0,149980.0,24,-0.042758822,-0.04375882
2020-11-30,2021-01-19,SN2102,LONG,149660.0,157600.0,35,0.053053617,0.05205362
2020-12-29,2021-02-24,SN2103,SHORT,153380.0,187990.0,35,-0.22564876,-0.22664876
2021-02-01,2021-03-29,SN2104,SHORT,169760.0,175070.0,35,-0.031279445,-0.032279443
2021-02-26,2021-04-19,SN2105,LONG,184720.0,184680.0,35,-0.00021654367,-0.0012165437
2021-03-30,2021-05-24,SN2106,SHORT,175800.0,193200.0,35,-0.098976135,-0.09997614
2021-04-29,2021-06-23,SN2107,LONG,192270.0,209370.0,35,0.0889374,0.0879374
2021-06-17,2021-07-30,SN2108,LONG,205630.0,236060.0,31,0.14798427,0.14698426
2021-07-23,2021-08-31,SN2109,LONG,233530.0,250100.0,27,0.07095444,0.06995444
2021-08-27,2021-09-30,SN2110,LONG,240810.0,270680.0,22,0.12403965,0.12303965
2021-09-24,2021-10-29,SN2111,LONG,281640.0,278490.0,20,-0.011184514,-0.012184514
2021-10-25,2021-11-30,SN2112,LONG,280280.0,291400.0,26,0.03967464,0.03867464
2021-11-25,2021-12-31,SN2201,LONG,289340.0,305900.0,26,0.05723369,0.056233693
2021-12-27,2022-01-28,SN2202,LONG,288120.0,334300.0,23,0.16028047,0.15928046
2022-01-25,2022-02-28,SN2203,SHORT,316900.0,340520.0,19,-0.074534535,-0.07553454
2022-02-24,2022-03-31,SN2204,SHORT,338570.0,344640.0,25,-0.017928362,-0.018928362
2022-04-27,2022-05-31,SN2206,SHORT,331100.0,272680.0,21,0.17644215,0.17544214
2022-05-30,2022-06-30,SN2207,SHORT,271080.0,203970.0,22,0.24756527,0.24656527
2022-06-28,2022-07-29,SN2208,LONG,218840.0,194940.0,23,-0.10921222,-0.11021222
2022-07-22,2022-08-31,SN2209,LONG,190700.0,193160.0,28,0.012899876,0.0118998755
2022-08-24,2022-09-30,SN2210,SHORT,199390.0,183540.0,26,0.07949245,0.07849245
2022-09-27,2022-10-31,SN2211,SHORT,179950.0,162570.0,19,0.09658241,0.09558241
2022-10-18,2022-11-30,SN2212,LONG,166820.0,183690.0,31,0.10112691,0.10012691
2022-11-25,2022-12-30,SN2301,LONG,184100.0,216170.0,25,0.17419875,0.17319874
2022-12-26,2023-01-31,SN2302,LONG,197940.0,232840.0,20,0.17631602,0.17531602
2023-01-18,2023-02-28,SN2303,LONG,227510.0,208960.0,24,-0.08153486,-0.082534865
2023-02-27,2023-03-31,SN2304,SHORT,206990.0,208350.0,24,-0.006570339,-0.0075703394
2023-03-29,2023-04-28,SN2305,SHORT,205990.0,211680.0,21,-0.0276227,-0.0286227
2023-04-24,2023-05-31,SN2306,LONG,211670.0,205140.0,24,-0.030849934,-0.031849932
2023-05-25,2023-06-30,SN2307,SHORT,199170.0,219620.0,24,-0.10267615,-0.103676155
2023-06-21,2023-07-31,SN2308,SHORT,218840.0,232810.0,26,-0.063836575,-0.06483658
2023-07-25,2023-08-31,SN2309,SHORT,234410.0,216590.0,27,0.07602066,0.075020656
2023-08-22,2023-09-28,SN2310,LONG,219280.0,218390.0,27,-0.0040587187,-0.005058719
2023-09-22,2023-10-31,SN2311,SHORT,218870.0,210640.0,21,0.037602246,0.036602248
2023-10-25,2023-11-30,SN2312,LONG,215550.0,195480.0,26,-0.09311062,-0.09411062
2023-11-21,2023-12-29,SN2401,SHORT,207220.0,211610.0,28,-0.02118516,-0.02218516
2023-12-20,2024-01-31,SN2402,SHORT,207870.0,218100.0,29,-0.04921341,-0.050213408
2024-01-23,2024-02-29,SN2403,SHORT,218300.0,218190.0,21,0.00050389767,-0.0004961024
2024-02-23,2024-03-29,SN2404,LONG,217020.0,227600.0,25,0.048751235,0.047751237
2024-03-18,2024-04-30,SN2405,LONG,228900.0,257900.0,29,0.12669289,0.12569289
2024-04-12,2024-05-31,SN2406,SHORT,255200.0,274000.0,32,-0.073667765,-0.07466777
2024-05-22,2024-06-28,SN2407,LONG,278520.0,274180.0,26,-0.015582383,-0.016582383
2024-06-20,2024-07-31,SN2408,LONG,274300.0,249010.0,29,-0.09219831,-0.093198314
2024-07-24,2024-08-30,SN2409,SHORT,253140.0,264000.0,27,-0.04290116,-0.043901157
2024-08-22,2024-09-30,SN2410,SHORT,267580.0,266000.0,25,0.0059047937,0.0049047936
2024-09-26,2024-10-31,SN2411,LONG,257410.0,254000.0,20,-0.013247371,-0.014247371
2024-10-23,2024-11-29,SN2412,SHORT,254740.0,239050.0,27,0.06159222,0.060592223
2024-11-20,2024-12-31,SN2501,SHORT,243920.0,244480.0,29,-0.0022958517,-0.0032958519
2024-12-24,2025-01-27,SN2502,LONG,243800.0,249040.0,23,0.021493077,0.020493077
2025-01-17,2025-02-28,SN2503,LONG,250140.0,256040.0,24,0.02358675,0.02258675
2025-02-21,2025-03-31,SN2504,LONG,264050.0,281890.0,26,0.06756294,0.066562936
2025-04-28,2025-05-30,SN2506,SHORT,260590.0,249070.0,21,0.044207394,0.043207396
2025-06-26,2025-07-31,SN2508,LONG,267260.0,265370.0,25,-0.007071793,-0.008071793
2025-07-22,2025-08-29,SN2509,SHORT,268800.0,278300.0,28,-0.035342216,-0.036342215
2025-08-26,2025-09-30,SN2510,SHORT,269760.0,274990.0,25,-0.019387603,-0.020387603
2025-10-21,2025-11-28,SN2512,SHORT,281290.0,304060.0,28,-0.08094847,-0.081948474
2025-11-19,2025-12-31,SN2601,LONG,294020.0,327680.0,30,0.114482045,0.11348204
2025-12-16,2026-01-30,SN2602,SHORT,321260.0,408000.0,31,-0.26999938,-0.27099937
2026-01-14,2026-02-27,SN2603,SHORT,413690.0,451540.0,26,-0.09149361,-0.09249361
2026-02-25,2026-03-31,SN2604,LONG,417070.0,367490.0,24,-0.118876934,-0.119876936
2026-03-25,2026-04-30,SN2605,LONG,353200.0,386000.0,25,0.09286523,0.09186523
2026-04-22,2026-05-29,SN2606,LONG,394920.0,423480.0,24,0.072318435,0.07131843
2026-05-22,2026-06-05,SN2607,LONG,422320.0,417850.0,10,-0.010584414,-0.011584414
