symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,abs_spearman_t
AG,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,5,1257,-0.14279915051157777,-5.111180709123094,3.698274881498772e-07,-0.21103098356586114,-7.648221984705636,4.0374265605196566e-14,7.648221984705636
AL,制造业采购经理指数PMI_新订单,zscore,5,1034,-0.08445772734005437,-2.722912746525439,0.006580038991387275,-0.11391925416452188,-3.6836085842779216,0.0002418895060168468,3.6836085842779216
AU,社会融资规模_当月值,zscore,5,339,-0.20646473883561003,-3.8736502873453404,0.00012881678899297235,-0.21453631460438813,-4.032250073013562,6.836584241194169e-05,4.032250073013562
C,PMI_生产经营活动预期_全国_当期值_月,diff,5,1265,-0.06305736013860096,-2.245445968622554,0.024911910937989338,-0.09306190318397448,-3.321715274893587,0.0009202444708014695,3.321715274893587
CF,PMI_生产经营活动预期_全国_当期值_月,diff,5,1265,-0.13760805368649123,-4.937383399547418,8.976945699349399e-07,-0.15917856334293995,-5.730060371187406,1.2540478061951884e-08,5.730060371187406
CU,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,5,1257,-0.05638861322947319,-2.000805326240833,0.045628436800172756,-0.09438946526201913,-3.358835261056844,0.0008062031627361436,3.358835261056844
I,制造业采购经理指数PMI_进口,diff,5,1270,0.05979086132628716,2.1329079713986885,0.03312387411121562,0.09890074767753809,3.539106668833805,0.0004160029814796105,3.539106668833805
J,制造业采购经理指数PMI_原材料库存,diff,5,1270,0.06334683344360799,2.260256169210656,0.023974384543541283,0.10968547014724293,3.9294977782997274,8.971660840280716e-05,3.9294977782997274
JD,居民食品消费价格指数CPI_(上年=100)_当月,diff,5,1277,-0.12739355423869786,-4.5862271899259595,4.957328776369434e-06,-0.12466921660363434,-4.486584150549179,7.889874218358739e-06,4.486584150549179
M,社会融资规模_当月值,level,5,590,0.2247302585655103,5.592468848763083,3.432005719280281e-08,0.1642308410316237,4.037203671713454,6.125111473785119e-05,4.037203671713454
MA,非制造业PMI_建筑业_全国_当期值_月,zscore,5,1041,-0.14300019053622112,-4.65726420305666,3.619467682187737e-06,-0.12052152416202638,-3.913358902973062,9.694409310323035e-05,3.913358902973062
NI,社会融资规模_当月值,diff,5,569,0.12585896036493394,3.020945706625626,0.0026334540080340265,0.12355530448144171,2.964786599761866,0.0031562949604463054,2.964786599761866
P,制造业采购经理指数PMI_进口,zscore,5,1034,-0.07831316739928078,-2.5235417393171877,0.011767139891451592,-0.14107472839871318,-4.577773887142121,5.271418650989868e-06,4.577773887142121
RB,非制造业PMI_建筑业_新订单_全国_当期值_月,level,5,1292,0.0774865685957404,2.791444532689614,0.005324724862464804,0.1320309274970936,4.783978926564924,1.916455343094935e-06,4.783978926564924
RU,PMI_生产经营活动预期_全国_当期值_月,level,5,1292,-0.09151125736368956,-3.3006197424616572,0.000991085479892927,-0.14567818694940526,-5.28868027975628,1.4458362054655335e-07,5.28868027975628
SA,非制造业PMI_建筑业_全国_当期值_月,diff,5,1265,-0.06578764837275099,-2.343084191362711,0.019279565949896785,-0.12601096388218364,-4.514251041823851,6.946851829750583e-06,4.514251041823851
SC,制造业采购经理指数PMI_进口,zscore,5,1034,-0.1111358759076265,-3.5924675289924046,0.0003430096915173785,-0.12111661486896919,-3.9196974924596213,9.450613124105644e-05,3.9196974924596213
SN,制造业采购经理指数PMI_进口,level,5,1285,0.19297583509225227,7.044613395932786,3.0256471711548684e-12,0.16671836520675412,6.056445996183956,1.825183886580722e-09,6.056445996183956
SR,PPI_食品制造业(全国:当期同比增长率:月),zscore,5,1048,-0.15079795991952172,-4.933512721246384,9.390485743356659e-07,-0.14058848197120638,-4.592514202900867,4.911732163505727e-06,4.592514202900867
TA,制造业采购经理指数PMI_新订单,zscore,5,1034,-0.16326972757472763,-5.316337732262385,1.2975472230095876e-07,-0.11977916913691024,-3.875780128252788,0.00011299227238524819,3.875780128252788
TF,社会融资规模_当月值,level,5,590,-0.24855802346061642,-6.222492173244364,9.300995285617146e-10,-0.24493149257740507,-6.125864509431527,1.651654079611004e-09,6.125864509431527
V,非制造业PMI_建筑业_新订单_全国_当期值_月,level,5,1292,0.09785325793536634,3.53150157907776,0.00042777394794291595,0.13745367707403092,4.984173409617812,7.068746775474262e-07,4.984173409617812
Y,社会融资规模_当月值,diff,5,569,0.1979600101486917,4.808945165564937,1.946770055464556e-06,0.2337214860693259,5.723850475572903,1.6888708090980308e-08,5.723850475572903
