symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,spearman_first_half,spearman_second_half,temporal_consistent,horizon_consistent_5d_20d,horizon_sign_consistency_pct,horizon_consistent_sweep,mean_nw_t_stat,smoothness_index,abs_spearman_t
SA,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,5d,23,0.25811681151390076,1.2243276834487915,0.23438671231269836,0.5710050823415703,4.259340849895481,2.0503062007959372e-05,0.022831288248861156,0.4973737925202259,True,True,1.0,True,3.275686905981144,0.06309443613857968,4.259340849895481
I,社会融资规模_当月值,zscore,5d,17,0.5103369968739337,2.2983549836161163,0.03633964245299274,0.6887254901960785,4.112670430030899,3.9110853762958087e-05,0.8571428571428572,0.5499999999999999,True,True,1.0,True,1.591751425429591,0.07662836836783019,4.112670430030899
RB,社会融资规模_当月值,zscore,5d,17,0.5047122431837479,2.264299891502762,0.03880626455513802,0.7058823529411765,4.083711057081439,4.4322136387053845e-05,0.7142857142857144,0.8333333333333333,True,True,1.0,True,2.3309101122954976,0.11735251117912279,4.083711057081439
NI,制造业采购经理指数PMI_新订单,diff,5d,124,0.18419775366783142,2.069949150085449,0.04056742414832115,0.2809475776126066,3.260489532893899,0.0011122007220119023,0.26699933697200906,0.31978841242437966,True,True,1.0,True,2.506714284217562,0.030171840070275478,3.260489532893899
CU,PPI_有色金属冶炼及压延加工业(全国:当期同比增长率:月),level,5d,125,-0.18222349882125854,-2.0553691387176514,0.04196007177233696,-0.26447695263732923,-3.170514871729247,0.0015216904325194847,-0.2323490533486252,-0.2712926182585222,True,True,1.0,True,1.9651961184657099,0.030781769834350936,3.170514871729247
C,居民粮食消费价格指数CPI_(上年=100)_当月,zscore,5d,118,0.18999213935512477,2.0842411428412446,0.0393333874295399,0.28262100146447106,3.015875940673866,0.002562380750362747,0.3254821741671538,0.19877264757451785,True,True,1.0,True,1.4603280678539754,0.033137931772836145,3.015875940673866
V,PPIRM_燃料及动力类(全国:当期同比增长率:月),level,5d,125,-0.2904495596885681,-3.3663644790649414,0.001016803435049951,-0.2665120280645747,-2.9469451646852276,0.0032093010880773765,-0.3263954469592275,-0.18373837395647005,True,True,1.0,True,2.2185866125326945,0.030739107173058066,2.9469451646852276
P,PMI_生产经营活动预期_全国_当期值_月,level,5d,99,0.2091740369796753,2.106729507446289,0.03772149980068207,0.28649599975384693,2.845623850291015,0.004432451904143875,0.22706739476414037,0.16695512850129554,True,False,0.19047619047619047,False,0.7139696461959206,0.04918233845520023,2.845623850291015
J,社会融资规模_当月值,zscore,5d,17,0.44885190900992367,1.9453715207150721,0.07071909201758908,0.6029411764705883,2.822135731549376,0.004770498217983032,0.5952380952380953,0.6833333333333333,True,True,1.0,True,1.4649793963903268,0.10475679437122824,2.822135731549376
AG,PPI_电气机械及器材制造业(全国:当期同比增长率:月),zscore,5d,33,-0.15449822588429155,-0.8706637181156037,0.390630386526493,-0.4164438502673797,-2.688234396116131,0.007183095490649549,-0.18235294117647058,-0.40196078431372556,True,True,1.0,True,2.354193692933268,0.04870333367232083,2.688234396116131
