symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,spearman_first_half,spearman_second_half,temporal_consistent,horizon_consistent_5d_20d,horizon_sign_consistency_pct,horizon_consistent_sweep,mean_nw_t_stat,smoothness_index,abs_spearman_t
AG,PPI_全部工业品(全国:当期同比增长率:月),level,H1,123,-0.3052948080885053,-3.5266107435223666,0.0005954736898329215,-0.36137759566347655,-4.1413909361580235,3.452060093889209e-05,-0.3434512053149007,-0.209493146609485,True,True,1.0,True,2.8156583627672593,0.020469510995076306,4.1413909361580235
AG,PPI_有色金属冶炼及压延加工业(全国:当期同比增长率:月),level,H1,123,-0.2842660861196304,-3.261477824901608,0.0014401658962467866,-0.32183492936499525,-3.467849015501296,0.0005246419688584858,-0.42142980096670607,-0.34663376187887657,True,False,0.9523809523809523,True,1.9210080223606758,0.02513344394607261,3.467849015501296
AG,PPIRM_有色金属材料类(全国:当期同比增长率:月),level,H1,123,-0.26861075311937604,-3.0674507606336165,0.0026642804834929716,-0.2959829096315439,-3.1912741915781497,0.0014164678512471607,-0.4215258532153426,-0.3675833595662643,True,False,0.9523809523809523,True,1.764810415925858,0.026641668589641097,3.1912741915781497
AL,社会融资规模_当月值,zscore,H1,15,0.2806265487217974,1.0541732164198614,0.311002920249141,0.5035714285714286,2.6312470331405,0.008507217370463671,0.5,0.5000000000000001,True,True,1.0,True,1.5319192960652182,0.10965810904565808,2.6312470331405
AL,PPIRM_燃料及动力类(全国:当期同比增长率:月),zscore,H1,108,-0.20033103091315452,-2.1052104635085405,0.03763586904347365,-0.20370211590309337,-2.2925993746009357,0.02187108042627761,-0.30535544120449776,-0.03487707261292167,True,True,1.0,True,1.0453682766997279,0.03172219759477175,2.2925993746009357
AL,PPIRM_燃料及动力类(全国:当期同比增长率:月),level,H1,121,-0.1530053593867675,-1.68897853358304,0.09384218129998399,-0.18407526277606878,-2.063103253380202,0.03910281914685543,-0.1959792713262934,-0.1729289511168003,True,True,1.0,True,2.1376976642641035,0.031312470296861704,2.063103253380202
AU,国内生产总值GDP缩减指数,level,H1,15,-0.5592484916310938,-2.4323268148351014,0.030198760646666396,-0.6583194791363408,-5.479387279093641,4.268012476771332e-08,-0.8214285714285715,-0.3952166664313755,True,False,0.6190476190476191,False,0.5574902372319251,0.09801861010250659,5.479387279093641
AU,PMI_生产经营活动预期_全国_当期值_月,level,H1,96,-0.23395624969621315,-2.333038523461229,0.021778791975707177,-0.24754895369546734,-2.3563366594470803,0.018456182468891358,-0.17984796074772996,-0.007824390623194124,True,True,1.0,True,1.3842945982710393,0.029102291267369743,2.3563366594470803
AU,制造业采购经理指数PMI_购进价格,level,H1,120,-0.23336574571728258,-2.6069821723391593,0.010312917977711953,-0.23091922176042273,-2.2354933793021736,0.025384975799147558,-0.1587050175108762,-0.22015060165768935,True,True,1.0,True,2.3077105533453053,0.029364100718186112,2.2354933793021736
C,CPI_翘尾因素_当月,level,H1,29,0.6313941983279614,4.230794480051055,0.0002397315374747862,0.5049483538004829,3.274335654211575,0.001059107257953329,0.5060509112826415,-0.03873758175333145,False,True,0.9523809523809523,True,0.7271844166406413,0.06438388561937905,3.274335654211575
