entry_date,exit_date,contract,direction,p_entry,p_exit,hold_days,raw_return,net_return
2017-08-09,2017-08-16,V1709,LONG,7540.0,7160.0,5,-0.050397873,-0.05139787
2017-11-30,2017-12-07,V1801,LONG,6105.0,6350.0,5,0.040131092,0.039131094
2018-04-09,2018-04-16,V1805,LONG,6635.0,6485.0,5,-0.022607386,-0.023607386
2018-08-09,2018-08-16,V1809,LONG,7340.0,7365.0,5,0.0034060478,0.0024060477
2018-12-04,2018-12-11,V1901,LONG,6625.0,6485.0,5,-0.021132052,-0.022132052
2019-03-27,2019-04-03,V1905,LONG,6500.0,6670.0,5,0.026153803,0.025153803
2019-08-14,2019-08-21,V1909,LONG,6805.0,6855.0,5,0.007347584,0.0063475836
2019-12-11,2019-12-18,V2001,LONG,6745.0,6785.0,5,0.0059303045,0.0049303044
2020-03-27,2020-04-03,V2005,LONG,5390.0,5345.0,5,-0.008348823,-0.009348823
2020-08-12,2020-08-19,V2009,LONG,6525.0,6675.0,5,0.022988558,0.021988558
2020-12-16,2020-12-23,V2101,LONG,7685.0,7605.0,5,-0.010409892,-0.011409892
2021-04-13,2021-04-20,V2105,LONG,8595.0,8905.0,5,0.036067486,0.035067488
2021-08-18,2021-08-25,V2109,LONG,9330.0,9475.0,5,0.015541315,0.014541315
2021-12-10,2021-12-17,V2201,LONG,8311.0,8441.0,5,0.015641928,0.014641928
2022-04-20,2022-04-27,V2205,LONG,9199.0,8908.0,5,-0.031633854,-0.032633852
2022-08-18,2022-08-25,V2209,LONG,6368.0,6641.0,5,0.04287064,0.041870642
2022-12-08,2022-12-15,V2301,LONG,6080.0,6404.0,5,0.053289533,0.052289534
2023-04-13,2023-04-20,V2305,LONG,6021.0,6193.0,5,0.028566718,0.027566718
2023-08-16,2023-08-23,V2309,LONG,6045.0,6255.0,5,0.034739494,0.033739496
2023-12-15,2023-12-22,V2401,LONG,5911.0,5894.0,5,-0.0028759837,-0.0038759839
2024-04-15,2024-04-22,V2405,LONG,5820.0,5775.0,5,-0.007731974,-0.008731974
2024-08-20,2024-08-27,V2409,LONG,5437.0,5486.0,5,0.0090123415,0.008012341
2024-12-19,2024-12-26,V2501,LONG,4980.0,4971.0,5,-0.0018072128,-0.002807213
2025-04-16,2025-04-23,V2505,LONG,4921.0,4871.0,5,-0.010160565,-0.011160566
2025-08-13,2025-08-20,V2509,LONG,5016.0,4871.0,5,-0.028907478,-0.029907478
2025-12-16,2025-12-23,V2601,LONG,4399.0,4450.0,5,0.01159358,0.01059358
2026-04-14,2026-04-21,V2605,LONG,4917.0,4988.0,5,0.014439702,0.013439702
