entry_date,exit_date,contract,direction,p_entry,p_exit,hold_days,raw_return,net_return
2017-08-03,2017-08-31,CF1709,SHORT,14995.0,15270.0,20,-0.018339396,-0.019339396
2017-11-29,2017-12-29,CF1801,SHORT,15005.0,14640.0,22,0.024325252,0.023325251
2018-03-26,2018-04-27,CF1805,SHORT,14995.0,14835.0,22,0.010670245,0.0096702445
2018-05-15,2018-06-27,CF1807,SHORT,15270.0,15600.0,30,-0.021610975,-0.022610975
2018-11-23,2018-12-28,CF1901,SHORT,14600.0,14150.0,25,0.03082192,0.02982192
2019-04-04,2019-04-30,CF1905,SHORT,15160.0,15140.0,17,0.0013192892,0.00031928916
2019-08-09,2019-08-30,CF1909,SHORT,12175.0,11980.0,15,0.016016424,0.015016424
2019-11-27,2019-12-31,CF2001,SHORT,12830.0,13505.0,24,-0.052611113,-0.05361111
2020-04-02,2020-04-30,CF2005,SHORT,10485.0,11300.0,19,-0.07773006,-0.07873006
2020-08-10,2020-08-31,CF2009,LONG,12140.0,12485.0,15,0.028418422,0.027418422
2020-12-07,2020-12-31,CF2101,LONG,14570.0,15110.0,18,0.037062407,0.03606241
2021-04-08,2021-04-30,CF2105,LONG,14880.0,15410.0,16,0.035618305,0.034618307
2021-08-06,2021-08-31,CF2109,LONG,17410.0,17500.0,17,0.0051693916,0.0041693915
2021-12-07,2021-12-31,CF2201,LONG,20780.0,21850.0,18,0.051491857,0.05049186
2022-04-14,2022-04-29,CF2205,LONG,21550.0,21835.0,11,0.013225079,0.012225078
2022-07-29,2022-08-31,CF2209,LONG,14920.0,15520.0,23,0.04021442,0.03921442
2022-11-29,2022-12-30,CF2301,LONG,13330.0,14225.0,23,0.06714177,0.06614177
2023-04-07,2023-04-28,CF2305,LONG,14680.0,15340.0,15,0.044959188,0.04395919
2023-07-24,2023-08-31,CF2309,LONG,16925.0,17840.0,28,0.05406201,0.05306201
2023-12-04,2023-12-29,CF2401,LONG,15200.0,15390.0,19,0.012500048,0.0115000475
2024-04-11,2024-04-30,CF2405,LONG,16210.0,15390.0,13,-0.050586045,-0.051586043
2024-08-12,2024-08-30,CF2409,LONG,13625.0,13510.0,14,-0.008440375,-0.0094403755
2024-12-05,2024-12-31,CF2501,LONG,13900.0,13485.0,18,-0.029856086,-0.030856086
2025-04-14,2025-04-30,CF2505,LONG,12810.0,12450.0,12,-0.028103054,-0.029103054
2025-08-05,2025-08-29,CF2509,SHORT,13655.0,13790.0,18,-0.009886503,-0.010886503
2025-12-12,2025-12-31,CF2601,SHORT,13835.0,14655.0,13,-0.059270024,-0.060270023
2026-04-08,2026-04-30,CF2605,SHORT,15175.0,16465.0,16,-0.08500826,-0.086008266
