entry_date,exit_date,contract,direction,p_entry,p_exit,hold_days,raw_return,net_return
2020-04-17,2020-06-03,SA2009,LONG,1472.0,1485.0,30,0.008831501,0.007831501
2020-08-20,2020-10-09,SA2011,LONG,1514.0,1725.0,30,0.13936591,0.13836591
2020-12-21,2021-02-02,SA2103,LONG,1523.0,1479.0,30,-0.028890371,-0.029890371
2021-04-08,2021-05-25,SA2109,LONG,1967.0,2138.0,30,0.08693445,0.085934445
2021-07-30,2021-09-10,SA2201,LONG,2626.0,2964.0,30,0.12871289,0.12771289
2021-12-03,2022-01-17,SA2205,LONG,2523.0,2553.0,30,0.01189065,0.01089065
2022-03-28,2022-05-16,SA2206,LONG,2810.0,2939.0,30,0.045907497,0.0449075
2022-08-05,2022-09-19,SA2210,LONG,2475.0,2668.0,30,0.0779798,0.0769798
2022-12-05,2023-01-17,SA2303,LONG,2645.0,3099.0,30,0.17164457,0.17064457
2023-03-27,2023-05-12,SA2306,LONG,2810.0,2100.0,30,-0.25266904,-0.25366902
2023-07-31,2023-09-11,SA2310,LONG,1834.0,2784.0,30,0.51799345,0.51699346
2023-12-08,2024-01-22,SA2405,LONG,2332.0,2085.0,30,-0.10591769,-0.106917694
2024-03-26,2024-05-14,SA2409,LONG,1779.0,2131.0,30,0.19786394,0.19686393
2024-08-13,2024-09-26,SA2501,LONG,1663.0,1515.0,30,-0.088995814,-0.08999582
2024-12-13,2025-01-27,SA2505,LONG,1492.0,1481.0,30,-0.0073726773,-0.0083726775
2025-04-14,2025-05-29,SA2509,LONG,1377.0,1203.0,30,-0.12636167,-0.12736167
2025-08-06,2025-09-17,SA2511,SHORT,1316.0,1258.0,30,0.044072926,0.043072928
2025-12-15,2026-01-28,SA2603,LONG,1129.0,1165.0,30,0.031886578,0.030886577
2026-04-14,2026-05-29,SA2607,LONG,1193.0,1170.0,30,-0.019279122,-0.020279123
