entry_date,exit_date,contract,direction,p_entry,p_exit,hold_days,raw_return,net_return
2017-08-03,2017-08-24,RU1805,SHORT,15485.0,16780.0,15,-0.08362937,-0.08462937
2017-11-29,2017-12-20,RU1809,SHORT,14565.0,14795.0,15,-0.015791297,-0.016791297
2018-03-30,2018-04-24,RU1901,SHORT,13715.0,13420.0,15,0.02150929,0.02050929
2018-08-08,2018-08-29,RU1901,SHORT,12500.0,12340.0,15,0.012799978,0.011799978
2018-12-03,2018-12-24,RU1909,SHORT,11415.0,11630.0,15,-0.01883483,-0.01983483
2019-03-26,2019-04-17,RU2001,SHORT,12980.0,12820.0,15,0.012326658,0.011326658
2019-08-09,2019-08-30,RU2005,SHORT,11860.0,12000.0,15,-0.011804342,-0.012804342
2019-11-27,2019-12-18,RU2009,SHORT,12740.0,13225.0,15,-0.03806913,-0.039069127
2020-03-20,2020-04-13,RU2101,SHORT,11160.0,11310.0,15,-0.013440847,-0.014440848
2020-08-03,2020-08-24,RU2105,SHORT,12315.0,12830.0,15,-0.041818976,-0.042818975
2020-11-26,2020-12-17,RU2109,SHORT,14710.0,14670.0,15,0.0027192235,0.0017192235
2021-03-31,2021-04-22,RU2110,SHORT,14025.0,14090.0,15,-0.0046346188,-0.005634619
2021-08-05,2021-08-26,RU2201,SHORT,14550.0,14055.0,15,0.034020603,0.033020604
2021-11-25,2021-12-16,RU2205,SHORT,15755.0,14745.0,15,0.06410664,0.06310664
2022-04-01,2022-04-26,RU2209,SHORT,13830.0,12635.0,15,0.08640635,0.08540635
2022-08-05,2022-08-26,RU2301,SHORT,12970.0,12670.0,15,0.023130298,0.022130297
2022-12-02,2022-12-23,RU2305,SHORT,12945.0,12575.0,15,0.028582454,0.027582454
2023-04-03,2023-04-25,RU2309,SHORT,11915.0,11990.0,15,-0.006294608,-0.0072946083
2023-08-09,2023-08-30,RU2401,SHORT,12980.0,13305.0,15,-0.02503848,-0.02603848
2023-12-01,2023-12-22,RU2405,SHORT,13570.0,13910.0,15,-0.02505529,-0.02605529
2024-03-27,2024-04-19,RU2501,SHORT,15585.0,15695.0,15,-0.0070580244,-0.008058025
2024-08-06,2024-08-27,RU2505,SHORT,15770.0,16635.0,15,-0.054850936,-0.055850934
2024-11-28,2024-12-19,RU2509,SHORT,18285.0,17770.0,15,0.028165162,0.027165161
2025-04-02,2025-04-24,RU2601,SHORT,17915.0,15485.0,15,0.1356405,0.1346405
2025-08-05,2025-08-26,RU2601,SHORT,15460.0,15885.0,15,-0.027490258,-0.028490258
2025-12-01,2025-12-22,RU2609,SHORT,15275.0,15175.0,15,0.0065466166,0.0055466164
2026-03-30,2026-04-21,RU2701,SHORT,17310.0,17795.0,15,-0.028018475,-0.029018475
