symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,spearman_first_half,spearman_second_half,temporal_consistent,horizon_consistent_5d_20d,horizon_sign_consistency_pct,horizon_consistent_sweep,mean_nw_t_stat,smoothness_index,abs_spearman_t
AG,PPI_电气机械及器材制造业(全国:当期同比增长率:月),level,H2,41,-0.6603149430273353,-5.490981361868583,2.634973616314442e-06,-0.7040523544175686,-9.03165325722453,0.0,-0.6548743353862845,-0.7017895456276152,True,True,1.0,True,1.1790685569550656,0.061281421795587994,9.03165325722453
SA,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,H2,22,0.5404448625730066,2.872595652326407,0.009411852239925871,0.7924219552672721,7.485638413996878,7.127631818093505e-14,0.493155826175401,0.5558100980454104,True,True,1.0,True,3.0127410614978123,0.050000410092059584,7.485638413996878
AU,制造业采购经理指数PMI_购进价格,level,H2,122,-0.4822795540005422,-6.03082541339294,1.8561814212995535e-08,-0.5445232421116492,-6.998613312771165,2.5850432905372145e-12,-0.5483273881066579,-0.446163203331622,True,True,1.0,True,2.246658192471771,0.028915507283819745,6.998613312771165
C,CPI_翘尾因素_当月,level,H2,30,0.7577697656533938,6.144989133519109,1.2400346434813307e-06,0.6643654241967396,5.5050604443002715,3.6904162836748355e-08,0.6970512166771509,0.23242549051998873,True,False,0.8571428571428571,False,0.7523811730609223,0.0774687170569557,5.5050604443002715
RU,PPI_交通运输设备制造业(全国:当期同比增长率:月),level,H2,119,-0.5032834941279579,-6.299859702001731,5.422246210489669e-09,-0.5703537992325265,-5.390249121934395,7.03600775420199e-08,-0.6092804840381474,-0.560544139709689,True,True,1.0,True,2.3740809012622046,0.022354406355218282,5.390249121934395
J,非制造业PMI_建筑业_全国_当期值_月,level,H2,93,0.34924545697783954,3.5554729188963554,0.0006010009676758874,0.53015357932888,4.909265022690107,9.141836485593302e-07,0.1258681399646173,0.07813539622044187,True,True,1.0,True,1.6716605442174441,0.03240593087533508,4.909265022690107
V,非制造业PMI_建筑业_业务活动预期_全国_当期值_月,level,H2,92,0.41457014256600605,4.321849088597402,3.982017543947687e-05,0.5273088963391617,4.871819784444982,1.105750089935853e-06,0.3580266574275809,0.21357187937640096,True,True,1.0,True,2.7703944145033064,0.0228444775746719,4.871819784444982
CF,PPI_皮革、毛皮、羽毛及其制品和制鞋业(全国:当期同比增长率:月),level,H2,40,-0.6890615980962183,-5.861245607044858,8.824726152427937e-07,-0.7193355339300956,-4.860514140764632,1.1708128000442741e-06,-0.10951774087577745,-0.22506600721896447,True,True,1.0,True,2.460983887485106,0.03926173787492533,4.860514140764632
SN,PPI_电气机械及器材制造业(全国:当期同比增长率:月),zscore,H2,33,0.4394017626898023,2.723489860082946,0.010513491862108612,0.671457219251337,4.575887459177607,4.7420542950149525e-06,-0.0588235294117647,0.5441176470588236,False,True,1.0,True,3.1886647273044195,0.05075830537089132,4.575887459177607
SR,居民食品消费价格指数CPI_(上年=100)_当月,level,H2,110,0.2803566943282808,3.0352794052521452,0.0030116116631862112,0.4889333772187529,4.123924381475945,3.724712219921322e-05,0.4036227272190743,0.5261904641515591,True,True,0.8095238095238095,False,1.0173883108581347,0.042892127893623955,4.123924381475945
