symbol,H1,H2,H3,5d,20d
C,32,105,183,5,20
M,40,121,202,5,20
Y,40,121,203,5,20
P,40,121,203,5,20
V,40,121,202,5,20
J,40,121,202,5,20
JD,29,99,173,5,20
I,40,121,202,5,20
CU,10,30,51,5,20
AL,10,30,50,5,20
AU,35,137,242,5,20
AG,40,131,212,5,20
RB,40,121,202,5,20
RU,40,121,202,5,20
NI,15,40,64,5,20
SN,15,38,60,5,20
SC,11,31,51,5,20
CF,41,123,204,5,20
SR,38,118,197,5,20
TA,40,121,202,5,20
MA,40,121,202,5,20
SA,40,121,201,5,20
TF,30,91,151,5,20
