symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p
C,制造业采购经理指数PMI_原材料库存,level,1,1289,-0.002854152717270164,-0.10239252423645578,0.918461067996331,-0.00642321615132115,-0.23043623432459992,0.8177894301938062
C,制造业采购经理指数PMI_原材料库存,level,5,1285,0.002557872664059096,0.09162071350650841,0.9270136961742036,0.0018005050649586376,0.06449237633162226,0.9485882238737391
C,制造业采购经理指数PMI_原材料库存,level,20,1270,-0.03347140772071695,-1.192551159160614,0.23326831897714848,-0.04364555697854483,-1.5556565168434915,0.12003933249093697
C,制造业采购经理指数PMI_原材料库存,level,30,1260,-0.054200503578755915,-1.9252294360822366,0.054425892712726014,-0.05554616329238773,-1.9731740885984337,0.04869434377197776
C,制造业采购经理指数PMI_原材料库存,level,40,1250,-0.04106854807761514,-1.452055436730912,0.1467375364248705,-0.03604821798744079,-1.2743051960914116,0.20279250634263044
C,制造业采购经理指数PMI_原材料库存,diff,1,1274,0.009969418228575697,0.35557805855748875,0.7222155343682107,0.007334361894013695,0.2615878522718611,0.7936815603293854
C,制造业采购经理指数PMI_原材料库存,diff,5,1270,0.014403347394847846,0.5129418285034758,0.6080813603883598,0.009542600823020586,0.33981782712746006,0.7340500007101749
C,制造业采购经理指数PMI_原材料库存,diff,20,1255,-0.025517649131222453,-0.9035613354750476,0.3664017268273036,-0.030784724451081547,-1.0902263991785603,0.2758230410233845
C,制造业采购经理指数PMI_原材料库存,diff,30,1245,-0.06252746097977996,-2.208803079389526,0.02737023392368346,-0.052348699601283695,-1.8481505518461117,0.06481797653455804
C,制造业采购经理指数PMI_原材料库存,diff,40,1235,-0.07323633497054843,-2.578552378706511,0.010036638142664698,-0.05980882402694351,-2.1038993071621475,0.035589318396013064
C,制造业采购经理指数PMI_原材料库存,zscore,1,1038,-0.0176606451979058,-0.5685310413282896,0.569797645809275,-0.011255754244552177,-0.3623113944464276,0.7171932375999053
C,制造业采购经理指数PMI_原材料库存,zscore,5,1034,-0.030609293375275876,-0.983777078317045,0.3254557104713175,-0.033751287335315336,-1.0848699881888986,0.27823260598725336
C,制造业采购经理指数PMI_原材料库存,zscore,20,1019,-0.045825252784513125,-1.4629242008757684,0.14379708738979594,-0.06000115749181393,-1.916916853927732,0.05552846212264929
C,制造业采购经理指数PMI_原材料库存,zscore,30,1009,0.00018388066652751426,0.005835133706310597,0.995345419051733,-0.009678569667214337,-0.30714698595732626,0.7587949999922594
C,制造业采购经理指数PMI_原材料库存,zscore,40,999,0.043926328227966674,1.3883273417510658,0.16534750255411837,0.05242775645968968,1.6577023011397147,0.09769215339468024
C,制造业采购经理指数PMI_新订单,level,1,1289,-0.0022967739831001215,-0.08239648380169484,0.9343442445105165,-0.03344676346106436,-1.2005670721327497,0.23014010369104804
C,制造业采购经理指数PMI_新订单,level,5,1285,-0.008942386256549927,-0.3203200459856922,0.748777887818139,-0.05726448372301103,-2.054527324989025,0.04012686062575561
C,制造业采购经理指数PMI_新订单,level,20,1270,-0.0484138179587182,-1.7259910047077762,0.08459263487493611,-0.14954976395791908,-5.385884271896857,8.583912394080978e-08
C,制造业采购经理指数PMI_新订单,level,30,1260,-0.014930070567971063,-0.5296031871759954,0.5964805304661014,-0.12147901720725589,-4.340801682146222,1.533506950236053e-05
C,制造业采购经理指数PMI_新订单,level,40,1250,0.03628950587320278,1.2828459376247232,0.1997842497430498,-0.09690773493117805,-3.439652940271829,0.0006016806996614205
C,制造业采购经理指数PMI_新订单,diff,1,1274,-0.013360925806196773,-0.4765614136435604,0.6337563173695089,-0.0010540787684454364,-0.03759385505639458,0.9700174063486477
C,制造业采购经理指数PMI_新订单,diff,5,1270,-0.029097785999652417,-1.036581621694124,0.300128517748135,-0.011474133405345288,-0.40860917324689394,0.6828954932122522
C,制造业采购经理指数PMI_新订单,diff,20,1255,-0.12455260237054039,-4.443482007932851,9.633373545079828e-06,-0.057898412764846224,-2.0529167730550864,0.04028793155218401
C,制造业采购经理指数PMI_新订单,diff,30,1245,-0.11261156643837102,-3.9956726121760053,6.830022348280588e-05,-0.016885974541166287,-0.5954202761734307,0.5516709621022682
C,制造业采购经理指数PMI_新订单,diff,40,1235,-0.060159266913701194,-2.116271508089211,0.03452167124306991,-0.01191496575978118,-0.4184129973437682,0.6757180503270185
C,制造业采购经理指数PMI_新订单,zscore,1,1038,-0.004458674436612988,-0.14351257495825961,0.8859132892980077,-0.02582193748017261,-0.8314067365120108,0.40593547340680824
C,制造业采购经理指数PMI_新订单,zscore,5,1034,-0.023868190315191412,-0.7669783105885646,0.44326983167964673,-0.04559656263659065,-1.4663035357097458,0.1428702434878003
C,制造业采购经理指数PMI_新订单,zscore,20,1019,-0.0199233746528461,-0.6354912716683078,0.525251018946996,-0.0751572530865518,-2.4035957819632903,0.016412859258497076
C,制造业采购经理指数PMI_新订单,zscore,30,1009,0.061406292870007595,1.952306349438379,0.051178652880085496,-0.011669584184893679,-0.37033920470788884,0.7112076460252559
C,制造业采购经理指数PMI_新订单,zscore,40,999,0.12050705271659086,3.8329801154433154,0.00013452988576211157,0.014197652452978264,0.4483404211661305,0.6540049478501933
C,制造业采购经理指数PMI_进口,level,1,1289,-0.005593708409332556,-0.20067621060013968,0.840983469532315,-0.008953779684073982,-0.32122777299609545,0.7480899435483029
C,制造业采购经理指数PMI_进口,level,5,1285,0.005599946231021033,0.20058755973872022,0.841052877570999,-0.0018318231988147025,-0.06561416578591088,0.9476952328349602
C,制造业采购经理指数PMI_进口,level,20,1270,0.003934692787338295,0.14011151138423905,0.8885941376662504,-0.005592075113943538,-0.19913124712704833,0.8421920042256835
C,制造业采购经理指数PMI_进口,level,30,1260,0.08405658006210674,2.9919321349634664,0.0028261849417770485,0.09426235717144098,3.3582782572156353,0.0008077583714627825
C,制造业采购经理指数PMI_进口,level,40,1250,0.16843786264574212,6.036661867714226,2.0717316514982416e-09,0.18995594116522216,6.835029803775074,1.279155629192923e-11
C,制造业采购经理指数PMI_进口,diff,1,1274,-0.030450656018151143,-1.086529821130375,0.2774505081210432,-0.023825943961152042,-0.8499961837068453,0.3954871654840605
C,制造业采购经理指数PMI_进口,diff,5,1270,-0.061975650573945947,-2.2111407351954915,0.027203978938515,-0.07702512974301173,-2.7509595756938032,0.006026667696990599
C,制造业采购经理指数PMI_进口,diff,20,1255,-0.18627819730233885,-6.711294727921089,2.914930032090785e-11,-0.21515776774643858,-7.798750912845358,1.3085185089046248e-14
C,制造业采购经理指数PMI_进口,diff,30,1245,-0.14197410536951682,-5.0566905760579495,4.905804045324694e-07,-0.1396385969945049,-4.971838427556823,7.560261465862869e-07
C,制造业采购经理指数PMI_进口,diff,40,1235,-0.05735865538628746,-2.017418949507985,0.04386814110896024,-0.06268828416999389,-2.2055806971432066,0.027597333006655837
