symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,abs_spearman_t
SR,PPI_农副食品加工业(全国:当期同比增长率:月),zscore,H4,1994,0.44542019324273513,22.20421808009236,8.809120556710817e-98,0.45811085545917274,23.001955181215322,5.019314837135963e-104,23.001955181215322
SR,PPI_食品制造业(全国:当期同比增长率:月),level,H4,2245,0.4440180020622287,23.46921407669012,4.21288887542267e-109,0.4279031060318677,22.422080715399026,1.233254811525372e-100,22.422080715399026
TA,制造业采购经理指数PMI_生产,level,H4,2231,0.1788359631614273,8.581599523174306,1.7242972015392375e-17,0.5253485474123771,29.1494668923322,1.5540467522455902e-158,29.1494668923322
TA,制造业采购经理指数PMI_新订单,level,H4,2231,0.1706651513677742,8.177462889630831,4.810078991326349e-16,0.4393137625539057,23.08831058565324,6.264058640278085e-106,23.08831058565324
TA,PMI_生产经营活动预期_全国_当期值_月,level,H4,1917,0.26684788534406795,12.116826059520033,1.2991291301289937e-32,0.42326891891195634,20.444222878888326,3.4467470581875843e-84,20.444222878888326
TF,贷款加权平均利率_非金融企业及其他部门_票据融资_人民币,level,H4,2316,0.861002047003835,81.43446238954516,0.0,0.837622737682095,73.76313219827618,0.0,73.76313219827618
TF,社会融资规模存量_同比增速_月末数,level,H4,2309,0.7264632039316591,50.775110569264854,0.0,0.7243704087139673,50.46686144134466,0.0,50.46686144134466
TF,社会融资规模存量_同比增速_月末数,diff,H4,2293,-0.4784177705410208,-26.077134514592426,1.727236412611326e-131,-0.6130837746212187,-37.144578508244614,8.322596963502536e-237,37.144578508244614
V,非制造业PMI_建筑业_全国_当期值_月,level,H4,1915,0.27742837630550865,12.629891928370236,3.5131632207934716e-35,0.5095996304720547,25.90480363749259,4.428691526132811e-127,25.90480363749259
V,非制造业PMI_建筑业_新订单_全国_当期值_月,level,H4,1915,0.3460222534506165,16.130725838264098,5.5554467669092094e-55,0.5036079690620344,25.495901286373506,1.1065043815067039e-123,25.495901286373506
V,非制造业PMI_建筑业_业务活动预期_全国_当期值_月,level,H4,1915,0.37804891917012046,17.86055931335657,4.136018636254802e-66,0.4691601985109615,23.23605149243719,2.0802599668510417e-105,23.23605149243719
Y,制造业采购经理指数PMI_新订单,level,H4,2225,-0.01078464971070656,-0.5085117969402287,0.6111449275243518,0.41289176691931656,21.374325655675815,2.4429997933856956e-92,21.374325655675815
Y,居民食品消费价格指数CPI_(上年=100)_当月,level,H4,2241,0.5947137587262823,35.003601582370344,1.7576593973269327e-214,0.4003006283374948,20.669781219957407,5.186254936288452e-87,20.669781219957407
Y,PPI_农副食品加工业(全国:当期同比增长率:月),zscore,H4,1990,0.4351364477830969,21.54841239819296,9.927707515435437e-93,0.3883202232127938,18.78846554067337,1.2646090083101561e-72,18.78846554067337
