symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,abs_spearman_t
AG,制造业采购经理指数PMI_购进价格,level,H4,2374,-0.35741219595534685,-18.638227025678294,1.8364484809903866e-72,-0.5036397598950157,-28.39271722087536,6.598628280103894e-153,28.39271722087536
AG,制造业采购经理指数PMI_新出口订单,level,H4,2374,-0.1898381806732384,-9.416967442588803,1.061605272927495e-20,-0.4858549009379332,-27.072781586206464,6.900692019557883e-141,27.072781586206464
AG,PPI_有色金属矿采选业(全国:当期同比增长率:月),zscore,H4,2139,-0.37553237082437413,-18.73092682558455,1.3168565993641352e-72,-0.4741146136229784,-24.892838745771805,2.55971507622706e-120,24.892838745771805
AL,PPI_电气机械及器材制造业(全国:当期同比增长率:月),level,H4,2118,-0.737768229947786,-50.27350925224412,0.0,-0.760216040098162,-53.827202493939694,0.0,53.827202493939694
AL,PPI_有色金属矿采选业(全国:当期同比增长率:月),level,H4,2453,-0.6350772289563104,-40.70320240948158,3.7373842367030315e-277,-0.5707348615834434,-34.410565132952115,4.78359055373665e-212,34.410565132952115
AL,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,H4,2100,-0.02530977523212602,-1.15965866140918,0.2463197649970626,-0.5984659833603445,-34.21600819961549,2.8390913531955177e-204,34.21600819961549
AU,CPI_翘尾因素_当月,level,H4,1416,-0.38654518647916125,-15.760379515204912,1.1151928228552968e-51,-0.5015087511685534,-21.797692280458634,4.726441377239596e-91,21.797692280458634
AU,国内生产总值GDP_累计同比,level,H4,2386,0.19421525994365593,9.666864887172292,1.0375404087320186e-21,0.3465747653615161,18.04001425504348,2.681384327517175e-68,18.04001425504348
AU,PMI_生产经营活动预期_全国_当期值_月,zscore,H4,1812,-0.3011296493647057,-13.43489297632152,2.6975694072514147e-39,-0.37503226748216495,-17.21165692148874,1.3237580060246514e-61,17.21165692148874
C,居民食品消费价格指数CPI_(上年=100)_当月,level,H4,2370,0.43849742325222774,23.74255614919597,5.872279261578922e-112,0.5012503976537696,28.188874120400502,5.340360040063427e-151,28.188874120400502
C,CPI_翘尾因素_当月,level,H4,1393,0.7842742487144205,47.1465286387213,1.1374121238435522e-290,0.49816612844592795,21.427810055938856,2.9737641121384614e-88,21.427810055938856
C,PPI_农副食品加工业(全国:当期同比增长率:月),zscore,H4,2119,0.4139654143205363,20.923940217610316,1.6117283476266703e-88,0.3996426328247768,20.059436874727336,4.388050836484311e-82,20.059436874727336
CF,PPI_皮革、毛皮、羽毛及其制品和制鞋业(全国:当期同比增长率:月),diff,H4,1896,-0.6347999516205196,-35.75437172463358,2.127655368809275e-214,-0.5942634176225308,-32.156358354660775,2.0913059530738214e-181,32.156358354660775
CF,PPI_化学纤维制造业(全国:当期同比增长率:月),level,H4,2248,-0.667889334551879,-42.52892028655809,1.975394462003431e-290,-0.5600828592319662,-32.04039659079455,7.72402575809292e-186,32.04039659079455
CF,PPI_纺织业(全国:当期同比增长率:月),zscore,H4,1997,-0.4719673608137423,-23.911341472515858,2.569199131822135e-111,-0.4984504022926438,-25.68119753240225,6.607014883293417e-126,25.68119753240225
CU,PPI_电气机械及器材制造业(全国:当期同比增长率:月),level,H4,2122,-0.7305111273174013,-49.25350587750598,0.0,-0.7364716972355022,-50.127553003289776,0.0,50.127553003289776
CU,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,H4,2104,-0.09413124163181395,-4.334937024130068,1.5268335353200416e-05,-0.6323910000297922,-37.42802172245065,2.179370165009142e-235,37.42802172245065
CU,PPI_电气机械及器材制造业(全国:当期同比增长率:月),zscore,H4,1871,-0.48716879873473246,-24.116637947868455,4.163297447458952e-112,-0.5930123348661197,-31.839642652186328,4.169145000297849e-178,31.839642652186328
I,GDP增长贡献率_第二产业_累计同比_季,diff,H4,2168,,,,-0.5320409661234683,-29.243893428753463,9.78397859090458e-159,29.243893428753463
I,GDP增长贡献率_第二产业_累计同比_季,level,H4,2227,,,,0.5191525672641533,28.652047789679912,5.985161824156345e-154,28.652047789679912
I,制造业采购经理指数PMI_生产,level,H4,2226,,,,-0.37863988509244956,-19.292861450813763,8.243324499523984e-77,19.292861450813763
J,PPIRM_黑色金属材料类(全国:当期同比增长率:月),level,H4,2252,0.18097823953475245,8.72868759910648,4.9221819657882876e-18,0.5831357941853225,34.049016522158325,2.579457012315039e-205,34.049016522158325
J,非制造业PMI_建筑业_全国_当期值_月,level,H4,1917,0.17782334405907413,7.9077059683297595,4.390394392437236e-15,0.5865259722906504,31.69012315020375,1.4772233606115607e-177,31.69012315020375
J,制造业采购经理指数PMI_新订单,level,H4,2236,0.11360337690869363,5.404474966122448,7.191020825164859e-08,0.5434479932111076,30.599085386345166,4.8742769704318024e-172,30.599085386345166
JD,PPI_食品制造业(全国:当期同比增长率:月),zscore,H4,2210,-0.32243134845446686,-16.005659510947527,1.2250864593574832e-54,-0.30549558314956815,-15.075761584370275,5.864895523988823e-49,15.075761584370275
JD,PPI_食品制造业(全国:当期同比增长率:月),diff,H4,2437,-0.3030364507433164,-15.691376336609329,6.212670858881853e-53,-0.2769935516190732,-14.225046808784054,3.5842470099173887e-44,14.225046808784054
JD,PPI_农副食品加工业(全国:当期同比增长率:月),zscore,H4,2210,-0.2977260870379571,-14.6545213702094,1.783871268302066e-46,-0.26357988689428496,-12.839485728813138,1.9163706622323915e-36,12.839485728813138
M,制造业采购经理指数PMI_新订单,level,H4,2223,,,,0.4883586047525607,26.374029944947637,1.3721721904056459e-133,26.374029944947637
M,制造业采购经理指数PMI_生产,level,H4,2223,,,,0.48036403384115084,25.81136061468705,1.058301481584197e-128,25.81136061468705
M,制造业采购经理指数PMI_进口,level,H4,2223,,,,0.4171489742984465,21.63111585632896,2.546827814283091e-94,21.63111585632896
MA,PPI_化学纤维制造业(全国:当期同比增长率:月),level,H4,2248,-0.725719787421481,-49.99095835867643,0.0,-0.7622568037558662,-55.81070890025647,0.0,55.81070890025647
MA,PPI_石油加工、炼焦及核燃料加工业(全国:当期同比增长率:月),level,H4,2248,-0.6525440857490487,-40.81204459035559,6.7230964150875125e-273,-0.702783133671634,-46.817671578784974,0.0,46.817671578784974
MA,PPIRM_燃料及动力类(全国:当期同比增长率:月),level,H4,2248,-0.58955071269335,-34.59067984070631,1.5026809030251225e-210,-0.6735837609520443,-43.19036552565608,3.306248352502294e-297,43.19036552565608
NI,国内生产总值GDP_累计同比,level,H4,2428,0.1497439314341578,7.4596627955963335,1.2012284117322975e-13,0.5341597004750984,31.121656472487246,3.265000208078796e-179,31.121656472487246
NI,PPI_电气机械及器材制造业(全国:当期同比增长率:月),level,H4,2100,-0.3185075383198175,-15.3904252798523,1.0077814928374123e-50,-0.5000915826652483,-26.451370273193724,2.6603853930635297e-133,26.451370273193724
NI,制造业采购经理指数PMI_生产,level,H4,2419,0.1677430388722322,8.365279767376517,9.998307850189547e-17,0.43621642664579285,23.8327516395779,6.157265029268369e-113,23.8327516395779
P,居民食品消费价格指数CPI_(上年=100)_当月,level,H4,2246,-0.010980062107854422,-0.5201665300256753,0.6029988226698975,-0.3906865997529377,-20.105040030117447,8.472743758865349e-83,20.105040030117447
P,制造业采购经理指数PMI_新订单,level,H4,2230,-0.018084101801297887,-0.8537398682034821,0.39334091653532693,-0.3907556288332715,-20.037413480135708,2.979437436938254e-82,20.037413480135708
P,制造业采购经理指数PMI_进口,level,H4,2230,-0.015426756383306888,-0.728255709923022,0.46653359996529076,-0.3292992255463638,-16.46161812717772,1.5051979957064215e-57,16.46161812717772
RB,PPI_非金属矿物制品业(全国:当期同比增长率:月),level,H4,2243,-0.004099176033069554,-0.19405335064133386,0.8461516957978175,0.6132941165222259,36.75721189316115,6.948285678655362e-232,36.75721189316115
RB,GDP增长贡献率_第二产业_累计同比_季,level,H4,2228,-0.018295830703457278,-0.863351031933796,0.38803750438087165,-0.5442063097965419,-30.604785301863185,5.370996529566785e-172,30.604785301863185
RB,GDP增长贡献率_第二产业_累计同比_季,diff,H4,2169,0.006521755036790377,0.3036009835083355,0.7614610478546854,0.47348749325164735,25.024211083237624,1.2813339753718053e-121,25.024211083237624
RU,制造业采购经理指数PMI_新出口订单,level,H4,2225,-0.4350860073424226,-22.78319968789526,1.9372947996650055e-103,-0.5722513903480315,-32.90040854148324,9.34888826218307e-194,32.90040854148324
RU,PPIRM_化工原料类(全国:当期同比增长率:月),level,H4,2241,-0.3569488452132602,-18.081253245935176,2.562210676353758e-68,-0.5219973229758106,-28.958310059925555,6.970785967289523e-157,28.958310059925555
RU,居民交通工具消费价格指数CPI_(上年=100)_当月,zscore,H4,1990,-0.4985208710718091,-25.640926028095876,1.6387075068140603e-125,-0.5429175339482493,-28.82527237136953,5.816683202359191e-153,28.82527237136953
SA,非制造业PMI_建筑业_新订单_全国_当期值_月,level,H4,1286,0.39712072685433275,15.505041114032965,7.851244128320365e-50,0.6102721316523058,27.604232749167178,4.5674797113787966e-132,27.604232749167178
SA,非制造业PMI_建筑业_全国_当期值_月,level,H4,1286,0.3148344880519163,11.88588493143813,5.526103913434854e-31,0.5848037305709584,25.83319858680656,7.636370342372081e-119,25.83319858680656
SA,PPI_电气机械及器材制造业(全国:当期同比增长率:月),level,H4,1291,-0.6037532473173519,-27.191571381652484,4.6274272285462866e-129,-0.5515223977514673,-23.737785923045358,1.2441758440922332e-103,23.737785923045358
SC,PPIRM_化工原料类(全国:当期同比增长率:月),zscore,H4,1650,0.3954521258742708,17.47832048095518,6.900816656232707e-63,0.469214791113332,21.569905660902478,4.2902066225600565e-91,21.569905660902478
SC,PPI_煤炭开采和洗选业(全国:当期同比增长率:月),zscore,H4,1650,0.32034154342226684,13.72787641564789,1.0928715264398514e-40,0.4325572021760745,19.47624014857292,3.3441199173982524e-76,19.47624014857292
SC,国内生产总值GDP_累计同比,level,H4,1897,-0.1729384059615804,-7.643451748345342,3.337561039655362e-14,-0.37555027594190415,-17.639477608111658,1.3407289094453827e-64,17.639477608111658
SN,PPI_电气机械及器材制造业(全国:当期同比增长率:月),level,H4,2122,-0.724276460243887,-48.36508201323327,0.0,-0.7788145094117449,-57.16869985005188,0.0,57.16869985005188
SN,PPI_有色金属矿采选业(全国:当期同比增长率:月),level,H4,2457,-0.560719570420167,-33.55352071472508,1.6968865611687046e-203,-0.5331762470183852,-31.226551641351747,1.5103489350993697e-180,31.226551641351747
SN,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,H4,2104,-0.03313640599701812,-1.5200585686071977,0.12864665255235255,-0.46902101093843707,-24.34759014321932,1.4837719051682072e-115,24.34759014321932
SR,居民食品消费价格指数CPI_(上年=100)_当月,zscore,H4,1892,0.46178068184889914,22.633197482618662,1.4743158214307417e-100,0.4974685813621823,24.930792841899162,7.559232939853496e-119,24.930792841899162
