entry_date,exit_date,contract,direction,p_entry,p_exit,hold_days,raw_return,net_return
2016-04-11,2016-04-29,MA1605,LONG,1811.0,1921.0,14,0.060739875,0.059739877
2016-08-10,2016-08-31,MA1609,LONG,1905.0,1831.0,15,-0.03884512,-0.03984512
2016-12-02,2016-12-30,MA1701,LONG,2582.0,2900.0,20,0.12316036,0.12216036
2017-04-07,2017-04-28,MA1705,SHORT,2684.0,2487.0,15,0.073397934,0.07239793
2017-08-07,2017-08-31,MA1709,SHORT,2471.0,2781.0,18,-0.12545526,-0.12645526
2017-12-11,2017-12-29,MA1801,SHORT,3140.0,3266.0,14,-0.040127397,-0.041127395
2018-04-12,2018-04-27,MA1805,LONG,2750.0,2965.0,11,0.07818186,0.07718186
2018-08-09,2018-08-31,MA1809,LONG,3161.0,3158.0,16,-0.00094908476,-0.0019490848
2018-12-13,2018-12-28,MA1901,LONG,2420.0,2300.0,11,-0.049586773,-0.05058677
2019-04-15,2019-04-30,MA1905,LONG,2430.0,2245.0,11,-0.0761317,-0.0771317
2019-08-16,2019-08-30,MA1909,SHORT,2078.0,1997.0,10,0.03897977,0.03797977
2019-12-13,2019-12-31,MA2001,LONG,2014.0,2096.0,12,0.04071498,0.03971498
2020-04-13,2020-04-30,MA2005,LONG,1753.0,1716.0,13,-0.02110666,-0.02210666
2020-08-17,2020-08-31,MA2009,LONG,1744.0,1761.0,10,0.009747744,0.008747743
2020-12-14,2020-12-31,MA2101,LONG,2394.0,2443.0,13,0.020467877,0.019467877
2021-04-14,2021-04-30,MA2105,LONG,2425.0,2440.0,12,0.0061855316,0.0051855315
2021-08-13,2021-08-31,MA2109,SHORT,2687.0,2675.0,12,0.0044659376,0.0034659375
2021-12-15,2021-12-31,MA2201,LONG,2656.0,2441.0,12,-0.08094877,-0.08194877
2022-04-14,2022-04-29,MA2205,SHORT,2871.0,2660.0,11,0.07349354,0.07249354
2022-08-16,2022-08-31,MA2209,SHORT,2457.0,2504.0,11,-0.019129038,-0.020129038
2022-12-15,2022-12-30,MA2301,SHORT,2590.0,2625.0,11,-0.013513565,-0.014513565
2023-04-13,2023-04-28,MA2305,SHORT,2449.0,2343.0,11,0.043282986,0.042282987
2023-08-08,2023-08-31,MA2309,LONG,2324.0,2522.0,17,0.085197926,0.08419792
2023-12-07,2023-12-29,MA2401,SHORT,2448.0,2397.0,16,0.020833313,0.019833313
2024-04-12,2024-04-30,MA2405,LONG,2513.0,2602.0,12,0.035415888,0.03441589
2024-08-14,2024-08-30,MA2409,LONG,2435.0,2470.0,12,0.01437366,0.01337366
2025-04-14,2025-04-30,MA2505,LONG,2376.0,2311.0,12,-0.027356923,-0.028356923
2025-08-12,2025-08-29,MA2509,SHORT,2391.0,2204.0,13,0.07820994,0.077209935
2026-04-14,2026-04-30,MA2605,LONG,3122.0,3206.0,12,0.026905775,0.025905775
