symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p
C,居民粮食消费价格指数CPI_(上年=100)_当月,level,5d,2520,-0.014392505399882793,-0.7222861051559448,0.4701859951019287,0.02549408863315329,1.2797010746578648,0.2007681811320355
C,居民粮食消费价格指数CPI_(上年=100)_当月,level,20d,2505,-0.027949823066592216,-1.3988758325576782,0.16197429597377777,0.054912917841184794,2.7514443095499432,0.005976047934628005
C,居民粮食消费价格指数CPI_(上年=100)_当月,level,H1,2467,0.06409221819264557,3.188655504783778,0.0014472810407912793,0.02661894170886922,1.3220660872675154,0.18626881073521226
C,居民粮食消费价格指数CPI_(上年=100)_当月,level,H2,2448,0.05567212514218811,2.757656028353078,0.005865005096145075,-0.0017896495192652742,-0.0885109312147474,0.9294778423822767
C,居民粮食消费价格指数CPI_(上年=100)_当月,level,H3,2411,0.0591745813106369,2.9094794741570897,0.0036534876069757197,0.04380876858098608,2.1522692307633213,0.03147521657415331
C,居民粮食消费价格指数CPI_(上年=100)_当月,diff,5d,2496,-0.02137712389230728,-1.0678167343139648,0.28570735454559326,-0.025625676639043006,-1.2801657633683587,0.20060589905504425
C,居民粮食消费价格指数CPI_(上年=100)_当月,diff,20d,2481,-0.053509488701820374,-2.6680362224578857,0.007679297588765621,-0.04739197346978087,-2.362279701300671,0.01823979733408386
C,居民粮食消费价格指数CPI_(上年=100)_当月,diff,H1,2443,-0.03480019638735588,-1.720397175380053,0.08548700695200598,0.02219719585596648,1.0969555301570775,0.27276903406167713
C,居民粮食消费价格指数CPI_(上年=100)_当月,diff,H2,2424,-0.03641487558935097,-1.7933044973649834,0.0730489687758046,0.010258793153098961,0.5049009607245438,0.613674334529852
C,居民粮食消费价格指数CPI_(上年=100)_当月,diff,H3,2387,-0.03297676000124243,-1.6113446598560077,0.10723694061843024,0.05064601182582457,2.4765502592628086,0.01333477881442058
C,居民粮食消费价格指数CPI_(上年=100)_当月,zscore,5d,2269,0.06476925455969668,3.0903489412330907,0.0020234998327916805,0.07187644274112741,3.431129218276057,0.0006118427919555728
C,居民粮食消费价格指数CPI_(上年=100)_当月,zscore,20d,2254,0.12241793204113097,5.853398116051346,5.520539237463085e-09,0.14613684489803325,7.010218358534009,3.132516921313225e-12
C,居民粮食消费价格指数CPI_(上年=100)_当月,zscore,H1,2216,0.1202359301445696,5.69882362627186,1.3671821161559821e-08,0.11246188415665279,5.325471772444072,1.1087359905739636e-07
