symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,spearman_first_half,spearman_second_half,temporal_consistent,horizon_consistent_5d_20d,horizon_sign_consistency_pct,horizon_consistent_sweep,mean_nw_t_stat,smoothness_index,priority,abs_mean_nw_t
C,居民鲜果消费价格指数CPI_(上年=100)_当月,zscore,20d,115,-0.2353993536636236,-2.5746812631406915,0.011325445813917468,-0.26172966148504695,-2.9343727440837037,0.003342225724347392,-0.3866995073891626,-0.16023255098588085,True,True,1.0,True,1.914850009622271,0.026524049024861218,1,1.914850009622271
M,PPIRM_农副产品类(全国:当期同比增长率:月),zscore,20d,111,-0.18525157611769755,-1.9681496864300998,0.05159038415952611,-0.1608108108108108,-1.6962537490925997,0.08983783538228507,-0.04992784992784994,-0.2460013670539987,True,True,1.0,True,1.6790565771296204,0.027335916687408562,1,1.6790565771296204
Y,社会融资规模_当月值,zscore,20d,16,0.5898553799649588,2.73314229413304,0.016171272354546587,0.5970588235294118,3.277533132004463,0.0010471844010342402,0.6666666666666669,0.4761904761904762,True,True,1.0,True,2.5231708156471147,0.06294416854258923,1,2.5231708156471147
P,制造业采购经理指数PMI_进口,level,20d,124,-0.11307298506668145,-1.2569934365691469,0.21115719783199832,-0.2401494948449923,-2.9155547759595466,0.003550567746502864,-0.16191090474279013,-0.19258896093875108,True,True,1.0,True,1.6710835519541238,0.022721160665392946,1,1.6710835519541238
V,非制造业PMI_建筑业_业务活动预期_全国_当期值_月,level,20d,97,0.22440018113616172,2.2444217244121845,0.02712621826724458,0.28702385957914395,3.074819385964229,0.0021063006515400495,0.18801936771734298,0.010564189346729994,True,True,1.0,True,2.7703944145033064,0.0228444775746719,1,2.7703944145033064
J,制造业采购经理指数PMI_原材料库存,diff,20d,123,0.1286206605310136,1.4266774385092065,0.1562481371101506,0.20967204807224862,2.5394713099955895,0.011102015054871295,0.17057202111615202,0.24959050012335324,True,True,1.0,True,1.9217666552958395,0.03290418597939862,1,1.9217666552958395
JD,制造业采购经理指数PMI_购进价格,diff,20d,124,0.17204289583297305,1.9290389088936906,0.05604854659445275,0.22966659297882167,2.71340554487629,0.006659555050859245,0.13801266883741156,0.3496480609319613,True,True,1.0,True,2.4139667067916,0.019064169881213643,1,2.4139667067916
I,PPI_石油加工、炼焦及核燃料加工业(全国:当期同比增长率:月),level,20d,124,-0.20353038358559816,-2.2961276614898862,0.023374892287391258,-0.18815913290342548,-2.0715130572003853,0.03831087551617296,-0.2798504174180861,-0.10768068500014702,True,True,1.0,True,2.087627147776053,0.018705289636154462,1,2.087627147776053
CU,PPI_全部工业品(全国:当期同比增长率:月),level,20d,124,-0.1584428509429854,-1.7724477843856992,0.07881623439684962,-0.1943135980944455,-2.267162917993675,0.023380275181847487,-0.20465797431265856,-0.17850307866837317,True,True,1.0,True,2.8094197718097678,0.030533899955188508,1,2.8094197718097678
AL,PPIRM_燃料及动力类(全国:当期同比增长率:月),level,20d,124,-0.16693716964777774,-1.8701237507775281,0.06386329619212501,-0.2583983232497544,-2.9256868658189505,0.003436966923992424,-0.42047343251811387,-0.11687379602641992,True,True,1.0,True,2.0247877956944444,0.029398083660631888,1,2.0247877956944444
AU,制造业采购经理指数PMI_购进价格,level,20d,124,-0.25871902977537525,-2.958369828303572,0.0037154238731723563,-0.24621776035746135,-2.891963295270491,0.0038284267071424516,-0.2372437433810413,-0.18444181443223634,True,True,1.0,True,2.246658192471771,0.028915507283819745,1,2.246658192471771
AG,制造业采购经理指数PMI_新出口订单,diff,20d,124,0.27059052248231014,3.104588109405341,0.0023691885071843483,0.28726129601238864,3.260967004046523,0.001110329600363169,0.2997077840100268,0.2813995818171929,True,True,1.0,True,2.836187494935286,0.02330307788458152,1,2.836187494935286
RB,非制造业PMI_建筑业_业务活动预期_全国_当期值_月,level,20d,97,0.22233081321514092,2.2226425977182824,0.028612036288335366,0.2836766617299038,3.1534040937574224,0.0016137824585611416,0.02970727733720006,0.026793233850402158,True,True,1.0,True,3.0833413003702383,0.03774981492942949,1,3.0833413003702383
RU,PMI_生产经营活动预期_全国_当期值_月,level,20d,99,-0.09623456629991188,-0.9522201143060577,0.3433521311297466,-0.2305422509645607,-2.1071056125201255,0.035108425948372046,-0.08767140022712593,-0.3565404944914635,True,True,1.0,True,2.5947442583782525,0.024292650398980344,1,2.5947442583782525
NI,社会融资规模_当月值,diff,20d,28,0.41492767669062053,2.325343843969708,0.028124552625771713,0.4893267651888341,2.743075183877777,0.006086674770831024,0.665934065934066,0.3318681318681319,True,True,1.0,True,2.2079745431986364,0.0567320401795427,1,2.2079745431986364
SN,PPI_通信设备、计算机及其他电子设备制造业工业品出厂价格指数PPI_(上年=100)_当月,diff,20d,83,0.17024640660019622,1.5549170810335275,0.12386457886420085,0.2630575165481921,2.3678349745075358,0.017892514732471776,0.2808768861325815,0.2560359955873098,True,True,1.0,True,1.7007929952592122,0.029297100954677528,1,1.7007929952592122
SC,国内生产总值GDP_累计同比,level,20d,33,0.059181429286169554,0.3300868148514884,0.7435547364434915,0.1769971770009967,1.0911067428361882,0.2752259161898696,0.19307342686736503,0.2700421235730975,True,True,1.0,True,1.351953716863442,0.047480489743016024,1,1.351953716863442
CF,PPI_皮革、毛皮、羽毛及其制品和制鞋业(全国:当期同比增长率:月),level,20d,42,-0.4191063736013866,-2.919432780449058,0.005734184569171411,-0.39751866801697305,-2.9330315828709073,0.0033566974402901018,-0.054125037895249216,-0.3154475714822923,True,True,1.0,True,2.460983887485106,0.03926173787492533,1,2.460983887485106
SR,制造业采购经理指数PMI_购进价格,diff,20d,124,0.17717136923340412,1.9883778386346398,0.04900845184577923,0.22674276820969708,2.5571712516788625,0.010552725178674116,0.22006472633235447,0.22861603984012852,True,False,0.9523809523809523,True,2.2712996861763877,0.024308283588822414,1,2.2712996861763877
TA,制造业采购经理指数PMI_原材料库存,diff,20d,123,0.25869080710597603,2.9458759705613247,0.0038637891691774688,0.1277904856186199,1.3476165013126413,0.17778176042007843,0.21709166323873894,0.04194713586559537,True,True,1.0,True,1.3887867142230381,0.026803469923385687,1,1.3887867142230381
MA,制造业采购经理指数PMI_原材料库存,diff,20d,123,0.2647949792463755,3.0205646313387318,0.0030788465640410726,0.1782399581223671,1.984067054555916,0.04724836525626275,0.22002891026695692,0.1282866432812589,True,True,1.0,True,1.7079757971320402,0.018954848917103986,1,1.7079757971320402
SA,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,20d,23,0.2822098938573068,1.3480425077955744,0.1920072001483315,0.49975314832321155,3.134102856933628,0.0017238042037024393,0.059361349447039004,0.25919479328518813,True,True,1.0,True,3.0127410614978123,0.050000410092059584,1,3.0127410614978123
TF,国内生产总值GDP(现价)_全国_当期同比增长率_季,level,20d,15,-0.6074946525884637,-2.7575067120390724,0.016302304343195812,-0.5499999999999999,-3.0402620122403885,0.002363724171433379,-0.14285714285714288,-0.7142857142857144,True,True,1.0,True,2.79041569896147,0.05415868596362102,1,2.79041569896147
