symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,abs_spearman_t
TF,贷款加权平均利率_非金融企业及其他部门_票据融资_人民币,level,H4,2316,0.861002047003835,81.43446238954516,0.0,0.837622737682095,73.76313219827618,0.0,73.76313219827618
SN,PPI_电气机械及器材制造业(全国:当期同比增长率:月),level,H4,2122,-0.724276460243887,-48.36508201323327,0.0,-0.7788145094117449,-57.16869985005188,0.0,57.16869985005188
MA,PPI_化学纤维制造业(全国:当期同比增长率:月),level,H4,2248,-0.725719787421481,-49.99095835867643,0.0,-0.7622568037558662,-55.81070890025647,0.0,55.81070890025647
AL,PPI_电气机械及器材制造业(全国:当期同比增长率:月),level,H4,2118,-0.737768229947786,-50.27350925224412,0.0,-0.760216040098162,-53.827202493939694,0.0,53.827202493939694
CU,PPI_电气机械及器材制造业(全国:当期同比增长率:月),level,H4,2122,-0.7305111273174013,-49.25350587750598,0.0,-0.7364716972355022,-50.127553003289776,0.0,50.127553003289776
RB,PPI_非金属矿物制品业(全国:当期同比增长率:月),level,H4,2243,-0.004099176033069554,-0.19405335064133386,0.8461516957978175,0.6132941165222259,36.75721189316115,6.948285678655362e-232,36.75721189316115
J,PPIRM_黑色金属材料类(全国:当期同比增长率:月),level,H4,2252,0.18097823953475245,8.72868759910648,4.9221819657882876e-18,0.5831357941853225,34.049016522158325,2.579457012315039e-205,34.049016522158325
RU,制造业采购经理指数PMI_新出口订单,level,H4,2225,-0.4350860073424226,-22.78319968789526,1.9372947996650055e-103,-0.5722513903480315,-32.90040854148324,9.34888826218307e-194,32.90040854148324
CF,PPI_皮革、毛皮、羽毛及其制品和制鞋业(全国:当期同比增长率:月),diff,H4,1896,-0.6347999516205196,-35.75437172463358,2.127655368809275e-214,-0.5942634176225308,-32.156358354660775,2.0913059530738214e-181,32.156358354660775
NI,国内生产总值GDP_累计同比,level,H4,2428,0.1497439314341578,7.4596627955963335,1.2012284117322975e-13,0.5341597004750984,31.121656472487246,3.265000208078796e-179,31.121656472487246
I,GDP增长贡献率_第二产业_累计同比_季,diff,H4,2168,,,,-0.5320409661234683,-29.243893428753463,9.78397859090458e-159,29.243893428753463
TA,制造业采购经理指数PMI_生产,level,H4,2231,0.1788359631614273,8.581599523174306,1.7242972015392375e-17,0.5253485474123771,29.1494668923322,1.5540467522455902e-158,29.1494668923322
AG,制造业采购经理指数PMI_购进价格,level,H4,2374,-0.35741219595534685,-18.638227025678294,1.8364484809903866e-72,-0.5036397598950157,-28.39271722087536,6.598628280103894e-153,28.39271722087536
C,居民食品消费价格指数CPI_(上年=100)_当月,level,H4,2370,0.43849742325222774,23.74255614919597,5.872279261578922e-112,0.5012503976537696,28.188874120400502,5.340360040063427e-151,28.188874120400502
SA,非制造业PMI_建筑业_新订单_全国_当期值_月,level,H4,1286,0.39712072685433275,15.505041114032965,7.851244128320365e-50,0.6102721316523058,27.604232749167178,4.5674797113787966e-132,27.604232749167178
M,制造业采购经理指数PMI_新订单,level,H4,2223,,,,0.4883586047525607,26.374029944947637,1.3721721904056459e-133,26.374029944947637
V,非制造业PMI_建筑业_全国_当期值_月,level,H4,1915,0.27742837630550865,12.629891928370236,3.5131632207934716e-35,0.5095996304720547,25.90480363749259,4.428691526132811e-127,25.90480363749259
SR,居民食品消费价格指数CPI_(上年=100)_当月,zscore,H4,1892,0.46178068184889914,22.633197482618662,1.4743158214307417e-100,0.4974685813621823,24.930792841899162,7.559232939853496e-119,24.930792841899162
AU,CPI_翘尾因素_当月,level,H4,1416,-0.38654518647916125,-15.760379515204912,1.1151928228552968e-51,-0.5015087511685534,-21.797692280458634,4.726441377239596e-91,21.797692280458634
SC,PPIRM_化工原料类(全国:当期同比增长率:月),zscore,H4,1650,0.3954521258742708,17.47832048095518,6.900816656232707e-63,0.469214791113332,21.569905660902478,4.2902066225600565e-91,21.569905660902478
Y,制造业采购经理指数PMI_新订单,level,H4,2225,-0.01078464971070656,-0.5085117969402287,0.6111449275243518,0.41289176691931656,21.374325655675815,2.4429997933856956e-92,21.374325655675815
P,居民食品消费价格指数CPI_(上年=100)_当月,level,H4,2246,-0.010980062107854422,-0.5201665300256753,0.6029988226698975,-0.3906865997529377,-20.105040030117447,8.472743758865349e-83,20.105040030117447
JD,PPI_食品制造业(全国:当期同比增长率:月),zscore,H4,2210,-0.32243134845446686,-16.005659510947527,1.2250864593574832e-54,-0.30549558314956815,-15.075761584370275,5.864895523988823e-49,15.075761584370275
