symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,spearman_first_half,spearman_second_half,temporal_consistent,horizon_consistent_5d_20d,horizon_sign_consistency_pct,horizon_consistent_sweep,mean_nw_t_stat,smoothness_index,abs_spearman_t
V,非制造业PMI_建筑业_业务活动预期_全国_当期值_月,level,H1,95,0.35119941123543674,3.617261550806032,0.00048373516320486136,0.43569354207478866,4.668036180311382,1.019632166826263e-05,0.22537821932325952,0.22460503569290124,True,True,1.0,True,2.496123016740536,0.022282157348876584,4.668036180311382
AG,PPI_全部工业品(全国:当期同比增长率:月),level,H1,123,-0.3052948080885053,-3.5266107435223666,0.0005954736898329178,-0.36137759566347655,-4.263267019039121,4.014950624001096e-05,-0.3434512053149007,-0.209493146609485,True,True,1.0,True,2.8156583627672593,0.020469510995076306,4.263267019039121
RU,制造业采购经理指数PMI_新订单,level,H1,116,-0.10106139895328191,-1.084593376250496,0.28039017775137753,-0.3256346248085079,-3.677252497614156,0.00036117075495406835,-0.3531296530827002,-0.30203897100471505,True,True,1.0,True,1.6403137145970994,0.018703609590334867,3.677252497614156
I,PPI_黑色金属矿采选业(全国:当期同比增长率:月),level,H1,121,-0.003915290525213849,-0.0427111045559098,0.9660034101065536,-0.31802408589382547,-3.6592097295295427,0.0003784064359247253,0.1398502300560378,-0.46419080645209204,False,True,0.9523809523809523,True,0.9226491621692675,0.0399838666960536,3.6592097295295427
TF,居民消费价格指数CPI_当月同比(上年同月=100),zscore,H1,110,0.35795711939054875,3.983986304316508,0.00012332134959861698,0.32983039844528966,3.630881429130677,0.0004335415250084839,0.4854705172239474,0.1326142246648756,True,True,1.0,True,1.9343716392117225,0.03615613459753058,3.630881429130677
RB,制造业采购经理指数PMI_生产,level,H1,116,0.011959741959074685,0.1277042342126374,0.8986080366213065,0.31869363237143666,3.589902333067156,0.0004891368263076931,0.20084033731842935,0.2055727420392042,True,True,1.0,True,1.5828875480916653,0.025600426296096098,3.589902333067156
TA,制造业采购经理指数PMI_原材料库存,zscore,H1,108,0.3773018655235805,4.194580513812095,5.691947685302309e-05,0.32775062638734076,3.571683787116777,0.0005349663227595399,0.4204688393367638,0.15822374690299215,True,True,1.0,True,0.6056017460666074,0.02454081667925228,3.571683787116777
Y,居民食品消费价格指数CPI_(上年=100)_当月,zscore,H1,112,-0.23819816262104143,-2.5722825066631603,0.011435991335119404,-0.31609833600984044,-3.4944397105928275,0.0006857043352616631,-0.28503075871496925,-0.3564593301435407,True,True,1.0,True,1.622897686992898,0.025584187820657564,3.4944397105928275
P,PPI_食品制造业(全国:当期同比增长率:月),zscore,H1,107,0.02356303226979804,0.2415162877870711,0.8096260215879851,0.31057698666061,3.3480332662600345,0.0011307096915499633,0.3889695210449927,0.16577407615124612,True,True,1.0,True,2.0434614237352826,0.03473188226092993,3.3480332662600345
M,居民粮食消费价格指数CPI_(上年=100)_当月,level,H1,130,0.4181210534841978,5.207557170969089,7.422760715619132e-07,0.27231889607797777,3.201947636331873,0.0017221607665205028,0.4347046934532635,0.05832033815194434,True,True,1.0,True,0.7748482762718031,0.014405479578929915,3.201947636331873
