entry_date,exit_date,contract,direction,p_entry,p_exit,hold_days,raw_return,net_return
2017-03-10,2017-04-18,C1705,SHORT,1587.0,1607.0,25,-0.012602448,-0.013602449
2017-08-03,2017-08-31,C1709,SHORT,1652.0,1636.0,20,0.009685218,0.008685218
2017-12-06,2017-12-29,C1801,LONG,1722.0,1740.0,17,0.010452986,0.009452986
2018-03-16,2018-04-24,C1805,SHORT,1823.0,1761.0,25,0.034009874,0.033009876
2018-07-10,2018-08-14,C1809,LONG,1776.0,1824.0,25,0.02702701,0.02602701
2018-11-16,2018-12-21,C1901,SHORT,1887.0,1857.0,25,0.015898228,0.0148982275
2019-03-27,2019-04-30,C1905,LONG,1815.0,1859.0,23,0.024242401,0.023242401
2019-08-02,2019-08-30,C1909,SHORT,1926.0,1824.0,20,0.0529595,0.051959503
2019-11-29,2019-12-31,C2001,LONG,1830.0,1816.0,22,-0.007650256,-0.008650256
2020-03-12,2020-04-17,C2005,LONG,1953.0,2023.0,25,0.0358423,0.0348423
2020-07-27,2020-08-31,C2009,LONG,2340.0,2219.0,25,-0.051709414,-0.05270941
2020-11-24,2020-12-29,C2101,SHORT,2570.0,2638.0,25,-0.026459098,-0.027459098
2021-04-12,2021-04-30,C2105,SHORT,2674.0,2812.0,14,-0.051608086,-0.052608084
2021-08-13,2021-08-31,C2109,SHORT,2631.0,2517.0,12,0.043329537,0.04232954
2021-12-03,2021-12-31,C2201,LONG,2661.0,2600.0,20,-0.022923708,-0.023923708
2022-04-07,2022-04-29,C2205,SHORT,2866.0,2943.0,16,-0.026866674,-0.027866675
2022-08-10,2022-08-31,C2209,SHORT,2722.0,2751.0,15,-0.010653973,-0.011653973
2022-11-30,2022-12-30,C2301,SHORT,2908.0,2794.0,22,0.039202213,0.038202215
2023-02-06,2023-02-28,C2303,LONG,2788.0,2819.0,16,0.011119127,0.010119127
2023-03-23,2023-04-28,C2305,LONG,2776.0,2616.0,25,-0.057636917,-0.058636915
2023-06-12,2023-06-30,C2307,LONG,2621.0,2807.0,12,0.07096529,0.06996529
2023-08-10,2023-08-31,C2309,LONG,2814.0,2820.0,15,0.0021321774,0.0011321773
2023-09-21,2023-10-31,C2311,LONG,2653.0,2519.0,22,-0.050508857,-0.051508855
2023-12-13,2023-12-29,C2401,LONG,2456.0,2392.0,12,-0.026058614,-0.027058614
2024-04-18,2024-04-30,C2405,LONG,2378.0,2372.0,8,-0.0025231242,-0.0035231244
2024-05-31,2024-06-28,C2407,LONG,2434.0,2470.0,19,0.014790416,0.013790416
2024-08-14,2024-08-30,C2409,LONG,2286.0,2335.0,12,0.021434784,0.020434784
2024-09-30,2024-10-31,C2411,SHORT,2225.0,2206.0,18,0.008539319,0.007539319
2024-12-12,2024-12-31,C2501,SHORT,2115.0,2094.0,13,0.009929061,0.008929061
2025-04-09,2025-04-30,C2505,SHORT,2268.0,2336.0,15,-0.029982328,-0.030982329
2025-06-17,2025-06-30,C2507,SHORT,2364.0,2352.0,9,0.00507617,0.00407617
2025-08-14,2025-08-29,C2509,SHORT,2281.0,2238.0,11,0.0188514,0.0178514
2025-10-15,2025-10-31,C2511,LONG,2101.0,2105.0,12,0.0019038916,0.0009038915
2025-12-11,2025-12-31,C2601,LONG,2243.0,2285.0,14,0.018724918,0.017724918
2026-02-04,2026-02-27,C2603,SHORT,2263.0,2351.0,11,-0.038886428,-0.039886426
2026-04-15,2026-04-30,C2605,SHORT,2368.0,2405.0,11,-0.015625,-0.016625
