symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,spearman_first_half,spearman_second_half,temporal_consistent,horizon_consistent_5d_20d,horizon_sign_consistency_pct,horizon_consistent_sweep,mean_nw_t_stat,smoothness_index,abs_spearman_t
AG,PPI_全部工业品(全国:当期同比增长率:月),level,20d,124,-0.25271195256652795,-2.8849352490755815,0.0046302007242104365,-0.29337950597263296,-3.7263735504110156,0.00019425445428100652,-0.2477611001187835,-0.27563012443823204,True,True,1.0,True,2.7995107286103385,0.022185593839429953,3.7263735504110156
AG,制造业采购经理指数PMI_购进价格,level,20d,124,-0.19847927815088537,-2.2367757466708627,0.027117548893577252,-0.2718995392269378,-3.490373904368716,0.00048234517653589215,-0.20556087404204446,-0.2489360097846336,True,True,1.0,True,2.408633822196609,0.026529781480014288,3.490373904368716
AG,制造业采购经理指数PMI_新出口订单,diff,20d,124,0.27059052248231014,3.104588109405341,0.0023691885071843483,0.28726129601238864,3.260967004046523,0.001110329600363169,0.2997077840100268,0.2813995818171929,True,True,1.0,True,2.836187494935286,0.02330307788458152,3.260967004046523
AL,PPIRM_燃料及动力类(全国:当期同比增长率:月),level,20d,124,-0.16693716964777774,-1.8701237507775281,0.06386329619212501,-0.2583983232497544,-2.9256868658189505,0.003436966923992424,-0.42047343251811387,-0.11687379602641992,True,True,1.0,True,2.0247877956944444,0.029398083660631888,2.9256868658189505
AL,PPI_电气机械及器材制造业(全国:当期同比增长率:月),zscore,20d,33,0.19281601323637618,1.094084704718393,0.2823465158362484,0.31885026737967914,2.22627481060496,0.025995779646347916,-0.5264705882352941,0.06617647058823531,False,False,0.9047619047619048,True,1.4641008115619152,0.06100564900436301,2.22627481060496
AL,PPI_交通运输设备制造业(全国:当期同比增长率:月),level,20d,124,-0.16478238494419498,-1.845306365619475,0.06741781756333408,-0.18187078268832246,-2.163454900180433,0.030506208929459433,-0.2394483869174987,-0.120178458948264,True,False,0.9523809523809523,True,1.2787377890721747,0.026803401797224388,2.163454900180433
AU,制造业采购经理指数PMI_购进价格,level,20d,124,-0.25871902977537525,-2.958369828303572,0.0037154238731723563,-0.24621776035746135,-2.891963295270491,0.0038284267071424516,-0.2372437433810413,-0.18444181443223634,True,True,1.0,True,2.246658192471771,0.028915507283819745,2.891963295270491
AU,PPI_全部工业品(全国:当期同比增长率:月),level,20d,124,-0.2321450212474381,-2.636141837210683,0.009475038335965613,-0.21888491472183275,-2.581020965071691,0.00985085992451662,-0.1401166485877655,-0.17300912537884822,True,True,1.0,True,1.808727778270951,0.029284383299733676,2.581020965071691
AU,社会融资规模_当月值,zscore,20d,16,-0.5189766014951896,-2.2717113737933543,0.03940514137785656,-0.4088235294117647,-2.157889980786695,0.030936386665345372,-0.5000000000000001,-0.4761904761904762,True,False,0.8095238095238095,False,1.2476855623972496,0.06493136496256317,2.157889980786695
C,居民鲜果消费价格指数CPI_(上年=100)_当月,zscore,20d,115,-0.2353993536636236,-2.5746812631406915,0.011325445813917468,-0.26172966148504695,-2.9343727440837037,0.003342225724347392,-0.3866995073891626,-0.16023255098588085,True,True,1.0,True,1.914850009622271,0.026524049024861218,2.9343727440837037
C,居民鲜果消费价格指数CPI_(上年=100)_当月,level,20d,129,-0.23005655653713683,-2.6640631963335313,0.00872142251512851,-0.2127074951405264,-2.5908278648402114,0.009574536952044799,-0.3746007763464487,-0.021026633369451344,True,True,1.0,True,1.908490618316389,0.023692431765215557,2.5908278648402114
C,PPIRM_农副产品类(全国:当期同比增长率:月),diff,20d,123,-0.19523047650632006,-2.1896702080589594,0.030466563599280908,-0.1913655115237962,-2.108243243676065,0.03500995451085753,-0.2624611662328074,-0.18261735377559823,True,True,1.0,True,1.4421768176562448,0.036853476903724064,2.108243243676065
CF,PPI_皮革、毛皮、羽毛及其制品和制鞋业(全国:当期同比增长率:月),level,20d,42,-0.4191063736013866,-2.919432780449058,0.005734184569171411,-0.39751866801697305,-2.9330315828709073,0.0033566974402901018,-0.054125037895249216,-0.3154475714822923,True,True,1.0,True,2.460983887485106,0.03926173787492533,2.9330315828709073
CF,PPI_纺织业(全国:当期同比增长率:月),level,20d,124,-0.163785256108612,-1.8338313114236833,0.06911624387666866,-0.21430988822287947,-2.4356591253460698,0.01486468499371707,-0.23880486531129466,-0.13680618333762978,True,True,1.0,True,1.8101004956562126,0.03396501391831846,2.4356591253460698
CF,PPIRM_纺织原料类(全国:当期同比增长率:月),level,20d,124,-0.16183198738671162,-1.8113696091117528,0.0725438450989087,-0.20523038373995411,-2.420481694299665,0.015499959678859865,-0.1919351234205037,-0.19331923992024955,True,True,1.0,True,1.886113235591249,0.03418793079907027,2.420481694299665
CU,PPI_全部工业品(全国:当期同比增长率:月),level,20d,124,-0.1584428509429854,-1.7724477843856992,0.07881623439684962,-0.1943135980944455,-2.267162917993675,0.023380275181847487,-0.20465797431265856,-0.17850307866837317,True,True,1.0,True,2.8094197718097678,0.030533899955188508,2.267162917993675
CU,PPI_通用设备制造业(全国:当期同比增长率:月),level,20d,124,-0.19100622202037798,-2.1493038867779277,0.033584969627904526,-0.19329468260415697,-2.1824941108418443,0.029073085426453815,-0.2816810674051458,-0.13593977127253737,True,True,1.0,True,2.3725536661834976,0.031248428524854644,2.1824941108418443
CU,制造业采购经理指数PMI_进口,diff,20d,124,0.31521893741180596,3.668743241340989,0.0003625599388160675,0.18333092630647949,2.1353416556453304,0.032733112685797705,0.2706543790544011,0.12293895682264797,True,True,1.0,True,1.5688877332712614,0.029124205885306523,2.1353416556453304
I,PPI_石油加工、炼焦及核燃料加工业(全国:当期同比增长率:月),zscore,20d,111,-0.26211802270075935,-2.8357418756974244,0.005451160897645754,-0.24435766935766934,-2.5994383776689634,0.009337644189017169,-0.3497113997113998,-0.12023239917976761,True,True,1.0,True,1.861962595152416,0.024408795553357485,2.5994383776689634
I,PPI_金属制品业(全国:当期同比增长率:月),zscore,20d,111,-0.19744436275849456,-2.1027746897650603,0.03778752309862289,-0.20401895401895398,-2.175679179637602,0.029579258091638305,-0.32373737373737377,-0.07833219412166782,True,True,0.9523809523809523,True,1.3756916288166692,0.032692456507752626,2.175679179637602
I,PPI_石油加工、炼焦及核燃料加工业(全国:当期同比增长率:月),level,20d,124,-0.20353038358559816,-2.2961276614898862,0.023374892287391258,-0.18815913290342548,-2.0715130572003853,0.03831087551617296,-0.2798504174180861,-0.10768068500014702,True,True,1.0,True,2.087627147776053,0.018705289636154462,2.0715130572003853
J,社会融资规模_当月值,zscore,20d,16,0.43785862264354325,1.8222881649882816,0.08983768185345627,0.611764705882353,2.8007626731388484,0.005098199739957288,0.4761904761904762,0.8333333333333335,True,True,1.0,True,1.8884051418448482,0.11396160358850886,2.8007626731388484
J,制造业采购经理指数PMI_原材料库存,diff,20d,123,0.1286206605310136,1.4266774385092065,0.1562481371101506,0.20967204807224862,2.5394713099955895,0.011102015054871295,0.17057202111615202,0.24959050012335324,True,True,1.0,True,1.9217666552958395,0.03290418597939862,2.5394713099955895
J,社会融资规模_当月值,diff,20d,28,0.3448600835647626,1.8733719825503587,0.07230035984750935,0.40448823207443896,2.336552006562448,0.019462490440119717,-0.002197802197802198,0.7494505494505495,False,True,1.0,True,2.155625805114908,0.05691560794660644,2.336552006562448
JD,制造业采购经理指数PMI_购进价格,diff,20d,124,0.17204289583297305,1.9290389088936906,0.05604854659445275,0.22966659297882167,2.71340554487629,0.006659555050859245,0.13801266883741156,0.3496480609319613,True,True,1.0,True,2.4139667067916,0.019064169881213643,2.71340554487629
JD,居民鲜菜消费价格指数CPI_(上年=100)_当月,zscore,20d,116,0.2060495556854849,2.2482511979332673,0.026482828268413545,0.19298812132395343,2.2550770902846864,0.02412849037059317,0.18201113537789537,0.20139038420129812,True,True,1.0,True,1.424340077431067,0.030142257266288826,2.2550770902846864
JD,居民鲜菜消费价格指数CPI_(上年=100)_当月,level,20d,130,0.2143220554868795,2.4824621076824296,0.014342495354066658,0.15222969516013407,1.879833492546724,0.06013077429777525,0.06973567756186268,0.1925493681200925,True,True,1.0,True,1.1403782145970052,0.024542067371625155,1.879833492546724
M,制造业采购经理指数PMI_购进价格,diff,20d,124,0.07786968035397789,0.8627183359862935,0.38998508127867404,0.16424719400032564,1.800823899048958,0.07173064073803759,0.2442673129660684,0.0478486974770042,True,True,1.0,True,1.4798319668189517,0.02425705226837654,1.800823899048958
M,PPIRM_农副产品类(全国:当期同比增长率:月),zscore,20d,111,-0.18525157611769755,-1.9681496864300998,0.05159038415952611,-0.1608108108108108,-1.6962537490925997,0.08983783538228507,-0.04992784992784994,-0.2460013670539987,True,True,1.0,True,1.6790565771296204,0.027335916687408562,1.6962537490925997
M,PPI_农副食品加工业(全国:当期同比增长率:月),zscore,20d,111,-0.21425073599566555,-2.290020617103806,0.02394520234942471,-0.14734117234117233,-1.5852197070486125,0.11291642448281225,-0.07821067821067823,-0.21059466848940533,True,True,1.0,True,1.2949276742688898,0.030078332617583577,1.5852197070486125
MA,制造业采购经理指数PMI_原材料库存,diff,20d,123,0.2647949792463755,3.0205646313387318,0.0030788465640410726,0.1782399581223671,1.984067054555916,0.04724836525626275,0.22002891026695692,0.1282866432812589,True,True,1.0,True,1.7079757971320402,0.018954848917103986,1.984067054555916
MA,制造业采购经理指数PMI_原材料库存,level,20d,123,0.2923977601076798,3.363365218846752,0.0010315940285847564,0.164834980873244,1.8584685222222634,0.06310250945518114,0.31322530458479914,-0.04967497150316544,False,True,1.0,True,1.5731467804645198,0.01831495252541053,1.8584685222222634
MA,制造业采购经理指数PMI_原材料库存,zscore,20d,110,0.28104817676234384,3.043406921235161,0.0029377621917389195,0.15020174469715752,1.6170942079196367,0.10585794695289197,0.23080808080808085,0.02294372294372295,True,True,1.0,True,1.1066005176847387,0.021993219833793112,1.6170942079196367
NI,PPI_电气机械及器材制造业(全国:当期同比增长率:月),zscore,20d,33,0.28319100594854457,1.6440420700384664,0.1102726889134656,0.4375,3.7156933688029294,0.0002026472175067351,-0.14411764705882352,0.22549019607843138,False,False,0.9047619047619048,True,1.8789874675510219,0.06593196742621235,3.7156933688029294
NI,社会融资规模_当月值,diff,20d,28,0.41492767669062053,2.325343843969708,0.028124552625771713,0.4893267651888341,2.743075183877777,0.006086674770831024,0.665934065934066,0.3318681318681319,True,True,1.0,True,2.2079745431986364,0.0567320401795427,2.743075183877777
NI,制造业采购经理指数PMI_新订单,diff,20d,124,0.17900235384924992,2.009603438668,0.04667966147284968,0.22193013647639936,2.5035025518824403,0.012297079358774887,0.3393431550587057,0.1133644127863328,True,True,1.0,True,2.163005661758888,0.033596100152893466,2.5035025518824403
P,制造业采购经理指数PMI_进口,level,20d,124,-0.11307298506668145,-1.2569934365691469,0.21115719783199832,-0.2401494948449923,-2.9155547759595466,0.003550567746502864,-0.16191090474279013,-0.19258896093875108,True,True,1.0,True,1.6710835519541238,0.022721160665392946,2.9155547759595466
P,制造业采购经理指数PMI_新订单,level,20d,124,-0.10524883717389295,-1.1690041490399037,0.2446809957242952,-0.22886075239053152,-2.5939507487107814,0.009488007747278981,-0.25227457987764174,-0.08015220554960878,True,False,0.9523809523809523,True,1.3431234072133054,0.023160463806316228,2.5939507487107814
P,制造业采购经理指数PMI_新订单,zscore,20d,111,-0.09406974080427145,-0.9864914148505195,0.32607676988746015,-0.1509126009126009,-1.60139341068111,0.10928981127248893,-0.08665223665223667,-0.2332194121667806,True,True,1.0,True,1.0173332465757912,0.025761657304679702,1.60139341068111
RB,非制造业PMI_建筑业_新订单_全国_当期值_月,level,20d,98,0.21291069612671912,2.135043255522335,0.03530322604461826,0.27958833894312346,3.4404632598385767,0.0005807192735849398,-0.1112642341208588,0.07713907920878443,False,True,1.0,True,3.2214194842577974,0.03552310266026733,3.4404632598385767
RB,非制造业PMI_建筑业_业务活动预期_全国_当期值_月,level,20d,97,0.22233081321514092,2.2226425977182824,0.028612036288335366,0.2836766617299038,3.1534040937574224,0.0016137824585611416,0.02970727733720006,0.026793233850402158,True,True,1.0,True,3.0833413003702383,0.03774981492942949,3.1534040937574224
RB,社会融资规模_当月值,zscore,20d,16,0.42038511760175495,1.7335586127169091,0.10495286994289552,0.5558823529411765,2.6890405642152557,0.007165771100452023,0.5714285714285715,0.5952380952380953,True,True,1.0,True,2.239397680967463,0.1261090244154773,2.6890405642152557
RU,PPI_化学原料及化学制品制造业(全国:当期同比增长率:月),level,20d,124,-0.20354405328542755,-2.296288541237625,0.023365397402775642,-0.2586419080476653,-3.108567123512894,0.0018799693638134052,-0.3528448803462581,-0.2046341793922568,True,True,1.0,True,2.5060804093513034,0.032938532010303785,3.108567123512894
RU,PPI_橡胶和塑料制品业(全国:当期同比增长率:月),level,20d,124,-0.25352024323374056,-2.894795339967722,0.004496395577735601,-0.26007139793084655,-3.027218047812497,0.00246815848853732,-0.36207443024094593,-0.22003074130477487,True,True,1.0,True,2.495872055928675,0.030676509337408217,3.027218047812497
RU,PPI_交通运输设备制造业(全国:当期同比增长率:月),level,20d,124,-0.2511784768240695,-2.8662465567899713,0.004893875691895099,-0.24405420863337263,-2.8260137186362893,0.004713124547382375,-0.35712838567343214,-0.16398984171478778,True,True,1.0,True,2.3740809012622046,0.022354406355218282,2.8260137186362893
SA,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,20d,23,0.2822098938573068,1.3480425077955744,0.1920072001483315,0.49975314832321155,3.134102856933628,0.0017238042037024393,0.059361349447039004,0.25919479328518813,True,True,1.0,True,3.0127410614978123,0.050000410092059584,3.134102856933628
SA,社会融资规模_当月值,zscore,20d,16,0.41495304323009297,1.706461897978249,0.1099959751370944,0.6088235294117647,3.1196625145337697,0.001810583525613918,0.5714285714285715,0.7380952380952381,True,True,1.0,True,2.46162243828923,0.09848160494661232,3.1196625145337697
SA,PPIRM_建筑材料类(全国:当期同比增长率:月),diff,20d,77,-0.2791358048626785,-2.5174515649423954,0.013954924870891781,-0.2905318852603801,-2.5536440232328297,0.010660218112772624,-0.2280586575266565,-0.27857985305881544,True,True,1.0,True,2.0362332330532653,0.03283159618397361,2.5536440232328297
SC,CPI-PPI_差值_当月,level,20d,77,-0.1661240659478665,-1.4589489124493964,0.14875473709189735,-0.21149675697846312,-1.7363987986103726,0.08249334455006152,-0.31890561305207604,0.1605608382998208,False,True,1.0,True,1.5655845983214471,0.03854882763414711,1.7363987986103726
SC,PPI_翘尾因素_当月,level,20d,30,0.25861578915784195,1.4166605417675702,0.1676126401570579,0.2767622596193173,1.595081193186924,0.11069408048132856,0.048257391923802746,0.1065283498216615,True,False,0.6666666666666666,False,1.2059792813541304,0.04991359513676421,1.595081193186924
SC,制造业采购经理指数PMI_进口,zscore,20d,85,0.07684308960733087,0.7021499820375658,0.48455007066240097,-0.1678327144811413,-1.423394566355636,0.15462180675799986,-0.1258406936228831,-0.1849894291754757,True,False,0.8095238095238095,False,0.8453112412861414,0.04384176584881318,1.423394566355636
SN,PPI_电气机械及器材制造业(全国:当期同比增长率:月),zscore,20d,33,0.3721091602152405,2.2321059370945657,0.03297164498764035,0.6066176470588236,5.181233569786083,2.2042326763838105e-07,-0.5441176470588236,0.590686274509804,False,True,1.0,True,3.1886647273044195,0.05075830537089132,5.181233569786083
SN,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,20d,41,0.2580216543915841,1.6678184940886038,0.10336293728356917,0.4108957077635119,3.0535622402471363,0.002261418060442111,-0.34537255826713537,0.6245945534665277,False,True,1.0,True,2.498004120121547,0.045206921700416666,3.0535622402471363
SN,PPI_通信设备、计算机及其他电子设备制造业工业品出厂价格指数PPI_(上年=100)_当月,diff,20d,83,0.17024640660019622,1.5549170810335275,0.12386457886420085,0.2630575165481921,2.3678349745075358,0.017892514732471776,0.2808768861325815,0.2560359955873098,True,True,1.0,True,1.7007929952592122,0.029297100954677528,2.3678349745075358
SR,制造业采购经理指数PMI_购进价格,diff,20d,124,0.17717136923340412,1.9883778386346398,0.04900845184577923,0.22674276820969708,2.5571712516788625,0.010552725178674116,0.22006472633235447,0.22861603984012852,True,False,0.9523809523809523,True,2.2712996861763877,0.024308283588822414,2.5571712516788625
SR,PPI_食品制造业(全国:当期同比增长率:月),diff,20d,123,-0.25353268108530286,-2.883058165978913,0.004662262136686328,-0.19952220181256708,-2.276649381753386,0.02280717148678435,-0.11252866104512825,-0.26999382475001904,True,True,1.0,True,2.139074864057192,0.03325546782775773,2.276649381753386
SR,PPI_食品制造业(全国:当期同比增长率:月),zscore,20d,111,-0.2591955411489065,-2.8018339463875472,0.00601444217073953,-0.21816913427819754,-2.2444943546650964,0.024800611743510892,-0.05627705627705629,-0.365624839849006,True,True,1.0,True,2.118585411522956,0.03705668540831172,2.2444943546650964
TA,PPIRM_纺织原料类(全国:当期同比增长率:月),zscore,20d,111,0.10434166506917936,1.0953378546979504,0.2757830056559795,0.14319059319059319,1.6359983786578205,0.10183992672558051,0.1526695526695527,0.12747778537252222,True,True,0.9523809523809523,True,1.2355064707636576,0.029757932096637574,1.6359983786578205
TA,社会融资规模_当月值,diff,20d,28,0.4499582866008659,2.569113912990802,0.01628340439104994,0.3130815544608648,1.633250097421654,0.10241640748479908,-0.0989010989010989,0.7758241758241758,False,True,1.0,True,1.424876813585526,0.06342792326683755,1.633250097421654
TA,社会融资规模_当月值,zscore,20d,16,0.4262042802714867,1.762837599030307,0.09973348748583091,0.36764705882352944,1.4930546985080466,0.1354228694415205,0.1666666666666667,0.4761904761904762,True,True,1.0,True,1.1160457405015296,0.06863956115351658,1.4930546985080466
TF,社会融资规模_当月值,diff,20d,28,-0.5171241842957114,-3.080727105692827,0.004833727543134986,-0.4865900383141762,-3.1804629133994275,0.0014703995891831578,-0.5164835164835165,-0.5648351648351648,True,False,0.9047619047619048,True,2.021215362802605,0.06551549115092561,3.1804629133994275
TF,国内生产总值GDP(现价)_全国_当期同比增长率_季,level,20d,15,-0.6074946525884637,-2.7575067120390724,0.016302304343195812,-0.5499999999999999,-3.0402620122403885,0.002363724171433379,-0.14285714285714288,-0.7142857142857144,True,True,1.0,True,2.79041569896147,0.05415868596362102,3.0402620122403885
TF,制造业采购经理指数PMI_购进价格,diff,20d,124,-0.225414359793194,-2.555555345408441,0.01183013702788953,-0.2544829097759659,-2.8274861022813007,0.004691505177981226,-0.28199413375410537,-0.19381240830685495,True,True,1.0,True,2.3903527712780424,0.03162056984948242,2.8274861022813007
V,非制造业PMI_建筑业_业务活动预期_全国_当期值_月,level,20d,97,0.22440018113616172,2.2444217244121845,0.02712621826724458,0.28702385957914395,3.074819385964229,0.0021063006515400495,0.18801936771734298,0.010564189346729994,True,True,1.0,True,2.7703944145033064,0.0228444775746719,3.074819385964229
V,非制造业PMI_建筑业_新订单_全国_当期值_月,level,20d,98,0.26272528838079556,2.6678928671706172,0.008960434297425877,0.26336664226441553,2.892820549093515,0.0038179936701194794,0.07951820034876053,0.04666122991186564,True,True,1.0,True,2.3570713883081207,0.022653344428214112,2.892820549093515
V,非制造业PMI_建筑业_全国_当期值_月,level,20d,98,0.2944200723080055,3.0185078065278934,0.0032532843736131235,0.25557178644171014,2.4934018514816234,0.012652555906423668,0.23902173009772215,0.044709848206363444,True,True,1.0,True,2.2930626748906793,0.026432383554843224,2.4934018514816234
Y,社会融资规模_当月值,diff,20d,28,0.48979976545329956,2.8646460500695428,0.008153771978293603,0.4920634920634921,3.2867856859958255,0.0010133792491680005,0.45054945054945056,0.6483516483516484,True,True,1.0,True,2.4239386804644933,0.050728261313582435,3.2867856859958255
Y,社会融资规模_当月值,zscore,20d,16,0.5898553799649588,2.73314229413304,0.016171272354546587,0.5970588235294118,3.277533132004463,0.0010471844010342402,0.6666666666666669,0.4761904761904762,True,True,1.0,True,2.5231708156471147,0.06294416854258923,3.277533132004463
Y,社会融资规模_当月值,level,20d,29,0.4813432765663186,2.8534412199022343,0.008203184010886187,0.47093596059113285,2.67159977532755,0.007549062620356928,0.5032967032967033,0.5714285714285713,True,True,1.0,True,1.8012233593993916,0.05351804272588944,2.67159977532755
