entry_date,exit_date,contract,direction,p_entry,p_exit,hold_days,raw_return,net_return
2016-03-16,2016-05-06,P1609,SHORT,5172.0,5352.0,35,-0.034802794,-0.035802793
2016-07-08,2016-08-26,P1701,SHORT,4842.0,5474.0,35,-0.13052464,-0.13152464
2016-11-24,2017-01-13,P1705,SHORT,6220.0,6268.0,35,-0.0077170134,-0.0087170135
2017-03-13,2017-05-04,P1709,SHORT,5552.0,5206.0,35,0.062319875,0.061319876
2017-07-12,2017-08-30,P1801,SHORT,5292.0,5452.0,35,-0.030234337,-0.031234337
2017-11-22,2018-01-11,P1805,SHORT,5494.0,5328.0,35,0.030214787,0.029214786
2018-03-22,2018-05-16,P1809,SHORT,5118.0,5066.0,35,0.010160208,0.009160208
2018-07-23,2018-09-10,P1901,SHORT,4760.0,4928.0,35,-0.035294175,-0.036294173
2018-12-04,2019-01-24,P1905,SHORT,4514.0,4780.0,35,-0.058927774,-0.059927773
2019-04-10,2019-06-03,P1909,SHORT,4692.0,4378.0,35,0.066922426,0.065922424
2019-08-06,2019-09-25,P2001,SHORT,4628.0,4720.0,35,-0.019878983,-0.020878984
2019-11-27,2020-01-16,P2005,SHORT,5670.0,6104.0,35,-0.07654321,-0.077543214
2020-03-30,2020-05-22,P2009,SHORT,4872.0,4480.0,35,0.08045977,0.07945977
2020-08-11,2020-09-29,P2101,SHORT,5562.0,5934.0,35,-0.06688237,-0.067882374
2020-12-09,2021-01-28,P2102,SHORT,6808.0,7120.0,35,-0.04582846,-0.04682846
2021-04-09,2021-06-02,P2109,SHORT,6882.0,7808.0,35,-0.13455391,-0.13555391
2021-08-16,2021-09-30,P2110,SHORT,8810.0,9778.0,31,-0.10987508,-0.110875085
2021-12-09,2022-01-28,P2202,SHORT,9140.0,11070.0,35,-0.2111597,-0.21215971
2022-04-08,2022-05-31,P2206,SHORT,11146.0,16100.0,34,-0.44446433,-0.4454643
2022-08-16,2022-09-30,P2210,SHORT,8514.0,7370.0,32,0.13436693,0.13336693
2022-12-09,2023-01-31,P2302,SHORT,8010.0,7760.0,31,0.031210959,0.030210959
2023-04-13,2023-05-31,P2306,SHORT,7464.0,6600.0,31,0.11575562,0.114755616
2023-08-09,2023-09-27,P2310,SHORT,7460.0,7236.0,35,0.030026793,0.029026793
2023-12-11,2024-01-30,P2402,SHORT,7172.0,7254.0,35,-0.011433363,-0.012433363
2024-04-09,2024-05-31,P2409,SHORT,7876.0,7908.0,35,-0.00406301,-0.0050630104
2024-08-08,2024-09-30,P2501,SHORT,7436.0,8568.0,35,-0.15223241,-0.15323241
2024-12-10,2025-02-06,P2505,SHORT,9292.0,8690.0,35,0.06478691,0.06378691
2025-04-10,2025-06-04,P2509,SHORT,8186.0,8130.0,35,0.0068409443,0.005840944
2025-08-13,2025-10-09,P2601,SHORT,9490.0,9570.0,35,-0.008429885,-0.009429885
2025-12-08,2026-01-28,P2605,SHORT,8702.0,9270.0,35,-0.06527233,-0.06627233
2026-04-02,2026-05-27,P2607,SHORT,10024.0,9274.0,35,0.07482046,0.07382046
